trial_index,arm_name,trial_status,generation_method,generation_node,RESULT,x,y,z,a
0,0_0,COMPLETED,Sobol,GenerationStep_0,-10611797.135976400226354598999023437500,908.036708831787109375000000000000,-263.561725616455078125000000000000,421.805858612060546875000000000000,21.623492240905761718750000000000
1,1_0,COMPLETED,BoTorch,GenerationStep_1,-28706078.332989498972892761230468750000,-987.005631511029037028492894023657,812.028176375894076954864431172609,-847.858755794963030893995892256498,-707.419325161103074606216978281736
