trial_index,arm_name,trial_status,generation_method,result,lr,epochs,width_or_height
0,0_0,COMPLETED,Sobol,1.635056999999999982620124683308,0.000001181070506572723401546776,23,30
1,1_0,COMPLETED,Sobol,0.137241000000000001879385536085,0.000078177694883197553117615275,10,71
2,2_0,COMPLETED,Sobol,0.240776999999999991031174317868,0.000051477213390171528784120675,26,48
3,3_0,COMPLETED,Sobol,0.535892000000000034987124308827,0.000028485996741801501139007211,18,53
4,4_0,COMPLETED,Sobol,0.312950000000000005950795411991,0.000038146629557013512232341995,29,76
5,5_0,COMPLETED,Sobol,0.710697000000000023156587758422,0.000066606569569557905305563772,16,26
6,6_0,COMPLETED,Sobol,0.662243000000000026084023829753,0.000088052153401076797291889553,22,64
7,7_0,COMPLETED,Sobol,1.005290000000000016910917111090,0.000016524252388626338509643524,14,38
8,8_0,COMPLETED,Sobol,0.506929999999999991722177128395,0.000020231784787029029483830869,27,60
9,9_0,COMPLETED,Sobol,0.171881000000000006000533403494,0.000097240568697452544060129409,19,41
10,10_0,COMPLETED,BoTorch,0.530834000000000028052227207809,0.000094586062929697211731742967,10,51
11,11_0,COMPLETED,BoTorch,0.977963000000000026723512291937,0.000071573622163145683206832148,10,78
12,12_0,COMPLETED,BoTorch,0.364943999999999990624388601645,0.000087089390735218654760775581,24,45
13,13_0,COMPLETED,BoTorch,0.170630000000000003890221478287,0.000059125883184127631770569261,10,69
14,14_0,COMPLETED,BoTorch,0.316394999999999981810105964541,0.000096732028228139980822498922,10,69
15,15_0,COMPLETED,BoTorch,0.066682000000000005157652083199,0.000056831727543901228323890845,23,71
16,16_0,COMPLETED,BoTorch,0.595350000000000045830006456526,0.000015264746024781248792808949,27,72
17,17_0,COMPLETED,BoTorch,0.379379999999999995008437281285,0.000072486055128426262004343039,26,70
18,18_0,COMPLETED,BoTorch,0.634402000000000021451285192597,0.000057110907767632080277424994,17,71
19,19_0,COMPLETED,BoTorch,0.708698000000000050135895435233,0.000100000000000000004792173602,23,72
