timestamp,ram_usage_mb,cpu_usage_percent
1738664075,497.50390625,50.1
1738664078,497.7578125,50.1
1738664078,498.52734375,50.1
1738664078,498.52734375,55.6
1738664078,498.52734375,65.0
1738664078,498.52734375,50.3
1738664078,498.52734375,43.5
1738664140,506.87109375,52.9
1738664140,506.87109375,33.3
1738664140,506.87109375,53.9
1738664140,506.87109375,55.6
1738664145,506.87109375,53.8
1738664145,506.87109375,55.0
1738664145,506.87109375,52.4
1738664145,506.87109375,55.0
1738664149,506.87109375,54.0
1738664149,506.87109375,63.2
1738664149,506.87109375,50.0
1738664149,506.87109375,0.0
1738664152,506.87109375,53.7
1738664152,506.87109375,61.1
1738664152,506.87109375,55.6
1738664152,506.87109375,0.0
1738664155,507.12890625,53.0
1738664155,507.12890625,50.0
1738664155,507.12890625,51.8
1738664155,507.12890625,0.0
1738664157,507.12890625,55.3
1738664157,507.12890625,66.7
1738664157,507.12890625,54.7
1738664157,507.12890625,64.7
1738664160,507.12890625,56.7
1738664160,507.12890625,50.0
1738664160,507.12890625,61.5
1738664160,507.12890625,42.3
1738664164,507.12890625,52.4
1738664164,507.12890625,55.0
1738664164,507.12890625,50.8
1738664164,507.12890625,0.0
1738664166,507.38671875,50.5
1738664166,507.38671875,58.8
1738664166,507.38671875,46.7
1738664166,507.38671875,62.5
1738664169,507.90234375,50.0
1738664169,507.90234375,58.8
1738664169,507.90234375,46.7
1738664169,507.90234375,62.5
1738664171,507.90234375,49.8
1738664171,507.90234375,61.1
1738664171,507.90234375,46.7
1738664171,507.90234375,66.7
1738664173,507.90234375,49.8
1738664173,507.90234375,55.6
1738664173,507.90234375,49.2
1738664173,507.90234375,68.8
1738664175,507.90234375,49.8
1738664175,507.90234375,57.9
1738664175,507.90234375,47.6
1738664175,507.90234375,0.0
1738664178,508.16015625,50.4
1738664178,508.16015625,50.0
1738664178,508.16015625,55.9
1738664178,508.16015625,57.9
1738664311,555.92578125,53.4
1738664311,555.92578125,47.6
1738664311,555.92578125,50.7
1738664311,555.92578125,63.2
1738664460,558.37890625,53.7
1738664460,558.37890625,52.4
1738664460,558.37890625,57.4
1738664460,558.37890625,57.1
1738664624,570.046875,53.9
1738664624,570.046875,54.5
1738664624,570.046875,54.5
1738664624,570.046875,57.9
