trial_index,arm_name,trial_status,generation_method,generation_node,result,kernel,C,gamma
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.361068596578050571288542869297,poly,5.404204203903675285403096495429,3.503903134584426926068090324407
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.644599312378447475424536605715,rbf,2.893260853943415256139815028291,8.968186407555826633597462205216
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.403074714435639247511744542862,sigmoid,8.992259685056284368442902632523,2.380190363763831751242605605512
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.216534255077163506619797317398,linear,1.501459865886717981453557513305,5.032543018436991033581762167159
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.222204772617032197956632444402,linear,8.300014904481358257726242300123,7.786595966869034768365054333117
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.383799328209143641998934981530,sigmoid,0.787165956064127425584331376740,4.822160612673499713309865910560
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.464507879867337436508023529314,rbf,7.192533313844354125876634498127,6.331538024823181842748454073444
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.374390025145822091801051101356,poly,4.698751842709258497166047163773,1.178880059408955238708927026892
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.361356735730895439751009234897,poly,9.439200285294093717425312206615,7.087034395505674488902059238171
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.284854779984552219929128114018,rbf,1.953475890080444532515002720174,0.364806488615460722257921588607
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.422509766443982193173667383235,sigmoid,6.162889122821391119089184940094,8.131988687670789417438754753675
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.221674810873865646421165820357,linear,3.657249897455796538991990018985,4.222878576933406513660429482115
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.222317461370694524624980203953,linear,6.857045698816889078841541049769,1.702724352748133274104702650220
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.384829704816904150099787784711,sigmoid,4.368411170058884351874439744279,5.924842134588399034100802964531
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.312557920022625723710518741427,rbf,7.653851398250088422514636476990,3.080330191361718039644301825319
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.362121211935034437168212662073,poly,0.146225678525865099288694182178,9.489397556523792687244167609606
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.334195970094524508198219336919,poly,8.024614571228623205456642608624,0.294202311259694426759381258307
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.659645329939461344537221521023,rbf,0.516957301450893358385485498729,7.333402244736441311090402450645
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.385573760856340319591595289239,sigmoid,6.290984193206765162642568611773,3.859032185136340498132767606876
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.221782337755586200778168404213,linear,3.802394326212815922616528041544,8.710657345092855052826052997261
20,20_0,COMPLETED,BoTorch,GenerationStep_1,,rbf,10.000000000000000000000000000000,0.001000000000000000020816681712
21,21_0,COMPLETED,BoTorch,GenerationStep_1,0.217396931773487511740938771254,linear,0.001000000000000000020816681712,0.001000000000000000020816681712
22,22_0,COMPLETED,BoTorch,GenerationStep_1,0.222097245735311865644234785577,linear,10.000000000000000000000000000000,3.864695046946669432230692109442
23,23_0,COMPLETED,BoTorch,GenerationStep_1,0.222097245735311865644234785577,linear,10.000000000000000000000000000000,0.001000000000000000020816681712
24,24_0,COMPLETED,BoTorch,GenerationStep_1,0.222097245735311865644234785577,linear,10.000000000000000000000000000000,10.000000000000000000000000000000
25,25_0,COMPLETED,BoTorch,GenerationStep_1,0.217396931773487511740938771254,linear,0.001000000000000000020816681712,10.000000000000000000000000000000
26,26_0,COMPLETED,BoTorch,GenerationStep_1,0.217396931773487511740938771254,linear,0.001000000000000000020816681712,8.977260341563223278171790298074
27,27_0,COMPLETED,BoTorch,GenerationStep_1,0.181509330946236335790899829590,rbf,9.097586935055383960957442468498,0.001000000000000000020816681712
28,28_0,COMPLETED,BoTorch,GenerationStep_1,0.216055179909310446362269431120,linear,1.517899302545773210226798255462,6.562034996531703079369890474482
29,29_0,COMPLETED,BoTorch,GenerationStep_1,0.216265071800809338675719573075,linear,1.393376793726593509958888716938,6.711557919495291457678831648082
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.181514265495113291670747912576,rbf,8.504902672041527722512910258956,0.001000000000000000020816681712
31,20_0,COMPLETED,BoTorch,GenerationStep_1,,rbf,10.000000000000000000000000000000,0.001000000000000000020816681712
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.289982865779963350227887985966,rbf,2.675968632391929613589809378027,0.339593250144517022626189373113
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.181445382510480257565177453216,rbf,7.794736870915710547080834658118,0.001000000000000000020816681712
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.182042308303937527824700737256,rbf,7.958193363459447944308067235397,0.001000000000000000020816681712
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.221543970066262585483229941019,rbf,0.635676002145657004227530251228,0.130914847684137719552310841209
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.217267533750563401895306014922,rbf,6.201875013450511175960855325684,0.025592336069815573712515899274
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.182185236145145590391791756701,rbf,9.545894191462567235362257633824,0.001000000000000000020816681712
38,20_0,COMPLETED,BoTorch,GenerationStep_1,,rbf,10.000000000000000000000000000000,0.001000000000000000020816681712
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.356185742194959797934927792085,rbf,3.715336596030258675682489410974,5.416754772323648658982619963353
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.221674810873865646421165820357,linear,3.310698012952324909008439135505,0.001000000000000000020816681712
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.755904079701514519662453039928,sigmoid,0.001000000000000000020816681712,0.001000000000000000020816681712
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.763300196388696616800473293551,sigmoid,0.001000000000000000020816681712,4.255109965446130182442630029982
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.195010629401248358760767587228,sigmoid,2.714849086734631100625847466290,0.001000000000000000020816681712
