trial_index,arm_name,trial_status,generation_method,generation_node,result,kernel,C,gamma
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.217396931773487511740938771254,linear,0.001000000000000000020816681712,2.111149103650224567729765112745
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.361356735730895439751009234897,poly,10.000000000000000000000000000000,10.000000000000000000000000000000
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.333525226767557136930975048017,poly,0.001000000000000000020816681712,5.785455743403175254968573426595
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.222097245735311865644234785577,linear,10.000000000000000000000000000000,5.842664188691854221247012901586
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.764513003852101968860210945422,sigmoid,0.001000000000000000020816681712,10.000000000000000000000000000000
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.383409516255493576508683872817,sigmoid,1.993227838983095301372827634623,6.510235755386299061342469940428
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.354200042454118402268647969322,sigmoid,1.903814395855082386432854946179,10.000000000000000000000000000000
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.390651190471436371431934730936,sigmoid,1.922849362515974380727357129217,2.347412409693069079708038771059
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.222204772617032197956632444402,linear,6.013853140409933573096168402117,10.000000000000000000000000000000
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.188997251336470051263916047901,sigmoid,3.396041739775110812615821487270,0.001000000000000000020816681712
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.697118755924351463093557867978,poly,1.089904832455676819691348100605,0.001000000000000000020816681712
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.221948423878055911551143708493,linear,2.860473767988052973265666878433,9.852512436561172037841060955543
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.222204772617032197956632444402,linear,5.296953127324804277975545119261,0.001000000000000000020816681712
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.222092083863369871288284684852,linear,8.412678410645344939666756545193,0.001000000000000000020816681712
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.217396161742203886113600219687,linear,1.686572135320954624049250014650,0.001000000000000000020816681712
59,59_0,COMPLETED,BoTorch,GenerationStep_1,0.194170416729257389043539205886,rbf,1.026476626208537190620972978650,0.001000000000000000020816681712
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.652084108612502877377892218647,rbf,8.872772719135145536029085633345,10.000000000000000000000000000000
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.222097245735311865644234785577,linear,7.624002650468891140178584464593,0.001000000000000000020816681712
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.182655538895437175028746423777,rbf,4.888383804396203125008923962014,0.001000000000000000020816681712
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.222092083863369871288284684852,linear,9.166314116390298138981052034069,5.334502991826359341587249218719
64,64_0,COMPLETED,BoTorch,GenerationStep_1,0.222097245735311865644234785577,linear,7.162967295688941860021259344649,10.000000000000000000000000000000
65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.222253740258003595897662307834,linear,5.009784830979146619256425765343,9.256911254782490772186065441929
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.757718747507254097861562058824,rbf,0.001000000000000000020816681712,0.001000000000000000020816681712
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.361247587892363997141842446581,sigmoid,10.000000000000000000000000000000,10.000000000000000000000000000000
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.222317461370694524624980203953,linear,5.674180858355482470756214752328,5.241729376215132241156879899791
69,69_0,COMPLETED,BoTorch,GenerationStep_1,0.695818564245952453362065170950,poly,10.000000000000000000000000000000,0.001000000000000000020816681712
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.182430248426222907376370585553,rbf,3.745623863287307564462480513612,0.001000000000000000020816681712
71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.186968994055501824824716550211,sigmoid,4.229749298744227559154751361348,0.001000000000000000020816681712
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.361356735730895439751009234897,poly,6.252306331809052153403172269464,10.000000000000000000000000000000
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.182874062919542890170987448073,rbf,4.269511948302739057226062868722,0.001000000000000000020816681712
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.182897134162693930647947126999,rbf,5.523693012724693929271779779810,0.001000000000000000020816681712
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.361356735730895439751009234897,poly,7.284462696131632775120579026407,10.000000000000000000000000000000
76,76_0,COMPLETED,BoTorch,GenerationStep_1,0.361356735730895439751009234897,poly,3.978421386824235295165408388129,10.000000000000000000000000000000
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.217396931773487511740938771254,linear,0.001000000000000000020816681712,5.164672252539572738783135719132
78,78_0,COMPLETED,BoTorch,GenerationStep_1,0.361356735730895439751009234897,poly,5.452468343930615191084143589251,5.479447621918639654836624686141
79,79_0,COMPLETED,BoTorch,GenerationStep_1,0.216348480934097087136080972414,linear,1.599071681668484901095439454366,10.000000000000000000000000000000
80,80_0,COMPLETED,BoTorch,GenerationStep_1,0.222395708632040389751693965081,linear,7.929436060077740933138557011262,4.804064487286698437173981801607
81,81_0,COMPLETED,BoTorch,GenerationStep_1,0.221762649734989492067427363509,linear,2.476521453549052509401917632204,0.888275130992002837082566202298
82,82_0,COMPLETED,BoTorch,GenerationStep_1,0.619989380326540384658073890023,rbf,5.327273252418912363737035775557,8.051109541254350077110757410992
83,83_0,COMPLETED,BoTorch,GenerationStep_1,0.222111771883966579999025725556,linear,4.483875993148203953353458928177,0.001000000000000000020816681712
84,84_0,COMPLETED,BoTorch,GenerationStep_1,0.222092083863369871288284684852,linear,8.524141755730253677825203340035,10.000000000000000000000000000000
85,85_0,RUNNING,BoTorch,GenerationStep_1,,rbf,3.101937490923929896524668947677,0.001000000000000000020816681712
86,86_0,RUNNING,BoTorch,GenerationStep_1,,sigmoid,4.950341748949266040824568335665,0.001000000000000000020816681712
