start_time,end_time,run_time,program_string,lr,epochs,width_height,val_split,VAL_LOSS,RAM_USAGE,RUNTIME,exit_code,signal,hostname
1739362803,1739362890,87,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.0017568517476320268 --epochs=38 --validation_split=0.2 --width=15 --height=15,0.0017568517476320268,38,15,0.2,0.1255,652.09,87,0,None,arbeitsrechner
1739362895,1739362988,93,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.08923396598547698 --epochs=47 --validation_split=0.2 --width=10 --height=10,0.08923396598547698,47,10,0.2,1.5453,637.73,93,0,None,arbeitsrechner
1739362992,1739363051,59,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.05097859026864171 --epochs=31 --validation_split=0.2 --width=20 --height=20,0.05097859026864171,31,20,0.2,1.5239,661.96,59,0,None,arbeitsrechner
1739363056,1739363148,92,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.03849843647331 --epochs=44 --validation_split=0.2 --width=5 --height=5,0.03849843647331,44,5,0.2,1.5252,642.52,92,0,None,arbeitsrechner
1739363153,1739363222,69,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.03031424563378096 --epochs=32 --validation_split=0.2 --width=10 --height=10,0.03031424563378096,32,10,0.2,0.6837,636.25,69,0,None,arbeitsrechner
1739363228,1739363293,65,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.06780662285163999 --epochs=42 --validation_split=0.2 --width=15 --height=15,0.06780662285163999,42,15,0.2,1.5289,649.65,65,0,None,arbeitsrechner
1739363298,1739363346,48,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.07945053931325674 --epochs=36 --validation_split=0.2 --width=5 --height=5,0.07945053931325674,36,5,0.2,1.5327,638.85,48,0,None,arbeitsrechner
1739363350,1739363430,80,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.01696122558787465 --epochs=49 --validation_split=0.2 --width=20 --height=20,0.01696122558787465,49,20,0.2,1.5232,665.9,80,0,None,arbeitsrechner
1739363436,1739363494,58,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.021470224764198065 --epochs=30 --validation_split=0.2 --width=5 --height=5,0.021470224764198065,30,5,0.2,0.4839,636.43,58,0,None,arbeitsrechner
1739363500,1739363577,77,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.08397479094564915 --epochs=44 --validation_split=0.2 --width=20 --height=20,0.08397479094564915,44,20,0.2,1.5285,668.24,77,0,None,arbeitsrechner
1739363583,1739363649,66,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.06876327460631729 --epochs=40 --validation_split=0.2 --width=10 --height=10,0.06876327460631729,40,10,0.2,1.5314,636.94,66,0,None,arbeitsrechner
1739363654,1739363717,63,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.0312617477029562 --epochs=45 --validation_split=0.2 --width=15 --height=15,0.0312617477029562,45,15,0.2,0.9403,652.04,63,0,None,arbeitsrechner
1739363722,1739363776,54,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.0496388990432024 --epochs=36 --validation_split=0.2 --width=20 --height=20,0.0496388990432024,36,20,0.2,1.5246,660.2,54,0,None,arbeitsrechner
1739363782,1739363853,71,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.06215262850746513 --epochs=49 --validation_split=0.2 --width=5 --height=5,0.06215262850746513,49,5,0.2,1.0612,642.8,71,0,None,arbeitsrechner
1739363861,1739363919,58,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.09762775711715221 --epochs=34 --validation_split=0.2 --width=15 --height=15,0.09762775711715221,34,15,0.2,1.5313,651.61,58,0,None,arbeitsrechner
1739363924,1739363983,59,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.01011096453294158 --epochs=40 --validation_split=0.2 --width=10 --height=10,0.01011096453294158,40,10,0.2,0.6487,637,59,0,None,arbeitsrechner
