start_time,end_time,run_time,program_string,n_samples,confidence,feature_proportion,n_clusters,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727577928,1727578482,554,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 843 confidence 0.25 feature_proportion 0.08775444924831391 n_clusters 3,843,0.25,0.08775444924831391,3,0.3187831644958996,0,None,i7180,502,0.00030684750207181474
1727577868,1727578533,665,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 392 confidence 0.25 feature_proportion 0.1259731888771057 n_clusters 1,392,0.25,0.1259731888771057,1,0.2993644476603956,0,None,i7186,658,0.00015099290585569828
1727577928,1727578540,612,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 159 confidence 0.1 feature_proportion 0.0718895209953189 n_clusters 4,159,0.1,0.0718895209953189,4,0.2799650265315967,0,None,i7180,559,7.084352389107572e-05
1727577868,1727578551,683,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 124 confidence 0.25 feature_proportion 0.0045273913070559505 n_clusters 2,124,0.25,0.0045273913070559505,2,0.2720501688374337,0,None,i7186,676,5.319226667360991e-05
1727577891,1727578552,661,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 521 confidence 0.25 feature_proportion 0.17577387001365424 n_clusters 3,521,0.25,0.17577387001365424,3,0.305904486251809,0,None,i7186,654,0.00019638451401139708
1727577868,1727578553,685,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 661 confidence 0.01 feature_proportion 0.1295369766652584 n_clusters 1,661,0.01,0.1295369766652584,1,0.3105704293294742,0,None,i7186,678,0.0002488980159404411
1727577891,1727578555,664,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 610 confidence 0.1 feature_proportion 0.10376911535859108 n_clusters 2,610,0.1,0.10376911535859108,2,0.3089097925711529,0,None,i7186,657,0.00022824939914679914
1727577891,1727578556,665,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 335 confidence 0.25 feature_proportion 0.0946620749309659 n_clusters 2,335,0.25,0.0946620749309659,2,0.29126145682585625,0,None,i7186,658,0.00013312877839855857
1727577871,1727578559,688,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 721 confidence 0.1 feature_proportion 0.025189650245010853 n_clusters 1,721,0.1,0.025189650245010853,1,0.3161951278340569,0,None,i7186,681,0.00026775896289428757
1727577909,1727578566,657,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 218 confidence 0.05 feature_proportion 0.18854437656700612 n_clusters 1,218,0.05,0.18854437656700612,1,0.28403521466473713,0,None,i7181,585,8.930844192329014e-05
1727577909,1727578599,690,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 717 confidence 0.025 feature_proportion 0.1159105820581317 n_clusters 4,717,0.025,0.1159105820581317,4,0.31327062228654123,0,None,i7181,618,0.0002668028517770383
1727577909,1727578600,691,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 703 confidence 0.025 feature_proportion 0.15183147732168437 n_clusters 4,703,0.025,0.15183147732168437,4,0.3143077665219489,0,None,i7181,620,0.00026042170882844775
1727577909,1727578602,693,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 880 confidence 0.1 feature_proportion 0.05467753913253546 n_clusters 2,880,0.1,0.05467753913253546,2,0.3200904486251809,0,None,i7181,622,0.00032202057339539254
1727577909,1727578605,696,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 466 confidence 0.001 feature_proportion 0.1348806345835328 n_clusters 1,466,0.001,0.1348806345835328,1,0.2995224312590449,0,None,i7181,625,0.00018567757886698197
1727577909,1727578611,702,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 268 confidence 0.025 feature_proportion 0.08824395090341569 n_clusters 2,268,0.025,0.08824395090341569,2,0.2899119633381573,0,None,i7181,631,0.00011158078764549718
1727577891,1727578634,743,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 974 confidence 0.1 feature_proportion 0.002316499501466751 n_clusters 1,974,0.1,0.002316499501466751,1,0.3229835986493005,0,None,i7186,736,0.0003528419621610269
1727577868,1727578644,776,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 127 confidence 0.025 feature_proportion 0.18841087352484465 n_clusters 2,127,0.025,0.18841087352484465,2,0.27234563434635795,0,None,i7186,769,5.804733702881441e-05
1727577871,1727578649,778,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 861 confidence 0.001 feature_proportion 0.09591507501900197 n_clusters 1,861,0.001,0.09591507501900197,1,0.3178557645923782,0,None,i7186,771,0.000333819482117398
1727577909,1727578916,1007,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 766 confidence 0.01 feature_proportion 0.025302996300160887 n_clusters 4,766,0.01,0.025302996300160887,4,0.3189122045344911,0,None,i7181,935,0.0003198366571993881
1727577909,1727579429,1520,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 182 confidence 0.001 feature_proportion 0.011049367859959603 n_clusters 4,182,0.001,0.011049367859959603,4,0.31412083936324164,0,None,i7181,1448,0.00019489329034809322
1727579572,1727579576,4,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 100 confidence 0.25 feature_proportion 0 n_clusters 1,100,0.25,0,1,None,1,None,i7186
1727579572,1727579576,4,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 100 confidence 0.25 feature_proportion 0 n_clusters 3,100,0.25,0,3,None,1,None,i7186
1727579585,1727579588,3,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 100 confidence 0.1 feature_proportion 0 n_clusters 2,100,0.1,0,2,None,1,None,i7186
1727579612,1727579615,3,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 100 confidence 0.1 feature_proportion 0 n_clusters 3,100,0.1,0,3,None,1,None,i7181
1727579644,1727579648,4,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 100 confidence 0.25 feature_proportion 0 n_clusters 1,100,0.25,0,1,None,1,None,i7181
1727579652,1727579655,3,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ClusteredStatisticalTestDriftDetectionMethod n_samples 100 confidence 0.25 feature_proportion 0 n_clusters 3,100,0.25,0,3,None,1,None,i7181
