trial_index,arm_name,trial_status,generation_method,generation_node,VAL_LOSS,RAM_USAGE,RUNTIME,lr,epochs,width_height,val_split
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.668000000000000038191672047105,663.370000000000004547473508864641,122.000000000000000000000000000000,0.015494184195995332198325655781,42,20.000000000000000000000000000000,0.2
1,1_0,COMPLETED,Sobol,GenerationStep_0,1.535099999999999909050529822707,636.460000000000036379788070917130,88.000000000000000000000000000000,0.069507594220340251922607421875,32,10.000000000000000000000000000000,0.2
2,2_0,COMPLETED,Sobol,GenerationStep_0,1.528699999999999947775108921633,654.929999999999949977791402488947,141.000000000000000000000000000000,0.076531328167766338177457896563,47,15.000000000000000000000000000000,0.2
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.723099999999999965005770263815,645.789999999999963620211929082870,101.000000000000000000000000000000,0.033474218007177113098915555156,36,5.000000000000000000000000000000,0.2
4,4_0,COMPLETED,Sobol,GenerationStep_0,1.524199999999999999289457264240,638.570000000000050022208597511053,110.000000000000000000000000000000,0.045293118339031934738159179688,50,10.000000000000000000000000000000,0.2
5,5_0,COMPLETED,Sobol,GenerationStep_0,1.545500000000000095923269327614,671.049999999999954525264911353588,97.000000000000000000000000000000,0.089711711835116156321667801876,40,20.000000000000000000000000000000,0.2
6,6_0,COMPLETED,Sobol,GenerationStep_0,1.528200000000000002842170943040,636.580000000000040927261579781771,160.000000000000000000000000000000,0.059256903268396859951749888751,45,5.000000000000000000000000000000,0.2
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.174300000000000010480505352461,649.639999999999986357579473406076,93.000000000000000000000000000000,0.000745590217411518118607871575,34,15.000000000000000000000000000000,0.2
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.176600000000000006972200594646,643.820000000000050022208597511053,116.000000000000000000000000000000,0.008106894791126251220703125000,46,5.000000000000000000000000000000,0.2
9,9_0,COMPLETED,Sobol,GenerationStep_0,1.533500000000000085265128291212,652.179999999999949977791402488947,123.000000000000000000000000000000,0.051017502695322042294279185626,35,15.000000000000000000000000000000,0.2
