trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,13.000000000000000000000000000000,1837,4,4746,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.159334658950567253921093424651,72
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,14.000000000000000000000000000000,3633,2,2358,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.560825864488258996054526051012,46
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,10.000000000000000000000000000000,3836,6,3738,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.356555293766781689068778860019,5
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,14.000000000000000000000000000000,633,0,1039,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.984189657384529681394269573502,80
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,12.000000000000000000000000000000,405,7,1595,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.384483334872871618248524328010,14
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.660000000000000031086244689504,13.000000000000000000000000000000,4703,1,4295,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.770354876138269917262846320227,89
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,26.000000000000000000000000000000,2790,5,551,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.071040536735206841201240024475,61
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.690000000000000057731597280508,11.000000000000000000000000000000,2088,3,2939,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.714175165273249201725036527932,37
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,12.000000000000000000000000000000,2277,6,213,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.440124958148226164134086957347,25
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,24.000000000000000000000000000000,2824,0,2513,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.841646600710228121045020088786,100
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,13.000000000000000000000000000000,4667,4,1396,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.012895087828859685269433654753,51
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,16.000000000000000000000000000000,214,2,4008,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.640498980032280118557252990286,26
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,14.000000000000000000000000000000,1215,5,3315,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.228679085966199624468941919986,67
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.690000000000000057731597280508,10.000000000000000000000000000000,4262,3,703,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.614520155817270263831630927598,41
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,12.000000000000000000000000000000,3210,7,4457,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.288724874254316088428851116987,10
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,19.000000000000000000000000000000,1257,1,2156,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.931889944463968222798655460792,84
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,12.000000000000000000000000000000,1518,7,2749,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.518238508710637701959456080658,13
