trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
221,221_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3102,2880,89,523,0.837491437534285454447058327787
222,222_0,COMPLETED,GenerationStep_1,0.920000000000000039968028886506,27.000000000000000000000000000000,1024,36,65,100,0.382254819513583754542196402326
223,223_0,FAILED,GenerationStep_1,,,2507,32,72,114,0.469632220451476567468773737346
224,224_0,FAILED,GenerationStep_1,,,3698,4,65,350,0.209463659681498909348462689195
225,225_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,27.000000000000000000000000000000,220,39,72,651,0.325175914280166067360511306106
226,226_0,FAILED,GenerationStep_1,,,562,1,72,897,0.441099600701209126896173984278
227,227_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2598,2873,71,574,0.823345007185478316991122937907
228,228_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,49.000000000000000000000000000000,5000,403,73,105,0.723374303049396316644958915276
229,229_0,FAILED,GenerationStep_1,,,719,1,72,919,0.114461556216254617401872906157
230,230_0,FAILED,GenerationStep_1,,,5000,1,64,159,0.132475595237754761868131936353
231,231_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3136,3668,72,527,0.819891625088779996133325767005
