trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.239999999999999991118215802999,1762.000000000000000000000000000000,3263,14,3581,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.881955802798271126796691987693,53
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.350000000000000033306690738755,1432.000000000000000000000000000000,1173,31,404,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.049086707143113014750746003756,29
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.440000000000000002220446049250,1843.000000000000000000000000000000,1901,7,4553,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.557039859108626855821455592377,3
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.440000000000000002220446049250,2024.000000000000000000000000000000,4889,51,1464,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.387160137644037616322378880795,79
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.460000000000000019984014443253,1739.000000000000000000000000000000,3822,4,829,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.736449427105486442712845018832,21
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.070000000000000006661338147751,1494.000000000000000000000000000000,1732,40,2687,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.316906462734565130823227718793,98
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.250000000000000000000000000000,1690.000000000000000000000000000000,116,24,2270,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.827417488425970071297399499599,71
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.359999999999999986677323704498,1812.000000000000000000000000000000,3104,35,4216,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.243968912793323389198718587068,48
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.089999999999999996669330926125,1529.000000000000000000000000000000,2653,11,1901,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.629025379044935162298202158127,19
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.160000000000000003330669073875,1684.000000000000000000000000000000,562,48,3803,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.300075399875640858038394753748,89
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.250000000000000000000000000000,1911.000000000000000000000000000000,1281,17,1232,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.805104249691590667659113478294,69
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.220000000000000001110223024625,1516.000000000000000000000000000000,4268,27,3066,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.141052431233227248963402189474,39
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.400000000000000022204460492503,1504.000000000000000000000000000000,4442,20,4931,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.984468727728351922223737346940,61
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.470000000000000028865798640254,1679.000000000000000000000000000000,2353,37,1867,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.070844084225595002624054075113,33
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.470000000000000028865798640254,1724.000000000000000000000000000000,726,1,3168,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.574533322034403659550605425466,12
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.230000000000000009992007221626,4982.000000000000000000000000000000,3715,44,36,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.494911563798785203438512780849,83
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.460000000000000019984014443253,1588.000000000000000000000000000000,3473,1,4031,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.009379718873649835197969792944,10
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.230000000000000009992007221626,1530.000000000000000000000000000000,836,46,2140,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.934827747019007837536719307536,85
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.239999999999999991118215802999,1563.000000000000000000000000000000,2335,23,2817,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.427846823152154664970936437385,60
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.179999999999999993338661852249,1455.000000000000000000000000000000,4620,39,1013,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.503203178236261039479870760260,35
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.220000000000000001110223024625,1526.000000000000000000000000000000,4169,19,1627,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.373228657018393306099568462741,65
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.440000000000000002220446049250,1594.000000000000000000000000000000,1532,29,4700,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.698165451282635296514911260601,42
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.239999999999999991118215802999,1611.000000000000000000000000000000,375,12,257,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.188625701922923327824577199863,15
