trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,137.000000000000000000000000000000,2036,11,3837,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.865809730529785159802713678801,46
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.110000000000000000555111512313,174.000000000000000000000000000000,2744,25,1912,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.424535144411027409727665826722,55
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.160000000000000003330669073875,111.000000000000000000000000000000,3795,0,2514,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.611936304615810500173722630279,100
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.119999999999999995559107901499,306.000000000000000000000000000000,744,14,724,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.179462228976190102391896630252,1
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.140000000000000013322676295502,209.000000000000000000000000000000,131,4,1333,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.711495853889733576025378170016,84
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,163.000000000000000000000000000000,4433,18,4406,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.029049696257337928595454457081,17
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,148.000000000000000000000000000000,3376,7,18,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.964448091138154217638600584905,37
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,140.000000000000000000000000000000,1417,20,3229,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.275150638988241547089330651943,64
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.130000000000000004440892098501,144.000000000000000000000000000000,1673,1,479,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.669270227186381849726615200780,76
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,144.000000000000000000000000000000,3475,15,3696,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.102757855849340565268512648345,25
