trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,4792,1654,2608,0.461381014272570610934565138450
1,1_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,6.000000000000000000000000000000,830,3958,1557,0.903327472477126858230178640952
2,2_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,1381,1137,4067,0.032248309334460649455689207343
3,3_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,7.000000000000000000000000000000,2999,3207,509,0.598834832328278610091842892871
4,4_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,3510,332,2277,0.737004618050251192329369587242
5,5_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,2120,2793,3724,0.177976216543186432916812123040
6,6_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,6.000000000000000000000000000000,8,2470,648,0.760249887860659501193083542603
7,7_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,4365,4384,4592,0.326353117878455667444370646990
8,8_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,3777,803,1043,0.248561866331007325081614567353
9,9_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,595,3576,4989,0.682483865998219640935928964609
10,10_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,2240,1399,1894,0.256285491574462509500875739832
11,11_0,COMPLETED,GenerationStep_0,0.530000000000000026645352591004,12.000000000000000000000000000000,3389,4250,3337,0.815288603857438953781411328237
12,12_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,2650,2135,3835,0.957055614252295350219412739534
13,13_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,7.000000000000000000000000000000,1729,4752,283,0.390490569981466972837580442501
14,14_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,1023,74,2852,0.543613186230417322342134411883
15,15_0,COMPLETED,GenerationStep_0,0.560000000000000053290705182008,10.000000000000000000000000000000,4599,3082,1793,0.101645320935826746766572625802
16,16_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,4512,250,4698,0.795916614453680781871014460194
17,17_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,6.000000000000000000000000000000,1098,2867,1147,0.354092119262926274814162752591
18,18_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,1660,1920,3227,0.710239186672307565295625408908
19,19_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,6.000000000000000000000000000000,2732,4928,2169,0.143286900227330621371280017229
