trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0_0,FAILED,GenerationStep_0,,,1006,2310,3938,0.480404278099536896640131544700,0.811817715525627092709726184694,2.106999968349933638478432840202,str\(\'ks-test\'\),str\(\'full\'\),4656
1,1_0,FAILED,GenerationStep_0,,,4094,3166,908,0.865841993013396815648263782350,0.179040526499971736074101613667,7.106241142438725510999120160704,str\(\'t-test\'\),str\(\'bounded\'\),1361
2,2_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,489.000000000000000000000000000000,2669,235,2800,0.101516756370663638331386380287,0.270708448840305204718958975718,8.944522722013294568910168891307,str\(\'ks-test\'\),str\(\'bounded\'\),435
3,3_0,FAILED,GenerationStep_0,,,2077,4223,2046,0.745209851836785674983332228294,0.653870723158121114337859580701,3.944841802757233395482217019890,str\(\'t-test\'\),str\(\'full\'\),3707
4,4_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,51.000000000000000000000000000000,1267,1006,435,0.523943710355088132502032749471,0.587900600964203490228499049408,0.815209353358484878349088376126,str\(\'ks-test\'\),str\(\'bounded\'\),832
5,5_0,FAILED,GenerationStep_0,,,3169,4518,4724,0.129811914630234254142138183852,0.456561208736151469267383617989,5.814986673486419732626018230803,str\(\'t-test\'\),str\(\'full\'\),2527
6,6_0,FAILED,GenerationStep_0,,,4903,1432,1581,0.894073910819366601820945561485,0.111603357765823599234700225225,7.726350618208758902483168640174,str\(\'ks-test\'\),str\(\'full\'\),4121
7,7_0,FAILED,GenerationStep_0,,,507,3076,3577,0.259197568144649281851599198490,0.991329244347289195715688947530,2.727048821083270180309909846983,str\(\'t-test\'\),str\(\'bounded\'\),2365
8,8_0,FAILED,GenerationStep_0,,,114,489,1281,0.231308947293087846519554773295,0.210378645481541753925469606656,4.480030947774649163761750969570,str\(\'ks-test\'\),str\(\'bounded\'\),1221
9,9_0,FAILED,GenerationStep_0,,,4515,4009,3252,0.610087773330509675062671703927,0.842607159439474395767888381670,9.479787631858140883878149907105,str\(\'t-test\'\),str\(\'full\'\),2921
10,10_0,FAILED,GenerationStep_0,,,3713,1938,144,0.344585915135219689187096037131,0.747160781722515876523971201095,6.396513599997387444773266906850,str\(\'ks-test\'\),str\(\'full\'\),3869
11,11_0,FAILED,GenerationStep_0,,,1816,3576,4389,0.995294944074004872547334343835,0.364303548717871295004044895904,1.397196828702464754812240244064,str\(\'t-test\'\),str\(\'bounded\'\),2147
12,12_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,33.000000000000000000000000000000,2314,1802,3091,0.779935855049639914504666649009,0.425036543428897850560588267399,3.267196651133708940051292302087,str\(\'ks-test\'\),str\(\'full\'\),4897
13,13_0,FAILED,GenerationStep_0,,,2901,2665,2381,0.378665526369586613597562063660,0.556802803141996260904988957918,8.266421491458080694769705587532,str\(\'t-test\'\),str\(\'bounded\'\),1588
14,14_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,60.000000000000000000000000000000,4019,752,4238,0.644230610147118576414015933551,0.897982079764828133860987691151,5.100300595008769199978360120440,str\(\'ks-test\'\),str\(\'bounded\'\),56
15,15_0,FAILED,GenerationStep_0,,,925,4733,1232,0.015890424882993102462247492213,0.017585673354566098286477782153,0.100600082685239622382056268179,str\(\'t-test\'\),str\(\'full\'\),3304
16,16_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,49.000000000000000000000000000000,712,934,3385,0.911663148084655428071698679560,0.666469195589423191172784299852,8.525022724939510965214140014723,str\(\'t-test\'\),str\(\'bounded\'\),2984
