trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
790,790_0,FAILED,SOBOL,,,1344,896,0.098633201744407414390813926275,0.188321386517956851358590597556,str\(\'intersection\'\),0.031722829937934876598504274625,False
791,791_0,FAILED,SOBOL,,,3541,4362,0.753544946409761884353883942822,0.877937741946429039963106788491,str\(\'kl\'\),0.057966219242662202215665701033,True
792,792_0,FAILED,SOBOL,,,3206,2040,0.001211996797472238542384137538,0.507056046174839125662003880279,str\(\'intersection\'\),0.071030953079462055832493661001,False
793,793_0,FAILED,SOBOL,,,1674,3023,0.843294418841600390557289301796,0.317528510298579924597817125687,str\(\'kl\'\),0.018520713355392216803441129969,True
794,794_0,ABANDONED,SOBOL,,,1235,4,0.252924729520455027209635545660,0.968797316703945421423327388766,str\(\'kl\'\),0.037458830811083317080534271781,False
795,795_0,FAILED,SOBOL,,,4036,4741,0.595967177351936716611646716046,0.159836878681555383252543833805,str\(\'intersection\'\),0.098504589516669516235936043813,True
796,796_0,FAILED,SOBOL,,,4904,1207,0.960633896168321399500200641342,0.007310880489647388243146242104,str\(\'intersection\'\),0.062777079539373517591549500594,False
797,797_0,FAILED,SOBOL,,,206,4046,0.180972036249935630536356256926,0.817245126692578205407357927470,str\(\'kl\'\),0.022561336932703852931059174125,True
798,798_0,FAILED,SOBOL,,,1876,1676,0.713352592306211619188616168685,0.469080579480156301119819772794,str\(\'kl\'\),0.051347839245572693411823195220,False
799,799_0,FAILED,SOBOL,,,2843,3270,0.432639336971566090817020722170,0.659582157760858489581323738093,str\(\'intersection\'\),0.077578844791278245285326420344,True
800,800_0,FAILED,SOBOL,,,2915,948,0.232150210769847042957536586982,0.894007198832929117493506510073,str\(\'kl\'\),0.098768854662776003894286702689,False
801,801_0,FAILED,SOBOL,,,1968,3807,0.887069688541814671545182591217,0.211266764892265201947196828769,str\(\'intersection\'\),0.035964103620499378310970683970,True
802,802_0,FAILED,SOBOL,,,278,1720,0.483825123768299836246598033540,0.611571270382031850765258695901,str\(\'intersection\'\),0.021244564168155195132969836891,False
803,803_0,FAILED,SOBOL,,,4995,3333,0.639780768685042855459244037775,0.298748510316014292964581500200,str\(\'kl\'\),0.069889140222221618481412974688,True
804,804_0,FAILED,SOBOL,,,3948,1985,0.801861867764964708626962419658,0.395721922846511031668370605985,str\(\'kl\'\),0.080304233850911260761407106656,False
805,805_0,FAILED,SOBOL,,,1164,2951,0.084521820431575175880389849681,0.709519677083939259709666202980,str\(\'intersection\'\),0.050204474730417142369631733345,True
806,806_0,FAILED,SOBOL,,,1584,273,0.554527010280638887884663290606,0.113318479020148521474453673363,str\(\'intersection\'\),0.022824393743649126764516665844,False
