trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
927,927_0,RUNNING,SOBOL,,,,285,10,4817,str\(\'H\'\),str\(\'stdev\'\),0.603700736612081567677989824006,55,3
928,928_0,RUNNING,SOBOL,,,,231,13,2965,str\(\'H\'\),str\(\'stdev\'\),0.269006678348407135548114865742,47,2
929,929_0,RUNNING,SOBOL,,,,4038,1,32,str\(\'KL\'\),str\(\'tstat\'\),0.855584994658827757696428761847,60,3
930,930_0,RUNNING,SOBOL,,,,2723,15,4474,str\(\'H\'\),str\(\'tstat\'\),0.534818928757682443553278517356,91,2
931,931_0,RUNNING,SOBOL,,,,1525,9,2253,str\(\'KL\'\),str\(\'stdev\'\),0.092239130873233085572415745901,4,3
932,932_0,RUNNING,SOBOL,,,,2022,18,1024,str\(\'KL\'\),str\(\'tstat\'\),0.726808313995599752921350500401,68,3
933,933_0,RUNNING,SOBOL,,,,3183,6,3168,str\(\'H\'\),str\(\'stdev\'\),0.147754652461037028210455446242,31,1
934,934_0,RUNNING,SOBOL,,,,4516,11,1381,str\(\'KL\'\),str\(\'stdev\'\),0.462916918937116839138923296559,21,2
935,935_0,RUNNING,SOBOL,,,,672,4,4082,str\(\'H\'\),str\(\'tstat\'\),0.913078477615490546881460431905,83,3
936,936_0,RUNNING,SOBOL,,,,1046,17,1766,str\(\'H\'\),str\(\'tstat\'\),0.683433333873748827258509663807,9,1
937,937_0,RUNNING,SOBOL,,,,4707,8,3989,str\(\'KL\'\),str\(\'stdev\'\),0.190143542518839248067763492145,96,2
938,938_0,RUNNING,SOBOL,,,,3539,15,795,str\(\'H\'\),str\(\'stdev\'\),0.388356520805507920979238178916,55,2
939,939_0,RUNNING,SOBOL,,,,2195,1,3730,str\(\'KL\'\),str\(\'tstat\'\),0.986660518789663876226825323101,42,3
940,940_0,RUNNING,SOBOL,,,,1754,12,4879,str\(\'KL\'\),str\(\'stdev\'\),0.319198124265298255330947085895,82,1
941,941_0,RUNNING,SOBOL,,,,3062,3,2180,str\(\'H\'\),str\(\'tstat\'\),0.804415072813630116499439282052,19,2
942,942_0,RUNNING,SOBOL,,,,4246,20,2716,str\(\'KL\'\),str\(\'tstat\'\),0.616192104587331423992679901858,32,2
943,943_0,RUNNING,SOBOL,,,,549,5,574,str\(\'H\'\),str\(\'stdev\'\),0.009879983950406314580083844135,70,1
944,944_0,RUNNING,SOBOL,,,,466,19,3862,str\(\'KL\'\),str\(\'tstat\'\),0.231067503346130243002676252217,27,2
945,945_0,RUNNING,SOBOL,,,,4114,5,1640,str\(\'H\'\),str\(\'stdev\'\),0.642459650658071090845169237582,65,1
946,946_0,RUNNING,SOBOL,,,,2959,12,3583,str\(\'KL\'\),str\(\'stdev\'\),0.965175446512177570568269402429,86,1
947,947_0,RUNNING,SOBOL,,,,1603,2,648,str\(\'H\'\),str\(\'tstat\'\),0.409784717570990331125813099789,24,2
948,948_0,RUNNING,SOBOL,,,,2415,14,1994,str\(\'H\'\),str\(\'stdev\'\),0.771204476870596455917450384732,63,2
949,949_0,RUNNING,SOBOL,,,,3730,0,4694,str\(\'KL\'\),str\(\'tstat\'\),0.352230509279295778135576711065,50,1
950,950_0,RUNNING,SOBOL,,,,4907,17,407,str\(\'H\'\),str\(\'tstat\'\),0.039017017271369698605543163694,1,3
951,951_0,RUNNING,SOBOL,,,,1217,8,2550,str\(\'KL\'\),str\(\'stdev\'\),0.586883031951263567371768203884,88,2
952,952_0,RUNNING,SOBOL,,,,813,11,158,str\(\'KL\'\),str\(\'stdev\'\),0.814573716647922996259012506926,16,3
953,953_0,RUNNING,SOBOL,,,,4628,5,3092,str\(\'H\'\),str\(\'tstat\'\),0.309832131294533630327947548722,78,1
954,954_0,RUNNING,SOBOL,,,,3305,19,2400,str\(\'KL\'\),str\(\'tstat\'\),0.113567867990583187820519128763,73,3
955,955_0,RUNNING,SOBOL,,,,2115,7,4621,str\(\'H\'\),str\(\'stdev\'\),0.513295309918001319005043114885,35,2
956,956_0,RUNNING,SOBOL,,,,1364,16,3354,str\(\'H\'\),str\(\'tstat\'\),0.180870317084714765654140933293,99,1
957,957_0,RUNNING,SOBOL,,,,2513,10,1210,str\(\'KL\'\),str\(\'stdev\'\),0.693620084576308748580686369678,12,2
958,958_0,RUNNING,SOBOL,,,,3858,14,4247,str\(\'H\'\),str\(\'stdev\'\),0.883792723270133140367477153632,39,3
959,959_0,RUNNING,SOBOL,,,,1,2,1547,str\(\'KL\'\),str\(\'tstat\'\),0.492138183634728165749550043984,52,2
960,960_0,RUNNING,SOBOL,,,,74,10,4151,str\(\'H\'\),str\(\'tstat\'\),0.084225170282647018882293821207,42,1
961,961_0,RUNNING,SOBOL,,,,3882,4,1306,str\(\'KL\'\),str\(\'stdev\'\),0.542155049093067664678358141828,54,3
962,962_0,RUNNING,SOBOL,,,,2566,18,3248,str\(\'H\'\),str\(\'stdev\'\),0.847083911554887936112834267988,97,1
963,963_0,RUNNING,SOBOL,,,,1369,6,940,str\(\'KL\'\),str\(\'tstat\'\),0.275855676170438546268570689790,9,3
