trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,RUNNING,SOBOL,1239,650,45,770,0.058991298906505111598885804369
1,1_0,FAILED,SOBOL,3492,3368,84,83,0.846632220983505212608122292295
2,2_0,RUNNING,SOBOL,4744,2421,17,670,0.617916230449452985595826248755
3,3_0,FAILED,SOBOL,2481,4821,56,484,0.282501665072515617538329024683
4,4_0,RUNNING,SOBOL,1773,1311,90,286,0.457514870872721080008460603494
5,5_0,RUNNING,SOBOL,4207,4029,26,598,0.636694033188745400764219084522
6,6_0,FAILED,SOBOL,2950,502,75,156,0.896742255505174390428635433636
7,7_0,RUNNING,SOBOL,525,2902,11,967,0.202976964760571726431592765039
8,8_0,RUNNING,SOBOL,188,2079,69,533,0.801220029210671813579835998098
9,9_0,FAILED,SOBOL,2585,4518,5,346,0.107447124330326909680266567193
10,10_0,RUNNING,SOBOL,3832,953,96,903,0.365919696431606988884510656135
11,11_0,RUNNING,SOBOL,1445,3709,32,215,0.545091244611889069737742374855
12,12_0,RUNNING,SOBOL,2116,161,24,18,0.713415551133453895715774706332
13,13_0,RUNNING,SOBOL,4406,2600,63,830,0.377993371620774287755750719953
14,14_0,RUNNING,SOBOL,3164,1614,39,418,0.150624607229605328440058542583
15,15_0,RUNNING,SOBOL,864,4370,78,731,0.938257915170863321385752442438
16,16_0,FAILED,SOBOL,673,1874,2,187,0.273848950805142543618586614684
17,17_0,FAILED,SOBOL,3432,4118,63,999,0.577832363838329921001957245608
18,18_0,FAILED,SOBOL,4684,103,37,255,0.831890637025237134061228516657
19,19_0,FAILED,SOBOL,1915,2664,98,567,0.013305867291986940570414077456
20,20_0,FAILED,SOBOL,1401,1206,57,639,0.242817119542509313179223795487
21,21_0,FAILED,SOBOL,3954,3449,22,452,0.905638562630861954083627551881
22,22_0,FAILED,SOBOL,2697,2014,80,801,0.682623176632448980249989745062
23,23_0,FAILED,SOBOL,153,4575,44,115,0.472012861972674724331255902143
24,24_0,FAILED,SOBOL,403,406,86,387,0.524748809475451660766509576206
25,25_0,FAILED,SOBOL,2994,3006,50,699,0.314146108951419589239151264337
26,26_0,FAILED,SOBOL,4241,1532,51,49,0.088808887435123329279207382569
27,27_0,FAILED,SOBOL,1660,3815,15,862,0.751637944659218182330562285642
28,28_0,FAILED,SOBOL,2212,2317,32,934,0.989787790821865187673722630279
29,29_0,FAILED,SOBOL,4934,4917,93,246,0.171210635224357254902116665107
30,30_0,FAILED,SOBOL,3692,864,9,502,0.427819168001413341340111173849
31,31_0,FAILED,SOBOL,960,3146,70,314,0.731810195170342958626008567080
32,32_0,FAILED,SOBOL,1055,2461,95,104,0.209897871179506173566764459792
33,33_0,FAILED,SOBOL,3598,4705,34,792,0.888374958863481833937214560137
34,34_0,FAILED,SOBOL,4850,769,66,454,0.645381986070424296109138140309
35,35_0,FAILED,SOBOL,2297,3330,5,642,0.450303526815026999852165090488
36,36_0,FAILED,SOBOL,1566,619,41,589,0.306783393979072560586729423449
37,37_0,FAILED,SOBOL,4335,2862,77,276,0.595111221902072440315123458277
38,38_0,FAILED,SOBOL,3078,1349,24,970,0.869147089319303622900747541280
39,39_0,FAILED,SOBOL,319,3910,60,157,0.035030404696241024264935504107
40,40_0,FAILED,SOBOL,60,1071,18,344,0.960772718444466544696069831843
41,41_0,FAILED,SOBOL,2791,3672,54,531,0.126663647957146158207208941349
42,42_0,FAILED,SOBOL,4038,2119,47,225,0.402275165589526306764156515783
43,43_0,FAILED,SOBOL,1317,4402,83,912,0.690610607648268315372774850402
44,44_0,FAILED,SOBOL,2009,1652,73,859,0.553779136149212702910915595567
45,45_0,FAILED,SOBOL,4591,4252,12,47,0.358708291029557591045318076795
46,46_0,FAILED,SOBOL,3348,277,89,709,0.114368092093616730009486559538
47,47_0,FAILED,SOBOL,757,2559,28,397,0.792852793913334630282463422191
48,48_0,FAILED,SOBOL,801,66,53,939,0.494283986877650016733554139137
49,49_0,FAILED,SOBOL,3226,2783,14,126,0.657931293789297377827551827068
50,50_0,FAILED,SOBOL,4478,1758,86,620,0.930164034968242070533506193897
51,51_0,FAILED,SOBOL,2043,4158,47,308,0.220743099628016359314841565720
52,52_0,FAILED,SOBOL,1507,1896,8,485,0.022237385148182513272541172000
53,53_0,FAILED,SOBOL,3769,4613,72,673,0.825410222114995151265759432135
54,54_0,FAILED,SOBOL,2512,1165,29,73,0.584509705282747704657708709419
55,55_0,FAILED,SOBOL,260,3565,93,761,0.264750725015997889766339312700
56,56_0,FAILED,SOBOL,587,1416,35,740,0.738487482706084885641928394762
57,57_0,FAILED,SOBOL,2888,3855,99,428,0.418720888303592775336881004478
58,58_0,FAILED,SOBOL,4135,368,1,828,0.180142206989228725877438819225
59,59_0,FAILED,SOBOL,1844,3124,65,16,0.983307429820299172540387644403
60,60_0,RUNNING,SOBOL,2419,824,81,194,0.776163359370082628352349729539
61,61_0,RUNNING,SOBOL,4806,3263,42,880,0.066734809894114732742309570312
62,62_0,RUNNING,SOBOL,3564,2198,60,375,0.336417291482910496558389468191
63,63_0,RUNNING,SOBOL,1167,4955,21,562,0.500056984258815617749860393815
64,64_0,RUNNING,SOBOL,1120,1375,62,438,0.877869104119017751308717834036
65,65_0,RUNNING,SOBOL,3528,3975,23,750,0.215046709263697261027559193280
66,66_0,RUNNING,SOBOL,4785,566,78,6,0.438397173002362250393559861550
67,67_0,RUNNING,SOBOL,2367,2849,39,818,0.649008439429104355689048588829
68,68_0,RUNNING,SOBOL,1809,704,4,891,0.605617050621658603581920488068
69,69_0,RUNNING,SOBOL,4088,3304,68,203,0.301634589355438964553002278990
70,70_0,RUNNING,SOBOL,2836,2475,33,553,0.046936784533783797168648987963
71,71_0,RUNNING,SOBOL,566,4758,97,365,0.865520602500066127404920734989
72,72_0,RUNNING,SOBOL,308,263,26,135,0.138570031512528668571349044214
73,73_0,RUNNING,SOBOL,2547,2507,90,949,0.957146235343068862988502587541
74,74_0,RUNNING,SOBOL,3790,1717,10,297,0.701116432650014775873614780721
75,75_0,RUNNING,SOBOL,1560,4278,74,611,0.397126357248052952453321040593
76,76_0,RUNNING,SOBOL,2078,2172,85,683,0.346801940934732544352669947330
77,77_0,RUNNING,SOBOL,4526,4415,46,495,0.557405593225732465256783143559
78,78_0,RUNNING,SOBOL,3279,1046,56,751,0.782346935451030733865707134100
79,79_0,RUNNING,SOBOL,821,3607,17,63,0.119516926459968086948748577925
80,80_0,RUNNING,SOBOL,709,1113,91,521,0.671299557946622327264662999369
81,81_0,RUNNING,SOBOL,3313,3552,31,334,0.492119443863630268154452096496
82,82_0,RUNNING,SOBOL,4570,1922,70,922,0.231736262777820223313085534755
83,83_0,RUNNING,SOBOL,1956,4678,9,235,0.925502505289390708931307472085
84,84_0,RUNNING,SOBOL,1282,1771,49,37,0.812041924497112654890429439547
85,85_0,RUNNING,SOBOL,3990,4210,85,850,0.024401954187080264480069757838
86,86_0,FAILED,SOBOL,2738,1,16,406,0.253757595326751461684011701436
87,87_0,RUNNING,SOBOL,39,2757,52,719,0.589171208936721035875905272405
88,88_0,RUNNING,SOBOL,366,2263,22,783,0.407727754896506644488596293741
89,89_0,RUNNING,SOBOL,3114,4980,58,94,0.743148982642218514094167858275
90,90_0,FAILED,SOBOL,1620,529,59,475,0.563683798551559478440253769804
91,91_0,FAILED,SOBOL,4138,4340,16,515,0.331327178535982980189800173321
92,92_0,FAILED,SOBOL,2624,1916,82,23,0.129736937886103992356723324519
93,93_0,FAILED,SOBOL,145,3266,43,999,0.897329097915440798693964552513
94,94_0,FAILED,SOBOL,678,1482,2,761,0.837892807623371482783625197044
95,95_0,FAILED,SOBOL,3195,2793,73,223,0.072188367698341610045886795888
96,96_0,FAILED,SOBOL,4807,993,26,746,0.406387727420777056241973923534
97,97_0,FAILED,SOBOL,2327,4843,99,269,0.636734557641670084748852787015
98,98_0,FAILED,SOBOL,1938,2320,36,184,0.294762246288359175405702217176
99,99_0,FAILED,SOBOL,4416,3514,91,833,0.561230041997507256290589339187
100,100_0,FAILED,SOBOL,3585,308,12,325,0.975771836230531319777981025254
101,101_0,FAILED,SOBOL,1070,3963,64,661,0.246189335867762565390748363825
102,102_0,RUNNING,SOBOL,381,745,80,580,0.054175338530912997558885990657
103,103_0,RUNNING,SOBOL,2857,4439,47,432,0.785768314629793129810764185095
104,104_0,RUNNING,SOBOL,3903,1858,57,908,0.737620018683373901424715768371
105,105_0,RUNNING,SOBOL,1387,3013,20,72,0.469263320596888688918113530235
106,106_0,RUNNING,SOBOL,1506,1696,93,693,0.910287093812599756859071931103
107,107_0,RUNNING,SOBOL,3988,2890,32,294,0.179600053012371058125395961724
108,108_0,RUNNING,SOBOL,3001,934,66,801,0.345742119602858999360961433922
109,109_0,RUNNING,SOBOL,481,4589,9,216,0.611106356384232607403816928127
