trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
0,0_0,FAILED,SOBOL,3043,4696,3597,0.588427419781684890587314384902,0.558697907805442817164021107601,7.350676969945431515895961638307,str\(\'t-test\'\),49,str\(\'bounded\'\)
1,1_0,FAILED,SOBOL,61,1044,854,0.262618812551721925174774696643,0.101948480283841486082607730168,2.121078034315258431519168880186,str\(\'ks-test\'\),23,str\(\'bounded\'\)
2,2_0,FAILED,SOBOL,1843,3148,4268,0.769703831283375605742946845567,0.494835996847599768333481051741,3.684909320914186547923918624292,str\(\'t-test\'\),7,str\(\'bounded\'\)
3,3_0,FAILED,SOBOL,3878,1958,1427,0.065746745657175781341052811513,0.906524962540715906200716744934,8.290791291037574950451016775332,str\(\'ks-test\'\),33,str\(\'bounded\'\)
4,4_0,FAILED,SOBOL,4981,2658,436,0.175031326189637181922620357000,0.841141617694869614396679935453,5.087325356135145248970275133615,str\(\'t-test\'\),5,str\(\'bounded\'\)
5,5_0,FAILED,SOBOL,2029,1506,2614,0.971972211474552705290363974200,0.256017496282234802151833719108,0.326468331211246576284423781544,str\(\'ks-test\'\),29,str\(\'bounded\'\)
6,6_0,FAILED,SOBOL,1144,4244,2284,0.496655255721881960795371924178,0.149684199191629896397159882326,3.760992749873548923744692729088,str\(\'t-test\'\),38,str\(\'bounded\'\)
7,7_0,FAILED,SOBOL,3171,554,4520,0.665947727672755673822280186869,0.690174227140843865591079975275,9.148007874476723699785907228943,str\(\'ks-test\'\),14,str\(\'bounded\'\)
8,8_0,FAILED,SOBOL,3552,3568,1891,0.929532689087092856006222518772,0.012959950190037490547201315394,8.058199202758260071277618408203,str\(\'t-test\'\),2,str\(\'bounded\'\)
9,9_0,FAILED,SOBOL,880,2260,4752,0.233372004436328994714244799979,0.585688362713903232226186901244,2.662601867614314166132771788398,str\(\'ks-test\'\),28,str\(\'bounded\'\)
10,10_0,FAILED,SOBOL,2194,4530,48,0.740457513922825438790198404604,0.947148532142862653593340382940,1.727217270172201057931715695304,str\(\'t-test\'\),44,str\(\'bounded\'\)
11,11_0,FAILED,SOBOL,4543,684,2851,0.406851540938019728965713284197,0.392191482698544868767953630595,6.499097667746246642650476132985,str\(\'ks-test\'\),18,str\(\'bounded\'\)
12,12_0,FAILED,SOBOL,4085,4040,4036,0.329026665758341552159293996738,0.358167087890207791467389597528,9.388838512383401280203543137759,str\(\'t-test\'\),46,str\(\'bounded\'\)
13,13_0,FAILED,SOBOL,1441,232,1820,0.506116490451618994406146612164,0.801972344301640993613489172276,4.774450618035160687213647179306,str\(\'ks-test\'\),22,str\(\'bounded\'\)
14,14_0,FAILED,SOBOL,402,3116,3360,0.030799073686823250778354932322,0.664653327384963632518122267356,0.709038348106667437598105152574,str\(\'t-test\'\),13,str\(\'bounded\'\)
15,15_0,FAILED,SOBOL,2741,1770,1242,0.819943557996302807566735282307,0.238193042451515790691729534956,5.949584342134185632744447502773,str\(\'ks-test\'\),37,str\(\'bounded\'\)
16,16_0,FAILED,SOBOL,2526,2962,4974,0.452559277731925224674824903559,0.877033299360424289936588593264,4.589709242475219497237048926763,str\(\'ks-test\'\),10,str\(\'bounded\'\)
17,17_0,FAILED,SOBOL,500,1616,2132,0.649628587177023320009539020248,0.462436165083199735015284659312,9.964556681064888010723734623753,str\(\'t-test\'\),36,str\(\'bounded\'\)
18,18_0,FAILED,SOBOL,1343,3886,3048,0.127040704755112532353678034269,0.067588008565828208706882662682,5.899068255192601029079924046528,str\(\'ks-test\'\),46,str\(\'bounded\'\)
19,19_0,FAILED,SOBOL,4300,78,304,0.959555298816412660656283151184,0.531174521951004896536119304074,1.150378879033028933775995028554,str\(\'t-test\'\),20,str\(\'bounded\'\)
20,20_0,FAILED,SOBOL,4485,4684,1578,0.787971781566739082336425781250,0.719189114555716546561825452955,2.946439167551696325375587548479,str\(\'ks-test\'\),41,str\(\'bounded\'\)
21,21_0,FAILED,SOBOL,2448,838,3814,0.111790596539154643562774538168,0.183527801960706699047065626473,7.540077202594839711480290134205,str\(\'t-test\'\),17,str\(\'bounded\'\)
22,22_0,FAILED,SOBOL,626,3722,986,0.602793125497177229021872335579,0.287961372183635821997427228780,6.604921333728358767700683529256,str\(\'ks-test\'\),2,str\(\'bounded\'\)
23,23_0,FAILED,SOBOL,3611,2414,3163,0.312557277135550981572720274926,0.872063846113160234807537563029,1.387566398364491693229183510994,str\(\'t-test\'\),26,str\(\'bounded\'\)
24,24_0,FAILED,SOBOL,3424,4090,749,0.045165723733603953260473673481,0.424607457322999815030328818466,0.278193154799751929395768001996,str\(\'ks-test\'\),41,str\(\'bounded\'\)
25,25_0,FAILED,SOBOL,1086,400,3551,0.869882968770340103681348864484,0.976624067334458278999420599575,5.526100759688765684529698773986,str\(\'t-test\'\),15,str\(\'bounded\'\)
26,26_0,FAILED,SOBOL,2088,2504,1346,0.347295577103272079533269334206,0.613226100359112069604350381269,8.960396226280368026095857203472,str\(\'ks-test\'\),6,str\(\'bounded\'\)
