trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
356,356_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3423,80,0.001000000000000000020816681712,0.998999999999999999111821580300,960,EDFSMode.RANDOM
357,357_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,42,0.001000000000000000020816681712,0.001000000000000000020816681712,628,EDFSMode.RANDOM
358,358_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,972,1,0.998999999999999999111821580300,0.001000000000000000020816681712,534,EDFSMode.RANDOM
359,359_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2145,1,0.001000000000000000020816681712,0.998999999999999999111821580300,639,EDFSMode.RANDOM
360,360_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,32,0.001000000000000000020816681712,0.998999999999999999111821580300,766,EDFSMode.RANDOM
361,361_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.787254612037941225999304606376,0.998999999999999999111821580300,764,EDFSMode.RANDOM
362,362_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,133,EDFSMode.RANDOM
363,363_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,43,0.001000000000000000020816681712,0.001000000000000000020816681712,907,EDFSMode.RANDOM
364,364_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.713253295214375859778499489039,0.001000000000000000020816681712,499,EDFSMode.RANDOM
365,365_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,75,0.001000000000000000020816681712,0.001000000000000000020816681712,816,EDFSMode.RANDOM
