trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,FAILED,SOBOL,,,3870,261,340,0.915371567726135260123498937901,0.6
1,1_0,FAILED,SOBOL,,,2256,2977,2680,0.264232230441644788676569532981,0.9
2,2_0,FAILED,SOBOL,,,591,2245,1889,0.727188590442761739751631466788,0.8
3,3_0,FAILED,SOBOL,,,3347,4528,4859,0.076277445795014497953445697931,0.7
4,4_0,FAILED,SOBOL,,,2894,1263,3547,0.188359120732173312973145584692,0.0001
5,5_0,FAILED,SOBOL,,,651,4173,898,0.597564065726473914175187474029,0.5
6,6_0,FAILED,SOBOL,,,1485,1233,3837,0.378262901058420530908676937543,0.00001
7,7_0,RUNNING,SOBOL,,,4872,3324,1797,0.787696493195369829010132889380,0.0000000001
8,8_0,RUNNING,SOBOL,,,4517,1943,4143,0.530521914673969141595932796918,0.3
9,9_0,FAILED,SOBOL,,,1609,4811,1494,0.183705982217565177982976365456,0.0001
10,10_0,FAILED,SOBOL,,,1233,562,3241,0.839633065192028849033079040964,0.00000001
11,11_0,FAILED,SOBOL,,,2705,2695,1203,0.492558504933491347888008249356,0.001
12,12_0,FAILED,SOBOL,,,3536,910,2204,0.364884132144972672673333136117,0.8
13,13_0,FAILED,SOBOL,,,9,3667,4546,0.953663025701418476387516420800,0.2
14,14_0,COMPLETED,SOBOL,0.729999999999999982236431605997,2113.000000000000000000000000000000,2132,1587,23,0.054082643492147329522534704438,0.7
15,15_0,FAILED,SOBOL,,,4225,3830,2994,0.642602403620258000316312063660,0.5
16,16_0,FAILED,SOBOL,,,4128,1835,1324,0.429744642768055185033659881810,0.9
17,17_0,FAILED,SOBOL,,,1996,3923,4291,0.768796060301363493039161767229,0.001
18,18_0,FAILED,SOBOL,,,225,671,981,0.239535776514559983763064110462,0.000001
19,19_0,FAILED,SOBOL,,,3713,3582,3328,0.578845821850001773789529124770,0.00000001
20,20_0,FAILED,SOBOL,,,2527,315,4512,0.716264503825455922658704821515,0.01
21,21_0,FAILED,SOBOL,,,1017,2602,2489,0.119660182259976863305972472062,0.5
22,22_0,FAILED,SOBOL,,,1744,2181,2949,0.904265270713716762251976888365,0.0000000001
23,23_0,FAILED,SOBOL,,,4613,4895,286,0.307920082576572884391907791723,0.1
24,24_0,FAILED,SOBOL,,,4736,1011,2629,0.003475919526070356171260078426,0.7
25,25_0,FAILED,SOBOL,,,1389,3262,604,0.662440693184733420117993318854,0.6
26,26_0,FAILED,SOBOL,,,828,1494,4834,0.314459745910018684256215237838,0.0000000001
27,27_0,FAILED,SOBOL,,,3110,4244,2170,0.973196318566799112304011032393,0.1
28,28_0,FAILED,SOBOL,,,3131,2466,670,0.851370572384446910874089553545,0.9
29,29_0,FAILED,SOBOL,,,414,4591,3636,0.449930142313241965279502210251,0.00000000001
30,30_0,RUNNING,SOBOL,,,2352,31,1636,0.542564388822764143149868232285,0.01
