trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
165,165_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,4.000000000000000000000000000000,3214,193,1000,250,1
166,166_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,2.000000000000000000000000000000,1,648,1000,2,1
167,167_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,293,1000,2,10
168,168_0,FAILED,BoTorch,BOTORCH_MODULAR,,,2814,21,1000,2,10
169,169_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,2.000000000000000000000000000000,1,1306,1000,250,1
170,139_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,1,1000,2,10
171,171_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,494,1,1000,250,1
172,172_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,1,1000,2,1
173,173_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,20.000000000000000000000000000000,2868,1,1000,2,1
174,174_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,75.000000000000000000000000000000,1597,191,1000,2,1
175,175_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,9.000000000000000000000000000000,5000,1,1000,250,8
176,176_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,2.000000000000000000000000000000,1,1148,1000,2,1
177,177_0,FAILED,BoTorch,BOTORCH_MODULAR,,,4136,1,1000,2,10
178,178_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,4.000000000000000000000000000000,5000,426,1000,250,10
179,179_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1,494,2,6
180,180_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1,2,134,10
181,181_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,5.000000000000000000000000000000,5000,282,949,219,1
