trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,26.000000000000000000000000000000,4214,3839,0.330790317833423608284704187099,37,0.05
1,1_0,COMPLETED,Sobol,SOBOL,0.530000000000000026645352591004,8.000000000000000000000000000000,15,1285,0.549109693977981816459532637964,6,0.001
2,2_0,COMPLETED,Sobol,SOBOL,0.540000000000000035527136788005,12.000000000000000000000000000000,2354,3560,0.908970664395019389836249956716,24,0.25
3,3_0,COMPLETED,Sobol,SOBOL,0.589999999999999968913755310496,55.000000000000000000000000000000,3429,997,0.191666954297572383891790082089,42,0.005
4,4_0,COMPLETED,Sobol,SOBOL,0.579999999999999960031971113494,21.000000000000000000000000000000,2636,2660,0.729258878784254216398608150485,15,0.01
5,5_0,COMPLETED,Sobol,SOBOL,0.690000000000000057731597280508,129.000000000000000000000000000000,1602,262,0.386188033163547494996947762047,46,0.005
6,6_0,COMPLETED,Sobol,SOBOL,0.510000000000000008881784197001,9.000000000000000000000000000000,816,4901,0.027293628575280309833672731656,28,0.005
7,7_0,COMPLETED,Sobol,SOBOL,0.589999999999999968913755310496,25.000000000000000000000000000000,4977,2494,0.869349686488509187931583710451,9,0.025
8,8_0,COMPLETED,Sobol,SOBOL,0.589999999999999968913755310496,19.000000000000000000000000000000,4549,3337,0.135536450900137411812451659898,12,0.01
9,9_0,COMPLETED,Sobol,SOBOL,0.589999999999999968913755310496,44.000000000000000000000000000000,1247,930,0.977592038506642002637647692609,31,0.005
10,10_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,13.000000000000000000000000000000,1405,4221,0.620651115171611311716048930975,49,0.1
11,11_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,19.000000000000000000000000000000,2831,1824,0.277579799244180303041673596454,18,0.001
12,12_0,COMPLETED,Sobol,SOBOL,0.540000000000000035527136788005,14.000000000000000000000000000000,3626,4502,0.799509935405105398587011222844,39,0.25
13,13_0,COMPLETED,Sobol,SOBOL,0.510000000000000008881784197001,9.000000000000000000000000000000,2160,1938,0.082205747565254574937831932857,21,0.001
14,14_0,COMPLETED,Sobol,SOBOL,0.530000000000000026645352591004,12.000000000000000000000000000000,443,2905,0.440129383306950339171947916839,3,0.05
15,15_0,COMPLETED,Sobol,SOBOL,0.670000000000000039968028886506,93.000000000000000000000000000000,3783,351,0.658448291933164009392953630595,34,0.005
16,16_0,COMPLETED,Sobol,SOBOL,0.579999999999999960031971113494,19.000000000000000000000000000000,3909,3014,0.422233142638579028727008335409,32,0.25
17,17_0,COMPLETED,Sobol,SOBOL,0.600000000000000088817841970013,43.000000000000000000000000000000,609,607,0.702929428823292234973507675022,1,0.1
18,18_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,7.000000000000000000000000000000,2014,4542,0.813781499842181843540345198562,22,0.001
19,19_0,COMPLETED,Sobol,SOBOL,0.600000000000000088817841970013,17.000000000000000000000000000000,3440,2145,0.034100882492959498637485893369,41,0.05
20,20_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,8.000000000000000000000000000000,2997,4198,0.509196174135431611773583426839,19,0.001
21,21_0,COMPLETED,Sobol,SOBOL,0.619999999999999995559107901499,27.000000000000000000000000000000,1532,1634,0.353252235766500222169383960136,50,0.01
22,22_0,COMPLETED,Sobol,SOBOL,0.579999999999999960031971113494,13.000000000000000000000000000000,1062,3207,0.243366700833663351932756313545,29,0.1
23,23_0,COMPLETED,Sobol,SOBOL,0.640000000000000013322676295502,73.000000000000000000000000000000,4402,653,0.898295858930796331520696185180,10,0.005
24,24_0,COMPLETED,Sobol,SOBOL,0.540000000000000035527136788005,10.000000000000000000000000000000,4831,4768,0.102718479279428717698685602500,7,0.001
25,25_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,14.000000000000000000000000000000,631,2214,0.757647159634157962848632905661,26,0.01
26,26_0,COMPLETED,Sobol,SOBOL,0.570000000000000062172489379009,18.000000000000000000000000000000,1729,2634,0.649722757268696993193657363008,47,0.025
27,27_0,COMPLETED,Sobol,SOBOL,0.750000000000000000000000000000,228.000000000000000000000000000000,2802,71,0.493778341157361855273677520017,15,0.005
28,28_0,COMPLETED,Sobol,SOBOL,0.570000000000000062172489379009,14.000000000000000000000000000000,3243,3608,0.953211814731359519115017064905,44,0.1
29,29_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,13.000000000000000000000000000000,2208,1211,0.173530727075412866122761101906,25,0.05
30,30_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1,0.443913148012686553656180876715,1,0.01
31,31_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.540000000000000035527136788005,13.000000000000000000000000000000,2694,3461,0.635133808454490522699131815898,1,0.005
