trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
0,0_0,COMPLETED,GenerationStep_0,0.780000000000000026645352591004,5883.000000000000000000000000000000,1815,4584,4.928714874714613891626413533231,11,0.789802869677543650794859786402
1,1_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,1566.000000000000000000000000000000,3546,843,5.218598004872911033658056112472,6,0.220789492690935729157786227006
2,2_0,FAILED,GenerationStep_0,,,4647,2809,1.196059743341058467791526709334,18,0.474148817587643878201930647265
3,3_0,COMPLETED,GenerationStep_0,0.650000000000000022204460492503,154.000000000000000000000000000000,90,1529,8.950950449428521693562288419344,4,0.544466768369078590872334189044
4,4_0,COMPLETED,GenerationStep_0,0.760000000000000008881784197001,56.000000000000000000000000000000,1148,3633,6.755622939368710611063306714641,3,0.747894511332735434372409599746
5,5_0,FAILED,GenerationStep_0,,,4138,2353,3.411836791210808073060434253421,17,0.303631096238270392628777472055
6,6_0,COMPLETED,GenerationStep_0,0.709999999999999964472863211995,6827.000000000000000000000000000000,2729,4309,7.983407351786271810567541251658,10,0.050193784076720475428867729306
7,7_0,RUNNING,GenerationStep_0,,,1931,569,2.183744849582202718352164083626,14,0.993761764600872954389387814444
8,8_0,RUNNING,GenerationStep_0,,,2303,2986,8.130474471348337672793604724575,16,0.185560858925804483821053736392
9,9_0,COMPLETED,GenerationStep_0,0.830000000000000071054273576010,90.000000000000000000000000000000,3062,1746,1.704682029843330282048441404186,2,0.864046521807089407118951385200
10,10_0,RUNNING,GenerationStep_0,,,3845,4956,6.897833809136414195961606310448,13,0.610608674276620133625215203210
11,11_0,COMPLETED,GenerationStep_0,0.859999999999999986677323704498,4648.000000000000000000000000000000,893,1177,2.937625453371554673509535859921,9,0.431427576825022696116462839200
12,12_0,COMPLETED,GenerationStep_0,0.700000000000000066613381477509,42.000000000000000000000000000000,381,3976,0.113999394134618348140008947667,8,0.354167998244985959832575872497
13,13_0,COMPLETED,GenerationStep_0,0.920000000000000039968028886506,5735.000000000000000000000000000000,4901,197,9.740068998811766576295667618979,12,0.658403631383553178402223693411
14,14_0,COMPLETED,GenerationStep_0,0.770000000000000017763568394003,55.000000000000000000000000000000,3175,3416,3.841803118106909220585976072471,5,0.911763372678309647056948961108
15,15_0,RUNNING,GenerationStep_0,,,1483,2177,6.012572804050520858254458289593,20,0.108832304969429971563954495650
16,16_0,COMPLETED,GenerationStep_0,0.790000000000000035527136788005,1055.000000000000000000000000000000,1371,3209,1.343983277372084561562814997160,10,0.531150817004963804457418063976
17,17_0,RUNNING,GenerationStep_0,,,3425,1989,8.510696560826152889944751223084,15,0.460223698185756813217039962183
