trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,14.000000000000000000000000000000,3223,0.695841400861740067007588095294,0.563479228138923593505182907393,884,1325,478
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,173,0.327434446990489957940440035600,0.392505456121638396371764656578,4756,3327,3306
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,2486,0.907807449940592037229691868561,0.921250862792134306289426604053,1697,4036,4301
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,7.000000000000000000000000000000,4123,0.036509802829474212459981430356,0.095232041107490658649048498319,2669,765,2130
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,165.000000000000000000000000000000,4754,0.851112115602940311198665312986,0.308721541931852694329307951193,3153,319,984
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,9.000000000000000000000000000000,1861,0.233214816961437476638963062214,0.729198604237288217078116758785,2483,4880,2567
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,72.000000000000000000000000000000,794,0.502792112499475529752146485407,0.198505551462993035105597527945,4268,3070,4807
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,2590,0.379988643251359448083093184323,0.775025774773210329726680356544,94,2279,1390
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,90.000000000000000000000000000000,3052,0.944809522993862671569331723731,0.132948884647339587994352427813,1914,3642,2252
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,946,0.077400349572300908285171772150,0.835222268482670227029984744149,3745,1640,3799
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,115.000000000000000000000000000000,1397,0.658841681201010942459106445312,0.365965656366199265647765059839,510,1077,3575
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,150.000000000000000000000000000000,4603,0.286541565444320467381800199291,0.662695879196748105499636949389,3835,4348,121
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,3982,0.602174899872392366262374707730,0.997042775811627479676246821327,4642,4570,1747
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.930000000000000048849813083507,7.000000000000000000000000000000,2031,0.483278939653187966651870510759,0.045266979098320010710398975107,1014,9,4538
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,315,0.751727885708212806292749519343,0.512571907537057946946390529774,2935,1966,3070
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,3677,0.129925992824137220837954487251,0.465341175362467773801711246051,1407,2757,862
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,3534,0.804461451934650573214469204686,0.847100458730012162433808953210,4132,865,4450
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,485,0.186561803618445987140717079455,0.177110502956435073018681691792,270,3864,1620
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,2171,0.580876220559701339496427863196,0.645456662598997366053765745164,3290,3149,774
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,150.000000000000000000000000000000,3810,0.458070401636883617335627150169,0.318393119020387527218218792768,2308,1421,2943
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.920000000000000039968028886506,198.000000000000000000000000000000,4443,0.648960398433729990230744988366,0.030952782193198802307421146907,1873,2497,3946
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,9.000000000000000000000000000000,1550,0.280554913109168413409832965044,0.950444132156670118405372704729,2532,2936,2359
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.920000000000000039968028886506,13.000000000000000000000000000000,1109,0.985630773851647989935997884459,0.484040919268503788686075495207,708,4741,268
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,2902,0.114334584133699540542394856857,0.561607760570943304045954391768,4893,532,3683
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,64.000000000000000000000000000000,2742,0.555495237054303259149889981927,0.408768433071672931955475860377,3111,4179,2675
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,634,0.436594012374058371150908897107,0.612027529248967749886389810854,1270,1181,1130
