trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,1182,1414,429,True
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,24.000000000000000000000000000000,2825,2642,4321,False
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,4318,678,1771,True
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,38.000000000000000000000000000000,2209,4643,2860,False
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,3.000000000000000000000000000000,1566,137,4644,False
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,4927,3943,733,True
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,21.000000000000000000000000000000,3471,2111,3182,False
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,581,3185,2074,True
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,192,992,3654,True
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,50.000000000000000000000000000000,3239,4958,2262,False
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,4539,1724,4773,True
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,5.000000000000000000000000000000,1334,2953,1184,False
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,5.000000000000000000000000000000,1982,2430,1314,False
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,3935,3506,2725,True
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,4.000000000000000000000000000000,2598,442,237,False
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,799,4249,3845,True
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,7.000000000000000000000000000000,758,511,2351,False
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,2713,4165,3450,True
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,5.000000000000000000000000000000,3893,2204,1076,False
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,2097,3747,4996,True
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,1453,1651,2502,True
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,6.000000000000000000000000000000,4502,3040,1423,False
