trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.330000000000000015543122344752,14.000000000000000000000000000000,3044,2098,3263,0.386566915792226795112185300241
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.450000000000000011102230246252,35.000000000000000000000000000000,2113,3013,2128,0.815730662917997673133641001186
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.300000000000000044408920985006,8.000000000000000000000000000000,156,361,3801,0.227792328204121430346162924252
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.460000000000000019984014443253,47.000000000000000000000000000000,4688,4437,185,0.532123228582460416902222277713
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.369999999999999995559107901499,14.000000000000000000000000000000,4240,1138,1277,0.676489332843013158047540400730
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,65.000000000000000000000000000000,916,3968,2710,0.122459090086817740106184260185
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.609999999999999986677323704498,131.000000000000000000000000000000,1353,1315,719,0.952324412919580920444673211023
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.300000000000000044408920985006,10.000000000000000000000000000000,3493,3478,4671,0.273402038307674233319488621419
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.309999999999999997779553950750,8.000000000000000000000000000000,3394,138,1081,0.032516958964895460726385323369
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.309999999999999997779553950750,12.000000000000000000000000000000,1764,4812,4937,0.727048039162997206119598558871
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.589999999999999968913755310496,88.000000000000000000000000000000,969,2463,1617,0.316642617728654263142828995115
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.340000000000000024424906541753,15.000000000000000000000000000000,3876,2799,2991,0.886279898976814028976889403566
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.400000000000000022204460492503,10.000000000000000000000000000000,4677,1683,4083,0.773130191863700799714820277586
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.429999999999999993338661852249,26.000000000000000000000000000000,480,3272,526,0.453190704977326108693347350709
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.350000000000000033306690738755,12.000000000000000000000000000000,2253,922,3528,0.621669019214622697866445832915
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.489999999999999991118215802999,44.000000000000000000000000000000,2591,4345,2490,0.176898361047729851813770096669
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.300000000000000044408920985006,10.000000000000000000000000000000,2792,715,4788,0.977988301551341976391995558515
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.429999999999999993338661852249,24.000000000000000000000000000000,2366,4177,1227,0.283450642284937215364948315255
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.280000000000000026645352591004,12.000000000000000000000000000000,367,1827,2827,0.639234346412308473972530009632
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.589999999999999968913755310496,91.000000000000000000000000000000,4477,3377,1784,0.069588580845296385546383532983
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.600000000000000088817841970013,77.000000000000000000000000000000,3988,2300,381,0.206152805045153930674217690466
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,12.000000000000000000000000000000,1169,2596,4231,0.526098990077990991132139697584
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.280000000000000026645352591004,9.000000000000000000000000000000,1564,248,2323,0.427846276068408026826972445633
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,80.000000000000000000000000000000,3281,4961,3692,0.872625537632312653357757881167
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.380000000000000004440892098501,10.000000000000000000000000000000,3605,1425,1982,0.569187151315622030800511765847
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.609999999999999986677323704498,407.000000000000000000000000000000,1553,3627,3411,0.140016833494231107692939986009
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,64.000000000000000000000000000000,716,975,18,0.782591948902234380014419912186
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.340000000000000024424906541753,13.000000000000000000000000000000,4128,3765,3965,0.478252564205043029232911067083
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.300000000000000044408920985006,9.000000000000000000000000000000,4889,505,2562,0.372904979030136030093700583166
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.380000000000000004440892098501,26.000000000000000000000000000000,268,4542,1423,0.926941919932793845227081419580
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,92.000000000000000000000000000000,5000,2572,1114,0.000100000000000000004792173602
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,74.000000000000000000000000000000,3537,1851,173,0.998999999999999999111821580300
