trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
0,0_0,RUNNING,SOBOL,,,2945,4396,2.200240470990538543816228411742,17,0.028927419297397137520899690344
1,1_0,RUNNING,SOBOL,,,1606,1376,7.326922582655214455371606163681,5,0.965928884390741537835367580556
2,2_0,RUNNING,SOBOL,,,470,3658,2.543422853524796689583808984025,14,0.712205897143110666647203288449
3,3_0,RUNNING,SOBOL,,,4317,550,7.611040201279335448703022848349,6,0.276865575280040521199964587140
4,4_0,RUNNING,SOBOL,,,4506,2542,5.765000158104115257629018742591,9,0.447584459641948317898396680903
5,5_0,FAILED,SOBOL,,,670,729,0.638629235382191851044808572624,11,0.508339817158877882441458950780
6,6_0,COMPLETED,SOBOL,0.579999999999999960031971113494,109.000000000000000000000000000000,2040,4228,9.171745620696805545435381645802,2,0.764257588328793646681447171432
7,7_0,FAILED,SOBOL,,,3370,2482,4.103828938550316607347667741124,20,0.201353780105710034042942879751
8,8_0,FAILED,SOBOL,,,3681,3315,9.847908748599699890746705932543,13,0.876475024830549953591685152787
9,9_0,FAILED,SOBOL,,,2355,290,4.994808521206491214172729087295,10,0.064345386838540435947564333219
10,10_0,FAILED,SOBOL,,,991,4764,5.206009235530160594862536527216,19,0.320017607707530238325688287659
11,11_0,COMPLETED,SOBOL,0.709999999999999964472863211995,320.000000000000000000000000000000,4811,1651,0.255395875818096140807966776265,1,0.630486103398725350466236250213
12,12_0,COMPLETED,SOBOL,0.660000000000000031086244689504,178.000000000000000000000000000000,3985,3956,3.429611670440994242170518191415,3,0.582688859820365889774507195398
13,13_0,FAILED,SOBOL,,,176,2147,8.282400941698812246727356978226,16,0.397061676131561402947056649282
14,14_0,FAILED,SOBOL,,,1305,2829,1.821828803296200893768741480017,7,0.143093138583004486630301244077
15,15_0,FAILED,SOBOL,,,2623,1088,6.772741199406795864490504754940,15,0.830868772977963132575496274512
16,16_0,COMPLETED,SOBOL,0.670000000000000039968028886506,1083.000000000000000000000000000000,2677,2976,4.524122892534361284333499497734,3,0.283335921350866548618085971611
17,17_0,FAILED,SOBOL,,,1523,1235,9.376916037706658713091201207135,20,0.721260766414925424960813415964
18,18_0,COMPLETED,SOBOL,0.609999999999999986677323704498,156.000000000000000000000000000000,153,3790,0.414224851602688459717427349460,9,0.972368305470794447309401675739
19,19_0,FAILED,SOBOL,,,3813,1982,5.365141717614606342579008924076,11,0.038135055532678964473891625175
20,20_0,FAILED,SOBOL,,,4873,4911,8.440314034702256051900803868193,13,0.241908804826438422752588053299
21,21_0,FAILED,SOBOL,,,1202,1798,3.587218873197212776204878537101,6,0.801739833394065515292936652259
22,22_0,FAILED,SOBOL,,,2339,3149,6.300529099432751856113554822514,17,0.548924829974770545071294236550
23,23_0,FAILED,SOBOL,,,3502,125,1.349921401595696845987504275399,5,0.484914905311539745635940334978
24,24_0,FAILED,SOBOL,,,3199,4082,7.172060588421301119410600222182,7,0.686512568628415476013060469995
25,25_0,FAILED,SOBOL,,,2018,2336,2.045685195798054412108513133717,15,0.373215897392481565919553077038
