trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0_0,COMPLETED,GenerationStep_0,0.209999999999999992228438827624,662.000000000000000000000000000000,2797,75,0.132868280023336421402646578827,0.188865028560161601900446726177,733,EDFSMode.RANDOM
1,1_0,RUNNING,GenerationStep_0,,,682,34,0.992287211742252095447724968835,0.803423018405213906767414755450,290,EDFSMode.RANDOM
2,2_0,RUNNING,GenerationStep_0,,,1654,97,0.499469749616459013363822805331,0.358698196165263660795119449176,419,EDFSMode.RANDOM
3,3_0,RUNNING,GenerationStep_0,,,4873,13,0.625868222087621717264482867904,0.648711042923852843067322737625,885,EDFSMode.RANDOM
4,4_0,RUNNING,GenerationStep_0,,,4084,86,0.868608929231762916245429551054,0.551815947616472790571151563199,985,EDFSMode.RANDOM
5,5_0,COMPLETED,GenerationStep_0,0.179999999999999993338661852249,601.000000000000000000000000000000,2438,20,0.005291557224467396611244929261,0.440289834115654254986793603166,544,EDFSMode.RANDOM
6,6_0,RUNNING,GenerationStep_0,,,206,58,0.502007204037159704412829341891,0.900489461509510924486221483676,165,EDFSMode.RANDOM
7,7_0,COMPLETED,GenerationStep_0,0.270000000000000017763568394003,758.000000000000000000000000000000,3270,48,0.371710290348157279538554575993,0.107711171813309192213381493275,632,EDFSMode.RANDOM
8,8_0,RUNNING,GenerationStep_0,,,3527,89,0.576503362545743636147221877764,0.425946237463504073783582271062,259,EDFSMode.RANDOM
9,9_0,COMPLETED,GenerationStep_0,0.149999999999999994448884876874,1071.000000000000000000000000000000,495,4,0.297456720881164093928106240128,0.565869255343452115525337831059,693,EDFSMode.RANDOM
10,10_0,RUNNING,GenerationStep_0,,,2168,67,0.802397048933431555894912889926,0.028054455660283566381663078459,791,EDFSMode.RANDOM
11,11_0,COMPLETED,GenerationStep_0,0.369999999999999995559107901499,985.000000000000000000000000000000,3807,26,0.071261101294308903941754351763,0.979827335728332360353931562713,330,EDFSMode.RANDOM
12,12_0,RUNNING,GenerationStep_0,,,4585,54,0.424972527805715816207055013365,0.813749221557751312161599344108,455,EDFSMode.RANDOM
13,13_0,RUNNING,GenerationStep_0,,,1395,44,0.700120728252455637452555947675,0.178857665482908489984481548163,891,EDFSMode.RANDOM
14,14_0,COMPLETED,GenerationStep_0,0.260000000000000008881784197001,767.000000000000000000000000000000,960,82,0.199081469930708410132069730025,0.732118657825514662640387086867,592,EDFSMode.RANDOM
15,15_0,RUNNING,GenerationStep_0,,,3066,16,0.926318983787670746643527763808,0.275580870188772697471080164178,134,EDFSMode.RANDOM
16,16_0,COMPLETED,GenerationStep_0,0.200000000000000011102230246252,858.000000000000000000000000000000,2943,76,0.269452896259725072081181451722,0.925882817056030038571634577238,858,EDFSMode.RANDOM
17,17_0,RUNNING,GenerationStep_0,,,1162,16,0.606366999307647369654716840159,0.066709369646385310859137973694,390,EDFSMode.RANDOM
18,18_0,COMPLETED,GenerationStep_0,0.369999999999999995559107901499,1060.000000000000000000000000000000,1509,54,0.105569222111254926166346024274,0.526544349461793848021784469893,319,EDFSMode.RANDOM
19,19_0,RUNNING,GenerationStep_0,,,4393,38,0.770066283477470303608924950822,0.481169982990249989196485103093,760,EDFSMode.RANDOM
20,20_0,FAILED,GenerationStep_0,,,3917,65,0.731994556335732293739226861362,0.313919321658089778281919279834,659,EDFSMode.RANDOM
21,21_0,COMPLETED,GenerationStep_0,0.429999999999999993338661852249,2177.000000000000000000000000000000,1980,30,0.391182019505649791746293431061,0.677880519043654206079452251288,195,EDFSMode.RANDOM
22,22_0,FAILED,GenerationStep_0,,,373,93,0.895876583481207466874707279203,0.233765900259837511310223590044,515,EDFSMode.RANDOM
23,23_0,COMPLETED,GenerationStep_0,0.220000000000000001110223024625,1359.000000000000000000000000000000,3727,2,0.227481080897152437847452688402,0.774131647333502814767314248456,958,EDFSMode.RANDOM
24,24_0,FAILED,GenerationStep_0,,,3380,62,0.962210617121309064181389203441,0.687354890760034309415971165436,359,EDFSMode.RANDOM
25,25_0,COMPLETED,GenerationStep_0,0.029999999999999998889776975375,955.000000000000000000000000000000,17,46,0.160902792623266566174322633742,0.304765695409849268759927554129,818,EDFSMode.RANDOM
26,26_0,FAILED,GenerationStep_0,,,2316,84,0.658351032316684681156004899094,0.858634746015071836922061265795,665,EDFSMode.RANDOM
27,27_0,FAILED,GenerationStep_0,,,4284,24,0.465070021228864816098536039135,0.149551186969503757673294330743,230,EDFSMode.RANDOM
28,28_0,COMPLETED,GenerationStep_0,0.479999999999999982236431605997,5755.000000000000000000000000000000,4749,98,0.039234586181119086856217137438,0.053463160308077933846604423707,106,EDFSMode.RANDOM
29,29_0,FAILED,GenerationStep_0,,,1856,7,0.836643969461321801439623868646,0.938840641003102049921835714485,565,EDFSMode.RANDOM
30,30_0,COMPLETED,GenerationStep_0,0.179999999999999993338661852249,778.000000000000000000000000000000,796,70,0.343097245639190084887104603695,0.400659531867131601945430929845,918,EDFSMode.RANDOM
31,31_0,FAILED,GenerationStep_0,,,2606,35,0.532479822944849745525175421790,0.606734055116772696969462685956,484,EDFSMode.RANDOM
32,32_0,FAILED,GenerationStep_0,,,2512,95,0.786841483935713736919126404246,0.751054519873112447214680287289,619,EDFSMode.RANDOM
33,33_0,COMPLETED,GenerationStep_0,0.390000000000000013322676295502,1119.000000000000000000000000000000,885,11,0.086771211983636020725896287331,0.240791481526568540427746256682,178,EDFSMode.RANDOM
34,34_0,FAILED,GenerationStep_0,,,1778,73,0.592013233434408925326408734691,0.669941494300961504215763397951,531,EDFSMode.RANDOM
35,35_0,COMPLETED,GenerationStep_0,0.250000000000000000000000000000,607.000000000000000000000000000000,4822,33,0.281900919800624261135624237795,0.338031718766316768842727924493,999,EDFSMode.RANDOM
36,36_0,COMPLETED,GenerationStep_1,0.390000000000000013322676295502,1778.000000000000000000000000000000,5000,93,0.313837525229396063775055836231,0.998999999999999999111821580300,333,EDFSMode.RANDOM
37,37_0,COMPLETED,GenerationStep_1,0.179999999999999993338661852249,5186.000000000000000000000000000000,5000,1,0.998999999999999999111821580300,0.998999999999999999111821580300,530,EDFSMode.RANDOM
