trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
0,0_0,FAILED,SOBOL,,,30,4709,4426,0.289984528541564923198592396147,0.570813425421714759622204837797,8.814784208595753511872317176312,str\(\'t-test\'\),10,str\(\'bounded\'\)
1,1_0,FAILED,SOBOL,,,4479,790,1569,0.586526368433609612829116031207,0.304177807357162210966095017284,3.250365340135991765180278889602,str\(\'ks-test\'\),28,str\(\'bounded\'\)
2,2_0,FAILED,SOBOL,,,3591,3286,3314,0.179856828400865198513969289706,0.118556868709623813851194995550,2.175797821331769021924174012383,str\(\'t-test\'\),43,str\(\'bounded\'\)
3,3_0,FAILED,SOBOL,,,1624,2214,538,0.944180228430777757075986755808,0.756465346686542083887161425082,5.204460526469164349805396341253,str\(\'ks-test\'\),21,str\(\'bounded\'\)
4,4_0,FAILED,SOBOL,,,2222,2869,2370,0.871418281354010115791197677027,0.938825859801843742857840879878,7.778625909314492048451938899234,str\(\'t-test\'\),45,str\(\'bounded\'\)
5,5_0,FAILED,SOBOL,,,2911,1475,3977,0.014022124914452434307765571475,0.186149513782933345718006989955,4.598687439711764746164135431172,str\(\'ks-test\'\),19,str\(\'bounded\'\)
6,6_0,FAILED,SOBOL,,,3899,3982,987,0.720381251944228973016493000614,0.486797323776409052165092816722,0.671317968314513624505934785702,str\(\'t-test\'\),2,str\(\'bounded\'\)
7,7_0,FAILED,SOBOL,,,691,366,2513,0.393142612986266626329268092377,0.638208212641999117487046078168,6.396777035494335628129647375317,str\(\'ks-test\'\),36,str\(\'bounded\'\)
8,8_0,FAILED,SOBOL,,,983,3665,807,0.118107260128483174121960530556,0.351857488196343159980727932634,6.091316690340638828615738020744,str\(\'t-test\'\),49,str\(\'bounded\'\)
9,9_0,FAILED,SOBOL,,,4190,1930,3039,0.757711101830005673285484135704,0.523651433315128089773793362838,1.621262207715772118987729299988,str\(\'ks-test\'\),14,str\(\'bounded\'\)
10,10_0,COMPLETED,SOBOL,0.320000000000000006661338147751,13734.000000000000000000000000000000,2581,4426,1924,0.475814300104975718141986362753,0.835058492995798595792678042926,3.043389660353772452339171650237,str\(\'t-test\'\),4,str\(\'bounded\'\)
11,11_0,FAILED,SOBOL,,,1892,1172,4076,0.647575663005933166438410353294,0.040420630030333998261582451050,9.978406390946357618076945072971,str\(\'ks-test\'\),35,str\(\'bounded\'\)
12,12_0,FAILED,SOBOL,,,1290,4225,3489,0.544539559023454744490777557075,0.232062774615362288344044827682,7.399283030802385141555532754865,str\(\'t-test\'\),9,str\(\'bounded\'\)
13,13_0,FAILED,SOBOL,,,3258,24,6,0.342081391479820029477565412890,0.892455810310319064271311617631,0.625459285744465964818061820552,str\(\'ks-test\'\),30,str\(\'bounded\'\)
14,14_0,FAILED,SOBOL,,,4773,2529,4876,0.923667542260140139731561248482,0.715522124661132741252345113026,4.195502982896753607633399951737,str\(\'t-test\'\),38,str\(\'bounded\'\)
15,15_0,FAILED,SOBOL,,,324,1722,1475,0.190990944148972635607819370307,0.408965591041371201441734228865,8.514129128424450243528553983197,str\(\'ks-test\'\),25,str\(\'bounded\'\)
16,16_0,FAILED,SOBOL,,,530,2725,2839,0.706019388616085041832093338598,0.798992558971047373006513225846,0.018543925016187134263700997394,str\(\'ks-test\'\),40,str\(\'bounded\'\)
17,17_0,FAILED,SOBOL,,,4997,1620,695,0.409507075807079679030664465245,0.076483403891324991397127064374,6.988233978167176729812126723118,str\(\'t-test\'\),24,str\(\'bounded\'\)
18,18_0,FAILED,SOBOL,,,3385,4116,4266,0.823957414900884033137629103294,0.253417096976190803214734614812,8.378319986145942976918377098627,str\(\'ks-test\'\),7,str\(\'bounded\'\)
19,19_0,FAILED,SOBOL,,,1436,232,2046,0.059602619573473930580931323675,0.622089749980717865440738023608,3.943167685027234359296244292636,str\(\'t-test\'\),31,str\(\'bounded\'\)
20,20_0,FAILED,SOBOL,,,2097,4540,207,0.132548168446868647185610257111,0.679460295131430025428187491343,1.522719861992634760028408891230,str\(\'ks-test\'\),5,str\(\'bounded\'\)
21,21_0,FAILED,SOBOL,,,2805,959,3601,0.989973816649988291871409273881,0.445032469397410757050437268845,5.796831750208512268329741345951,str\(\'t-test\'\),33,str\(\'bounded\'\)
