trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
2045,2045_0,FAILED,BOTORCH_MODULAR,,,2367,1,2,250,4
2046,817_0,FAILED,BOTORCH_MODULAR,,,1057,1,2,50,3
2047,2047_0,FAILED,BOTORCH_MODULAR,,,4449,1,2,50,4
2048,2048_0,FAILED,BOTORCH_MODULAR,,,1028,1,2,52,3
2049,2049_0,FAILED,BOTORCH_MODULAR,,,4272,1,2,54,4
2050,2050_0,FAILED,BOTORCH_MODULAR,,,2299,1,2,250,4
2051,704_0,FAILED,BOTORCH_MODULAR,,,1060,1,2,51,3
2052,2052_0,FAILED,BOTORCH_MODULAR,,,4230,1,2,60,3
2053,850_0,FAILED,BOTORCH_MODULAR,,,1067,1,2,50,3
2054,2054_0,FAILED,BOTORCH_MODULAR,,,2387,1,2,250,4
2055,677_0,FAILED,BOTORCH_MODULAR,,,1061,1,2,51,3
2056,2056_0,FAILED,BOTORCH_MODULAR,,,4246,1,2,2,6
2057,525_0,FAILED,BOTORCH_MODULAR,,,1053,1,2,50,3
2058,2058_0,FAILED,BOTORCH_MODULAR,,,2192,1,2,250,4
2059,2059_0,FAILED,BOTORCH_MODULAR,,,1078,1,2,50,3
2060,875_0,FAILED,BOTORCH_MODULAR,,,1047,1,2,51,3
2061,2061_0,FAILED,BOTORCH_MODULAR,,,2333,1,2,245,4
2062,1300_0,FAILED,BOTORCH_MODULAR,,,1072,1,2,50,3
2063,2063_0,FAILED,BOTORCH_MODULAR,,,2694,1,2,233,4
2064,2064_0,FAILED,BOTORCH_MODULAR,,,1027,1,2,49,3
2065,2065_0,FAILED,BOTORCH_MODULAR,,,1896,1,2,250,4
2066,2066_0,FAILED,BOTORCH_MODULAR,,,1046,1,2,52,3
2067,1810_0,FAILED,BOTORCH_MODULAR,,,1224,1,2,163,3
2068,531_0,FAILED,BOTORCH_MODULAR,,,1056,1,2,51,3
2069,2069_0,FAILED,BOTORCH_MODULAR,,,4269,1,2,2,6
2070,2070_0,FAILED,BOTORCH_MODULAR,,,4264,1,2,47,4
2071,590_0,FAILED,BOTORCH_MODULAR,,,1042,1,2,51,3
2072,2072_0,FAILED,BOTORCH_MODULAR,,,2097,1,2,228,4
2073,682_0,FAILED,BOTORCH_MODULAR,,,1030,1,2,51,3
2074,2074_0,FAILED,BOTORCH_MODULAR,,,1723,1,2,238,4
2075,1248_0,FAILED,BOTORCH_MODULAR,,,1059,1,2,49,3
2076,2076_0,FAILED,BOTORCH_MODULAR,,,4226,1,2,56,3
2077,533_0,FAILED,BOTORCH_MODULAR,,,1044,1,2,51,3
2078,2078_0,FAILED,BOTORCH_MODULAR,,,5000,1,2,236,4
2079,2079_0,FAILED,BOTORCH_MODULAR,,,1181,1,2,163,3
2080,2080_0,FAILED,BOTORCH_MODULAR,,,1055,1,2,52,3
2081,2081_0,FAILED,BOTORCH_MODULAR,,,2740,1,2,239,5
2082,926_0,FAILED,BOTORCH_MODULAR,,,1079,1,2,51,3
2083,2083_0,FAILED,BOTORCH_MODULAR,,,4204,1,2,61,3
2084,868_0,FAILED,BOTORCH_MODULAR,,,1033,1,2,50,3
2085,2085_0,FAILED,BOTORCH_MODULAR,,,1262,1,2,168,3
2086,2086_0,FAILED,BOTORCH_MODULAR,,,4103,1,2,59,3
2087,2087_0,FAILED,BOTORCH_MODULAR,,,2002,1,2,250,3
2088,508_0,FAILED,BOTORCH_MODULAR,,,1072,1,2,51,3
2089,2089_0,FAILED,BOTORCH_MODULAR,,,4198,1,250,2,6
2090,595_0,FAILED,BOTORCH_MODULAR,,,1058,1,2,51,3
2091,2091_0,FAILED,BOTORCH_MODULAR,,,4200,1,2,61,3
2092,1322_0,FAILED,BOTORCH_MODULAR,,,1035,1,2,51,3
2093,2093_0,FAILED,BOTORCH_MODULAR,,,2229,1,2,234,4
2094,782_0,FAILED,BOTORCH_MODULAR,,,1054,1,2,50,3
2095,2095_0,FAILED,BOTORCH_MODULAR,,,2770,1,2,234,4
2096,2096_0,FAILED,BOTORCH_MODULAR,,,1168,1,2,161,3
2097,555_0,FAILED,BOTORCH_MODULAR,,,1073,1,2,50,3
2098,2098_0,FAILED,BOTORCH_MODULAR,,,1577,1,2,237,4
2099,2099_0,FAILED,BOTORCH_MODULAR,,,4169,1,2,60,3
2100,2100_0,FAILED,BOTORCH_MODULAR,,,2261,1,2,232,4
2101,685_0,FAILED,BOTORCH_MODULAR,,,1068,1,2,50,3
2102,2102_0,FAILED,BOTORCH_MODULAR,,,2000,1,2,245,4
2103,967_0,FAILED,BOTORCH_MODULAR,,,4166,1,2,60,3
2104,2104_0,FAILED,BOTORCH_MODULAR,,,1048,1,2,49,3
2105,2105_0,FAILED,BOTORCH_MODULAR,,,4240,1,2,2,6
2106,1821_0,FAILED,BOTORCH_MODULAR,,,1028,1,2,51,3
2107,2107_0,FAILED,BOTORCH_MODULAR,,,2022,1,2,250,4
2108,1315_0,FAILED,BOTORCH_MODULAR,,,1041,1,2,49,3
2109,2109_0,FAILED,BOTORCH_MODULAR,,,4215,1,2,59,3
2110,2110_0,FAILED,BOTORCH_MODULAR,,,1241,1,2,158,3
2111,2111_0,FAILED,BOTORCH_MODULAR,,,4075,1,2,58,3
2112,640_0,FAILED,BOTORCH_MODULAR,,,1046,1,2,51,3
2113,2113_0,FAILED,BOTORCH_MODULAR,,,3050,1,2,242,4
2114,2114_0,FAILED,BOTORCH_MODULAR,,,4244,1,2,50,4
2115,2115_0,FAILED,BOTORCH_MODULAR,,,4266,1,2,2,6
2116,842_0,FAILED,BOTORCH_MODULAR,,,1063,1,2,50,3
2117,2117_0,FAILED,BOTORCH_MODULAR,,,4295,1,2,61,3
2118,1712_0,FAILED,BOTORCH_MODULAR,,,1038,1,2,51,3
2119,2119_0,FAILED,BOTORCH_MODULAR,,,4334,1,2,63,3
2120,2120_0,FAILED,BOTORCH_MODULAR,,,2333,1,2,250,4
2121,598_0,FAILED,BOTORCH_MODULAR,,,1045,1,2,51,3
2122,2122_0,FAILED,BOTORCH_MODULAR,,,1190,1,2,167,3
2123,2123_0,FAILED,BOTORCH_MODULAR,,,2191,1,2,247,4
2124,850_0,FAILED,BOTORCH_MODULAR,,,1067,1,2,50,3
2125,2125_0,FAILED,BOTORCH_MODULAR,,,1745,1,2,250,4
2126,520_0,FAILED,BOTORCH_MODULAR,,,1083,1,2,50,3
2127,1082_0,FAILED,BOTORCH_MODULAR,,,1133,1,2,250,3
2128,916_0,FAILED,BOTORCH_MODULAR,,,4212,1,2,2,6
2129,2129_0,FAILED,BOTORCH_MODULAR,,,4209,1,2,50,4
2130,1090_0,FAILED,BOTORCH_MODULAR,,,1078,1,2,51,3
2131,2131_0,FAILED,BOTORCH_MODULAR,,,4291,1,2,47,4
2132,1238_0,FAILED,BOTORCH_MODULAR,,,1060,1,2,50,3
2133,2133_0,FAILED,BOTORCH_MODULAR,,,4216,1,2,2,6
2134,2134_0,FAILED,BOTORCH_MODULAR,,,4235,1,2,59,3
2135,2135_0,FAILED,BOTORCH_MODULAR,,,1023,1,2,50,3
2136,674_0,FAILED,BOTORCH_MODULAR,,,4387,1,2,2,6
2137,2137_0,FAILED,BOTORCH_MODULAR,,,2500,1,2,250,4
2138,2138_0,FAILED,BOTORCH_MODULAR,,,1195,1,2,162,3
2139,2139_0,FAILED,BOTORCH_MODULAR,,,4208,1,2,2,6
2140,2140_0,FAILED,BOTORCH_MODULAR,,,2542,1,2,250,4
2141,2141_0,FAILED,BOTORCH_MODULAR,,,4233,1,2,2,6
2142,668_0,FAILED,BOTORCH_MODULAR,,,1047,1,2,50,3
2143,2143_0,FAILED,BOTORCH_MODULAR,,,4347,1,2,2,6
2144,2144_0,FAILED,BOTORCH_MODULAR,,,4251,1,2,49,4
2145,2145_0,FAILED,BOTORCH_MODULAR,,,1875,1,2,234,4
2146,1584_0,FAILED,BOTORCH_MODULAR,,,1058,1,2,50,3
2147,2147_0,FAILED,BOTORCH_MODULAR,,,4183,1,2,62,3
2148,723_0,FAILED,BOTORCH_MODULAR,,,1061,1,2,50,3
2149,2149_0,FAILED,BOTORCH_MODULAR,,,4189,1,2,62,3
2150,688_0,FAILED,BOTORCH_MODULAR,,,1044,1,2,50,3
2151,1463_0,FAILED,BOTORCH_MODULAR,,,4245,1,2,2,6
2152,800_0,FAILED,BOTORCH_MODULAR,,,1051,1,2,51,3
2153,2153_0,FAILED,BOTORCH_MODULAR,,,3324,1,2,250,4
2154,559_0,FAILED,BOTORCH_MODULAR,,,1059,1,2,50,3
2155,2155_0,FAILED,BOTORCH_MODULAR,,,2736,1,2,244,4
2156,598_0,FAILED,BOTORCH_MODULAR,,,1045,1,2,51,3
2157,2157_0,FAILED,BOTORCH_MODULAR,,,4197,1,2,61,3
2158,2158_0,FAILED,BOTORCH_MODULAR,,,1029,1,2,50,3
2159,2159_0,FAILED,BOTORCH_MODULAR,,,4144,1,2,63,3
2160,738_0,FAILED,BOTORCH_MODULAR,,,1065,1,2,50,3
2161,2161_0,FAILED,BOTORCH_MODULAR,,,4214,1,2,47,4
2162,2162_0,FAILED,BOTORCH_MODULAR,,,2373,1,2,245,4
2163,896_0,FAILED,BOTORCH_MODULAR,,,1062,1,2,51,3
2164,2164_0,FAILED,BOTORCH_MODULAR,,,1840,2715,2,250,3
2165,2165_0,FAILED,BOTORCH_MODULAR,,,4231,1,2,60,3
2166,607_0,FAILED,BOTORCH_MODULAR,,,1066,1,2,50,3
2167,1486_0,FAILED,BOTORCH_MODULAR,,,4198,1,2,2,6
2168,2168_0,COMPLETED,BOTORCH_MODULAR,0.600000000000000088817841970013,262.000000000000000000000000000000,1723,2572,2,195,2
2169,2169_0,FAILED,BOTORCH_MODULAR,,,1086,1,2,50,3
2170,2170_0,FAILED,BOTORCH_MODULAR,,,4198,1,2,63,3
2171,598_0,FAILED,BOTORCH_MODULAR,,,1045,1,2,51,3
2172,664_0,FAILED,BOTORCH_MODULAR,,,1064,1,2,50,3
