trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,15.000000000000000000000000000000,3405,2008,0.734029363721609096060660704097,0.189419298976659766786667660199
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.400000000000000022204460492503,28.000000000000000000000000000000,118,4113,0.363988101321551960065647790543,0.745172457804903376477057008742
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.369999999999999995559107901499,30.000000000000000000000000000000,1512,1182,0.858939187056664388286719713506,0.464379807073622918878186283109
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.450000000000000011102230246252,27.000000000000000000000000000000,4475,2659,0.239324616277124729846192963123,0.969453758932650067059455523122
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.429999999999999993338661852249,28.000000000000000000000000000000,3770,580,0.382752376269456018320624934859,0.776079958930611657486053900357
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,12.000000000000000000000000000000,2057,3320,0.512304950052592911191595703713,0.283244778510183092823382366987
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.460000000000000019984014443253,37.000000000000000000000000000000,666,1390,0.008330791217926888925227046911,0.501362689567729780115712401312
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,13.000000000000000000000000000000,2703,4752,0.886968100035097406497186511842,0.059207672530785203368619562525
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,12.000000000000000000000000000000,2814,675,0.085412078312877573460504265768,0.371208388492465013452914490699
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.359999999999999986677323704498,22.000000000000000000000000000000,1100,2947,0.954262829527165790111098431225,0.812875628676265504779507864441
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,12.000000000000000000000000000000,2249,2349,0.459802048113103933868472950053,0.096489691479131584062045590144
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.380000000000000004440892098501,19.000000000000000000000000000000,4284,3993,0.579631413874123202489840878116,0.588836143279448109844054215500
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.390000000000000013322676295502,23.000000000000000000000000000000,4986,1756,0.795549209026340409245392493176,0.657689252199605056681264159124
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,13.000000000000000000000000000000,1701,4643,0.166149985894467666636131752966,0.152127516051754368975323927771
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.380000000000000004440892098501,24.000000000000000000000000000000,554,66,0.670609685923811094099278307112,0.932652144361287405160965136020
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,11.000000000000000000000000000000,3518,3575,0.290843300017807615542864141389,0.376410244829952722600552306176
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.400000000000000022204460492503,22.000000000000000000000000000000,3639,277,0.978024497590586516793109694845,0.545167808873578851880381535011
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,11.000000000000000000000000000000,352,3642,0.108533459392376241403610492853,0.020996682548895480302508786963
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.349999999999999977795539507497,25.000000000000000000000000000000,1746,1653,0.603238202185370053776125587319,0.800637970730662340557159950549
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,11.000000000000000000000000000000,4709,4391,0.483073396970704171948796101788,0.264772007789462804350222313587
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.429999999999999993338661852249,31.000000000000000000000000000000,4161,2291,0.142902930841967451547347423002,0.488603421498090051411367085166
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.340000000000000024424906541753,18.000000000000000000000000000000,2448,3771,0.771905739060230522419203680329,0.950828318841755337764709565818
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,11.000000000000000000000000000000,1057,937,0.267690000409819162108249201992,0.233376369180157777760697968006
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.369999999999999995559107901499,22.000000000000000000000000000000,3093,3040,0.646877074791863515557110986265,0.707297054907306987914239471138
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.369999999999999995559107901499,21.000000000000000000000000000000,2579,1454,0.325261343262530866482507008186,0.894540465313941268732378375717
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.330000000000000015543122344752,17.000000000000000000000000000000,865,4965,0.694662336354330167687010089139,0.420131995297968408031863418728
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.390000000000000013322676295502,27.000000000000000000000000000000,2014,330,0.200443015677854413647551723443,0.639315792413428396478991544427
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,12.000000000000000000000000000000,4050,3213,0.819722139561362528326071696938,0.176602159013971693468647572445
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,12.000000000000000000000000000000,4595,959,0.551553904912807091420745564392,0.077780644608661533845328506231
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.419999999999999984456877655248,32.000000000000000000000000000000,1310,2605,0.421604923658445485123991147702,0.613158830696716949937297158613
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.429999999999999993338661852249,27.000000000000000000000000000000,4905,5000,0.188791324515765301939040909929,0.894603783059103596642103184422
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.510000000000000008881784197001,36.000000000000000000000000000000,5000,5000,0.000100000000000000004792173602,0.464558399198052363043842660772
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,34.000000000000000000000000000000,1520,4678,0.000100000000000000004792173602,0.535967337117292608184015989536
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,32.000000000000000000000000000000,5000,3012,0.170940751778461047516444182293,0.823242374562112355640408623003
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,29.000000000000000000000000000000,4857,4971,0.000100000000000000004792173602,0.998999999999999999111821580300
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,1,5000,0.998999999999999999111821580300,0.985835074720532889003266063810
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,5000,5000,0.998999999999999999111821580300,0.865095549581739176048245099082
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.349999999999999977795539507497,20.000000000000000000000000000000,1,1,0.000100000000000000004792173602,0.552302659363314907281505838910
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,5000,2170,0.000100000000000000004792173602,0.001000000000000000020816681712
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,31.000000000000000000000000000000,4840,4841,0.000100000000000000004792173602,0.750632232641145424878459380125
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.349999999999999977795539507497,21.000000000000000000000000000000,5000,1,0.000100000000000000004792173602,0.904401555104247134586614720320
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,5000,5000,0.998999999999999999111821580300,0.998999999999999999111821580300
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,34.000000000000000000000000000000,5000,4275,0.000100000000000000004792173602,0.382077292453994243892623217107
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,4774,4873,0.998999999999999999111821580300,0.777639264492581028243023411051
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,32.000000000000000000000000000000,778,4985,0.000100000000000000004792173602,0.548597038889074961609537695040
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,5000,4231,0.998999999999999999111821580300,0.395146773997028522007468609445
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,4976,274,0.998999999999999999111821580300,0.331912331922132763928345866589
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.510000000000000008881784197001,32.000000000000000000000000000000,1,5000,0.000100000000000000004792173602,0.998999999999999999111821580300
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,2784,1,0.000100000000000000004792173602,0.001000000000000000020816681712
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.510000000000000008881784197001,30.000000000000000000000000000000,1,5000,0.000100000000000000004792173602,0.558839158159111004664509891882
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,1,1337,0.998999999999999999111821580300,0.001000000000000000020816681712
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,30.000000000000000000000000000000,4640,4277,0.000100000000000000004792173602,0.847786922157491518170502331486
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.349999999999999977795539507497,20.000000000000000000000000000000,5000,1,0.000100000000000000004792173602,0.998999999999999999111821580300
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.340000000000000024424906541753,15.000000000000000000000000000000,5000,2736,0.998999999999999999111821580300,0.849262752038833279577545454231
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,4979,359,0.000100000000000000004792173602,0.296918688998427826586379296714
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,5000,2707,0.998999999999999999111821580300,0.001000000000000000020816681712
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.349999999999999977795539507497,18.000000000000000000000000000000,1,2801,0.998999999999999999111821580300,0.935952123176927663905644294573
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,31.000000000000000000000000000000,4728,4908,0.000100000000000000004792173602,0.499651375941096931310170248253
59,59_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,446,1,0.998999999999999999111821580300,0.286320590288132503786755478359
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,18.000000000000000000000000000000,3179,4129,0.000100000000000000004792173602,0.358749137009039764656392890174
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,33.000000000000000000000000000000,3092,3806,0.000100000000000000004792173602,0.511940624356341911216361495462
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,3365,5000,0.006340889509403513021879028599,0.244134693253539147850261770145
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,2893,2700,0.000100000000000000004792173602,0.253278261937599835640355649957
64,64_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,24,1,0.466827144705020513626436695631,0.234054438726212010735139301687
65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.510000000000000008881784197001,30.000000000000000000000000000000,3449,5000,0.000100000000000000004792173602,0.457038400074626760538620828811
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,13.000000000000000000000000000000,719,1,0.355972449166548798871190228965,0.001000000000000000020816681712
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.510000000000000008881784197001,30.000000000000000000000000000000,2641,5000,0.000100000000000000004792173602,0.998999999999999999111821580300
