trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
0,0_0,RUNNING,SOBOL,,,2585,2810,599,0.275451909482479107005303831102,0.773395834803581205818545640795,4.079212512165308446299150091363,str\(\'t-test\'\),12,str\(\'bounded\'\)
1,1_0,RUNNING,SOBOL,,,207,702,3924,0.579171893123537340208883961168,0.371710554314777230633382032465,7.595285438078456685673245374346,str\(\'ks-test\'\),29,str\(\'bounded\'\)
2,2_0,RUNNING,SOBOL,,,2084,4074,2234,0.011983019024133682167709835653,0.148411918191239250441881836196,5.350452709261328543277613789542,str\(\'t-test\'\),44,str\(\'bounded\'\)
3,3_0,RUNNING,SOBOL,,,4462,2436,3205,0.815662931220605957882696657180,0.737418008003383862458690600761,1.366054616441950253502568557451,str\(\'ks-test\'\),23,str\(\'bounded\'\)
4,4_0,RUNNING,SOBOL,,,4197,4515,4529,0.992742943605408045826266061340,0.513762226901948504398376371682,2.935828217796981220999441575259,str\(\'t-test\'\),44,str\(\'bounded\'\)
5,5_0,RUNNING,SOBOL,,,1721,1467,969,0.173697768684476616662948345038,0.105055068114772442999793611307,8.794806412996724276354143512435,str\(\'ks-test\'\),15,str\(\'bounded\'\)
6,6_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,1097,3604,2718,0.729316959805786590997911389422,0.377057642484083799239158452110,6.709249994651415249791170936078,str\(\'t-test\'\),1,str\(\'bounded\'\)
7,7_0,RUNNING,SOBOL,,,3572,396,1825,0.410262040788307802419154768359,0.972686361081898209768326069025,0.068257199055515235808222485048,str\(\'ks-test\'\),35,str\(\'bounded\'\)
8,8_0,RUNNING,SOBOL,,,3286,3888,2886,0.208840686725452528982316380279,0.294902331700548525628136076193,2.303985316239297365115135107771,str\(\'t-test\'\),50,str\(\'bounded\'\)
9,9_0,RUNNING,SOBOL,,,762,2095,1367,0.903394978344440491291322814504,0.820973306652158507645822282939,5.662225365253165776380228635389,str\(\'ks-test\'\),16,str\(\'bounded\'\)
10,10_0,RUNNING,SOBOL,,,1383,2976,4987,0.445054944667965191040792660715,0.658172310184687359146948892885,8.531995594070293620347911200952,str\(\'t-test\'\),7,str\(\'bounded\'\)
11,11_0,RUNNING,SOBOL,,,3907,1025,802,0.639588051674887525521739917167,0.194528444474562994814803573718,4.392205814397894592104876210215,str\(\'ks-test\'\),36,str\(\'bounded\'\)
12,12_0,RUNNING,SOBOL,,,4897,3437,2086,0.551955292249098450341193711211,0.058583703773096205968951011300,1.006207007681019449663040177256,str\(\'t-test\'\),7,str\(\'bounded\'\)
13,13_0,RUNNING,SOBOL,,,2275,74,3683,0.373213482655584793956649036772,0.593377857208251979770352591004,7.021041684973054586293983447831,str\(\'ks-test\'\),28,str\(\'bounded\'\)
14,14_0,RUNNING,SOBOL,,,397,4700,122,0.788065383758395854307821082330,0.925726740285754190473710423248,9.731535603318363314429007004946,str\(\'t-test\'\),38,str\(\'bounded\'\)
15,15_0,RUNNING,SOBOL,,,3019,1810,4072,0.109394591977819796713156108581,0.453263091744855073361719632885,3.248840526422485996960176635184,str\(\'ks-test\'\),22,str\(\'bounded\'\)
16,16_0,RUNNING,SOBOL,,,2949,4855,1540,0.695713842710480090403279973543,0.704973062112927428835007503949,7.256720910601318408339466259349,str\(\'ks-test\'\),40,str\(\'bounded\'\)
