trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,229.000000000000000000000000000000,4957,20,0.620696067571639975568587033194,4273
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,179.000000000000000000000000000000,2097,5,0.268828439535573116003774885030,2269
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,184.000000000000000000000000000000,404,17,0.853548210559412878772889143875,3598
3,3_0,FAILED,Sobol,GenerationStep_0,,,2544,9,0.004758317697793244815951396731,446
4,4_0,FAILED,Sobol,GenerationStep_0,,,3716,14,0.437555453160777707566353456059,863
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,184.000000000000000000000000000000,795,13,0.709498375721275831295997704729,2554
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,182.000000000000000000000000000000,1707,24,0.171529442768543954889182145962,1539
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.140000000000000013322676295502,164.000000000000000000000000000000,3786,3,0.944306422134861378481218707748,4379
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,182.000000000000000000000000000000,4276,19,0.225691008923575270328498731942,2892
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,181.000000000000000000000000000000,1494,6,0.889425089646130762055520335707,1152
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,186.000000000000000000000000000000,1007,23,0.491830270290374738095806605997,4825
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.140000000000000013322676295502,160.000000000000000000000000000000,3225,3,0.654503777386620688716334370838,1721
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,111.000000000000000000000000000000,2991,26,0.783314096134156034878515129094,1933
13,13_0,FAILED,Sobol,GenerationStep_0,,,304,0,0.074737589081749322694747661444,3986
14,14_0,FAILED,Sobol,GenerationStep_0,,,2198,16,0.550331540623679726920158827852,3
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.110000000000000000555111512313,199.000000000000000000000000000000,4511,10,0.338938108570873752878327422877,3418
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,176.000000000000000000000000000000,4666,15,0.925238864909857516849456260388,1252
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,187.000000000000000000000000000000,2353,11,0.216663755765184762314135014094,4667
18,18_0,RUNNING,Sobol,GenerationStep_0,,,147,25,0.661070712933316873005651359563,682
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.140000000000000013322676295502,693.000000000000000000000000000000,2834,0,0.449674871720373625638700332274,2735
20,20_0,FAILED,Sobol,GenerationStep_0,,,3381,22,0.110566153911873701898294086732,3573
21,21_0,FAILED,Sobol,GenerationStep_0,,,1163,4,0.774302524823695437206083624915,470
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,190.000000000000000000000000000000,1337,19,0.345519818812608736635638706503,4141
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,186.000000000000000000000000000000,4119,8,0.508191809030249741496731985535,2401
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,6182.000000000000000000000000000000,3941,24,0.290509910413995375844109503305,291
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.110000000000000000555111512313,168.000000000000000000000000000000,1862,1,0.562451494552195119247528509732,3130
26,26_0,FAILED,Sobol,GenerationStep_0,,,638,14,0.055669496487826111708052678750,2114
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,183.000000000000000000000000000000,3559,11,0.828448944499716177780612724746,3806
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,195.000000000000000000000000000000,2700,18,0.731195573061704684469930271007,4849
29,29_0,FAILED,Sobol,GenerationStep_0,,,560,9,0.379325625093653806541027506682,1697
30,30_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,190.000000000000000000000000000000,1941,21,0.995233342258259656709640239569,3025
31,31_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,7102.000000000000000000000000000000,4801,5,0.146444906789809453639961134286,1020
32,32_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,232.000000000000000000000000000000,4733,17,0.471841075470671056368843210294,2451
33,33_0,COMPLETED,Sobol,GenerationStep_0,0.110000000000000000555111512313,180.000000000000000000000000000000,1971,9,0.634507338356226635589507623081,4133
34,34_0,FAILED,Sobol,GenerationStep_0,,,531,21,0.236912154652178297276066132326,618
35,35_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,179.000000000000000000000000000000,2769,6,0.900654223153367627929810623755,3467
36,36_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,183.000000000000000000000000000000,3472,23,0.538135858017951274057111277216,2727
37,37_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,202.000000000000000000000000000000,765,2,0.326734293190762414837990945671,732
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,114.000000000000000000000000000000,2970,26,0.855292602020819914265814531973,2280
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,114.000000000000000000000000000000,2923,26,0.955498709694208692155825701775,3134
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,112.000000000000000000000000000000,2799,26,0.748591392261438115518501490442,2327
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,114.000000000000000000000000000000,3241,26,0.932137401785391395137025938311,2306
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,135.000000000000000000000000000000,2909,26,0.976070441431623248007554138894,2292
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,116.000000000000000000000000000000,3152,26,0.802470381887313788382698476198,3072
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,114.000000000000000000000000000000,3079,26,0.744220271428705504312972607295,2249
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,133.000000000000000000000000000000,2724,26,0.903411228841154767543741854752,2267
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,118.000000000000000000000000000000,2835,26,0.589277280223453714391723679000,3192
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,117.000000000000000000000000000000,3102,26,0.998999999999999999111821580300,2466
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,120.000000000000000000000000000000,3098,26,0.814983602043279575788403690240,2389
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,181.000000000000000000000000000000,3504,23,0.998999999999999999111821580300,3137
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,115.000000000000000000000000000000,2442,26,0.826608448165938813900766035658,3109
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,115.000000000000000000000000000000,3096,26,0.683902355794430039104270235839,3179
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,112.000000000000000000000000000000,3036,26,0.936026074397322993547732039588,2124
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,137.000000000000000000000000000000,3545,26,0.753270833489401048232991797704,5000
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,113.000000000000000000000000000000,3333,26,0.890966591425211951182916436665,3200
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,111.000000000000000000000000000000,3310,26,0.815908230022366454115001488390,2254
