trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
1798,1798_0,RUNNING,BOTORCH_MODULAR,,,1,5000,5000,0.303175075671310578773187671686,0.495958426098034921292168064610,8.956993885052680681724268652033,str\(\'ks-test\'\),str\(\'full\'\),702
1799,1799_0,FAILED,BOTORCH_MODULAR,,,4924,1,1563,0.998999999999999999111821580300,0.998999999999999999111821580300,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),1
1800,1800_0,FAILED,BOTORCH_MODULAR,,,4878,3412,654,0.658677607475690152227798535023,0.186632281171771691186123121042,5.583874316309871410624054988148,str\(\'ks-test\'\),str\(\'full\'\),4441
1801,1801_0,FAILED,BOTORCH_MODULAR,,,4640,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1442
1802,1802_0,RUNNING,BOTORCH_MODULAR,,,2428,3365,2273,0.001000000000000000020816681712,0.219872352883863697581290352900,7.410288415680031270937888621120,str\(\'t-test\'\),str\(\'bounded\'\),1
1803,1803_0,FAILED,BOTORCH_MODULAR,,,4753,1,1,0.998999999999999999111821580300,0.330717678933628855819648606484,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1
1804,1804_0,FAILED,BOTORCH_MODULAR,,,4723,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1334
1805,1805_0,FAILED,BOTORCH_MODULAR,,,4847,1,66,0.998999999999999999111821580300,0.998999999999999999111821580300,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),879
1806,1806_0,FAILED,BOTORCH_MODULAR,,,4783,1,1,0.998999999999999999111821580300,0.853220010269989947992996803805,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),1
1807,1807_0,FAILED,BOTORCH_MODULAR,,,4676,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1477
1808,1808_0,RUNNING,BOTORCH_MODULAR,,,56,4155,5000,0.356812643730538281428010805030,0.001000000000000000020816681712,4.761014330041395403725346113788,str\(\'t-test\'\),str\(\'bounded\'\),598
1809,1809_0,RUNNING,BOTORCH_MODULAR,,,5000,4311,1,0.875567601142998919172555361001,0.946647763752052617824972458038,4.224117954379289052724288922036,str\(\'t-test\'\),str\(\'bounded\'\),429
1810,1810_0,FAILED,BOTORCH_MODULAR,,,215,5000,1,0.865396209804347060767781840696,0.721638874528075846548347271892,6.389342619798390465746251720702,str\(\'ks-test\'\),str\(\'full\'\),5000
1811,1811_0,RUNNING,BOTORCH_MODULAR,,,4164,4239,1,0.998999999999999999111821580300,0.666026324349658582768540782126,3.400309391942326620039693807485,str\(\'ks-test\'\),str\(\'full\'\),2594
1812,1812_0,FAILED,BOTORCH_MODULAR,,,4729,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1431
1813,1813_0,FAILED,BOTORCH_MODULAR,,,4843,1,1935,0.998999999999999999111821580300,0.998999999999999999111821580300,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),1
1814,1814_0,FAILED,BOTORCH_MODULAR,,,4802,1,1,0.998999999999999999111821580300,0.324361766530648076845011473779,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),68
1815,1815_0,FAILED,BOTORCH_MODULAR,,,4718,1,1,0.998999999999999999111821580300,0.848593315246596535672551908647,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),1
1816,1816_0,FAILED,BOTORCH_MODULAR,,,4781,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1641
1817,1817_0,FAILED,BOTORCH_MODULAR,,,4578,1,1,0.998999999999999999111821580300,0.159679526293630941191636907206,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),2127
1818,1818_0,FAILED,BOTORCH_MODULAR,,,4578,1,1,0.687076242429799477484664294025,0.272031241755958552719363297001,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'bounded\'\),2127
1819,1819_0,FAILED,BOTORCH_MODULAR,,,4732,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1606
