trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,450.000000000000000000000000000000,4995,2534,7,0.091538260459899906118508283726
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,100.000000000000000000000000000000,893,1416,1,0.820223138613626390203137361823
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.419999999999999984456877655248,986.000000000000000000000000000000,1351,4593,8,0.303182357631623766724970892028
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.600000000000000088817841970013,121.000000000000000000000000000000,2954,682,4,0.533606318155303571693082176353
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.479999999999999982236431605997,408.000000000000000000000000000000,3568,3939,3,0.632277819586917755323440815118
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,3435.000000000000000000000000000000,1968,8,7,0.394544232983142117987540586910
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.390000000000000013322676295502,175.000000000000000000000000000000,239,3188,4,0.980797552475705769481351126160
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,239.000000000000000000000000000000,4340,2090,10,0.243828429572284233195489377977
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.460000000000000019984014443253,649.000000000000000000000000000000,3843,4835,5,0.472668241828680057992073670903
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.500000000000000000000000000000,142.000000000000000000000000000000,443,1217,9,0.741221920358017039021092386974
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.380000000000000004440892098501,350.000000000000000000000000000000,2465,3069,2,0.134640880938619367235276058636
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,153.000000000000000000000000000000,3364,1658,8,0.902917452504858331074899524538
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.429999999999999993338661852249,659.000000000000000000000000000000,2767,3742,9,0.804717789547517936554754669487
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,351.000000000000000000000000000000,1870,2312,3,0.044725453436374663918062566381
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.440000000000000002220446049250,511.000000000000000000000000000000,1079,4161,6,0.580175192138180140233316706144
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.619999999999999995559107901499,206.000000000000000000000000000000,4476,563,2,0.318931147124618286081698670387
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.479999999999999982236431605997,438.000000000000000000000000000000,4600,4280,10,0.940022457668557742671566757053
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.619999999999999995559107901499,212.000000000000000000000000000000,1121,369,5,0.210576160363852987744692768501
