trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,RUNNING,GenerationStep_0,,,636,4704,97,128,0.893481938719749457789021107601
1,1_0,FAILED,GenerationStep_0,,,4808,515,12,680,0.430121925424784445901593699091
2,2_0,FAILED,GenerationStep_0,,,3355,3057,65,343,0.224988175490871078476828870407
3,3_0,FAILED,GenerationStep_0,,,2443,2307,26,849,0.700907939916476596664551834692
4,4_0,FAILED,GenerationStep_0,,,1774,3603,13,907,0.564404208071529911450170402532
5,5_0,FAILED,GenerationStep_0,,,2744,1619,77,401,0.104200250323861834389482794450
6,6_0,RUNNING,GenerationStep_0,,,4100,4146,50,622,0.301653517806902526920964646706
7,7_0,RUNNING,GenerationStep_0,,,143,1225,61,69,0.780242036810144812264411484648
8,8_0,FAILED,GenerationStep_0,,,420,2583,39,446,0.440858782563358531092490011360
9,9_0,FAILED,GenerationStep_0,,,3825,2162,53,988,0.976248516261577603536636615900
10,10_0,FAILED,GenerationStep_0,,,3092,4540,24,21,0.676617928592488149242001327366
11,11_0,COMPLETED,GenerationStep_0,0.589999999999999968913755310496,5576.000000000000000000000000000000,1424,57,85,546,0.155774755852296942215673425380
12,12_0,RUNNING,GenerationStep_0,,,2171,3995,73,730,0.019516817826777697192364158241
13,13_0,FAILED,GenerationStep_0,,,3624,744,38,204,0.555588016673922546750929996051
14,14_0,RUNNING,GenerationStep_0,,,4455,3141,90,804,0.847534790707752061500457330112
15,15_0,FAILED,GenerationStep_0,,,991,1453,1,263,0.327860387803986685906210141184
16,16_0,FAILED,GenerationStep_0,,,1095,3420,54,590,0.722106763631105375011998148693
17,17_0,FAILED,GenerationStep_0,,,4662,1358,43,96,0.195991047266870749288258934939
18,18_0,FAILED,GenerationStep_0,,,3500,3816,84,883,0.396256748961284765986334832633
19,19_0,FAILED,GenerationStep_0,,,1985,817,20,436,0.935145423410460363555785079370
