trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,COMPLETED,SOBOL,0.739999999999999991118215802999,1183.000000000000000000000000000000,547,1128,4.531435408979654688721439015353,0.046354702532291416905430025963,True,True
1,1_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,4026,3886,7.108080730328336649392895196797,0.010810095476452261792355002967,False,False
2,2_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,3074,1267,1.860808661596849544750398308679,0.036973446465563032659051856399,False,False
3,3_0,COMPLETED,SOBOL,0.739999999999999991118215802999,3876.000000000000000000000000000000,1417,3742,9.124476190707646594546531559899,0.019998136278241873675654005638,True,True
4,4_0,COMPLETED,SOBOL,0.750000000000000000000000000000,2734.000000000000000000000000000000,2082,2465,5.707507011499256321940265479498,0.017436796934809536269161966970,True,True
5,5_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,3740,2530,3.284645115819759819686396440375,0.028319776834920051128419160591,False,False
6,6_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,4610,145,8.065674144242889198608281731140,0.001674679649062454705674141131,False,False
7,7_0,COMPLETED,SOBOL,0.750000000000000000000000000000,3537.000000000000000000000000000000,1132,4845,0.330834577385336170429752655764,0.043501956325490032106984017446,True,True
8,8_0,COMPLETED,SOBOL,0.739999999999999991118215802999,2219.000000000000000000000000000000,706,1727,8.369617861189880159145104698837,0.029494180664885790571494439405,False,True
9,9_0,COMPLETED,SOBOL,0.739999999999999991118215802999,12.000000000000000000000000000000,4726,3267,0.637257525101304067582930201752,0.015489126914180816746435809250,True,False
10,10_0,COMPLETED,SOBOL,0.729999999999999982236431605997,69.000000000000000000000000000000,3175,648,5.396277951382101534250068652909,0.038488718627020718221487527444,True,False
11,11_0,COMPLETED,SOBOL,0.739999999999999991118215802999,3409.000000000000000000000000000000,2333,4342,2.975895435468293825920227391180,0.005914367546793072860644713273,False,True
12,12_0,COMPLETED,SOBOL,0.750000000000000000000000000000,956.000000000000000000000000000000,1670,626,2.174593238798901317920808651252,0.009637349419295788977013472731,False,True
13,13_0,COMPLETED,SOBOL,0.729999999999999982236431605997,18.000000000000000000000000000000,2512,4389,9.440740147675388271863994305022,0.048301011021714662652115634955,True,False
14,14_0,COMPLETED,SOBOL,0.729999999999999982236431605997,34.000000000000000000000000000000,4139,2004,4.210518070551567682002769288374,0.025012749245855957908046818261,True,False
15,15_0,COMPLETED,SOBOL,0.739999999999999991118215802999,2990.000000000000000000000000000000,118,3005,6.789642613356933864565689873416,0.032732111859135333553627589254,False,True
