trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,25.000000000000000000000000000000,2513,158,312,0.744236922156810809525495642447
1,1_0,COMPLETED,GenerationStep_0,0.450000000000000011102230246252,411.000000000000000000000000000000,888,3873,3247,0.132662063082586961781927925585
2,2_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,23.000000000000000000000000000000,1973,1794,2323,0.836410486815404197180612300144
3,3_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,23.000000000000000000000000000000,3930,2922,4359,0.285317811080720240557440092743
4,4_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,27.000000000000000000000000000000,4569,1957,2660,0.470457269724737836558148273980
5,5_0,COMPLETED,GenerationStep_0,0.209999999999999992228438827624,103.000000000000000000000000000000,1331,3330,662,0.904485613630618856539911121217
6,6_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,22.000000000000000000000000000000,268,1094,4711,0.064162043067719790045977390491
7,7_0,COMPLETED,GenerationStep_0,0.479999999999999982236431605997,115.000000000000000000000000000000,3135,4877,1738,0.558668777487706380568965869315
8,8_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,24.000000000000000000000000000000,3652,1398,4581,0.977086723595112616180813347455
9,9_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,133.000000000000000000000000000000,454,2693,1315,0.394900157951191044247707395698
10,10_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,26.000000000000000000000000000000,1849,398,2884,0.571796524045243836908980483713
11,11_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,100.000000000000000000000000000000,4755,4259,1140,0.053990287155658012174797022453
12,12_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,27.000000000000000000000000000000,4136,855,2136,0.235626927779987449529386367431
13,13_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,377.000000000000000000000000000000,2471,4490,3840,0.636365052109211681852229958167
14,14_0,COMPLETED,GenerationStep_0,0.489999999999999991118215802999,94.000000000000000000000000000000,1093,2352,396,0.330756508202105725668928926098
15,15_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,25.000000000000000000000000000000,3011,3560,3702,0.795878756901994388606169650302
16,16_0,COMPLETED,GenerationStep_0,0.479999999999999982236431605997,176.000000000000000000000000000000,2834,2333,1407,0.114572294274345037878859443481
17,17_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,27.000000000000000000000000000000,1189,3617,4410,0.507750414193421595321353834152
18,18_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,26.000000000000000000000000000000,2291,717,959,0.459431637822836635987044928697
19,19_0,COMPLETED,GenerationStep_0,0.289999999999999980015985556747,170.000000000000000000000000000000,4230,4589,2985,0.916993882112577596288360837207
20,20_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,23.000000000000000000000000000000,4851,534,4060,0.856218834412842966230527963489
21,21_0,COMPLETED,GenerationStep_0,0.579999999999999960031971113494,124.000000000000000000000000000000,1673,4161,1995,0.265984460679069167898802561467
22,22_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,23.000000000000000000000000000000,548,1418,3570,0.700650776987150281094329784537
23,23_0,COMPLETED,GenerationStep_0,0.260000000000000008881784197001,106.000000000000000000000000000000,3473,2634,607,0.174796732007712118939224410497
24,24_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,25.000000000000000000000000000000,3345,1114,3388,0.349346461097430449616041414629
25,25_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,72.000000000000000000000000000000,128,4817,93,0.775814741054084100468912765791
26,26_0,COMPLETED,GenerationStep_0,0.190000000000000002220446049250,22.000000000000000000000000000000,1546,2093,4149,0.192771471314039072320056789067
27,27_0,COMPLETED,GenerationStep_0,0.550000000000000044408920985006,275.000000000000000000000000000000,4431,3232,2454,0.679718141784798390858668426517
28,28_0,COMPLETED,GenerationStep_0,0.650000000000000022204460492503,150.000000000000000000000000000000,3791,1656,834,0.623427086368110061620484430023
29,29_0,COMPLETED,GenerationStep_0,0.309999999999999997779553950750,387.000000000000000000000000000000,2183,3020,2567,0.003804505721759051089375658350
30,30_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,3754,3287,4262,0.637331344250690712271989468718
31,31_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,24.000000000000000000000000000000,4337,80,1506,0.639910363549720750953042625042
32,32_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,24.000000000000000000000000000000,3512,1390,2355,0.641115386319847102569724484056
33,33_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,1780,3233,4147,0.998999999999999999111821580300
34,34_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,24.000000000000000000000000000000,3525,3263,4844,0.619818272126639979724416207318
35,35_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,4314,2473,3799,0.631540875517705990738193122525
36,36_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,71.000000000000000000000000000000,3768,4041,1,0.627716907613207086846784932277
37,37_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,3425,67,4815,0.638436124046688924238424078794
38,38_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,23.000000000000000000000000000000,5000,3238,4189,0.998999999999999999111821580300
39,39_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,23.000000000000000000000000000000,1,3204,4232,0.998999999999999999111821580300
40,40_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,23.000000000000000000000000000000,3846,3060,3990,0.620323067715883413875133101101
41,41_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,21.000000000000000000000000000000,903,1908,5000,0.293964965122786359152939894557
42,42_0,COMPLETED,GenerationStep_1,0.369999999999999995559107901499,82.000000000000000000000000000000,1378,5000,1,0.287268990749525832129052105302
43,43_0,COMPLETED,GenerationStep_1,0.660000000000000031086244689504,105.000000000000000000000000000000,4012,809,1,0.635352876280997347357981652749
44,44_0,COMPLETED,GenerationStep_1,0.540000000000000035527136788005,104.000000000000000000000000000000,3725,4098,1630,0.628318483485094336771226153360
45,45_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,23.000000000000000000000000000000,3474,2731,4895,0.641876987497999151877081658313
46,46_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,23.000000000000000000000000000000,3519,3125,4232,0.668603561417957181767235397274
