trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3041,3020,2072,0.418154227256774924104121282653,0.000000000100000000000000003643
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,367,1342,4318,0.907059067394584417343139648438,0.400000000000000022204460492503
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,2214,4730,1072,0.114257097847759725439686917525,0.699999999999999955591079014994
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4848,861,2535,0.618511718695983314653119577997,0.000100000000000000004792173602
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4262,4202,4630,0.742448620643466727919701497740,0.000010000000000000000818030539
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1629,180,1760,0.240204237589612595860089072630,0.500000000000000000000000000000
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,953,3744,3474,0.781613971715793054428900177300,0.200000000000000011102230246252
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3627,1906,133,0.294719401903450473056977898523,0.000000000000999999999999999980
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3197,4578,3402,0.131683938015252355313577936613,0.299999999999999988897769753748
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,837,1022,493,0.636182240949943689223289311485,0.000000010000000000000000209226
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1432,2556,4746,0.342258474973961723808457691121,0.000100000000000000004792173602
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3754,1816,1366,0.830919567033648442944127054943,0.900000000000000022204460492503
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4418,3280,804,0.954963053869083533520267792483,0.599999999999999977795539507497
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,2096,2380,3091,0.468312225628644218655693975961,0.000000099999999999999995474811
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,173,4051,2304,0.510600103840231911433988898352,0.000000000009999999999999999395
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,2533,341,3807,0.008112038699910045086438614703,0.010000000000000000208166817117
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,2672,3887,439,0.763359248576685800458108133171,0.001000000000000000020816681712
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,34,486,3154,0.253987891331315052134698362352,0.800000000000000044408920985006
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1918,3404,1460,0.708600385446101377340255567105,0.400000000000000022204460492503
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4597,2197,4954,0.215066239075735216035312191707,0.000000001000000000000000062282
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3933,2725,2841,0.089682188466191289921702889387,0.000000000000999999999999999980
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1254,1667,752,0.585104508517309995774269282265,0.100000000000000005551115123126
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,698,4449,4019,0.377985812323167913451271715530,0.500000000000000000000000000000
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3336,1210,2396,0.889245369274169195072943239211,0.000000999999999999999954748112
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3455,3556,4107,0.535251303292810898248887951922,0.800000000000000044408920985006
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1127,2035,1980,0.041473415350541470436596114268,0.000010000000000000000818030539
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1762,4351,2785,0.995207765379920616943820732558,0.000000010000000000000000209226
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4127,12,1125,0.486080090221017613316689676140,0.200000000000000011102230246252
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4713,4913,1666,0.360558972155675283577380696443,0.010000000000000000208166817117
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,2348,736,4422,0.871574847020208820502773505723,0.000000000100000000000000003643
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,5000,0.998999999999999999111821580300,0.900000000000000022204460492503
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,5000,1,0.998999999999999999111821580300,0.900000000000000022204460492503
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,1,1,1,0.001000000000000000020816681712,0.000000000000999999999999999980
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,5000,0.998999999999999999111821580300,0.000000000000999999999999999980
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,5000,1,1,0.001000000000000000020816681712,0.900000000000000022204460492503
