trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
178,178_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,46.000000000000000000000000000000,1612,3761,2549,False
179,179_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,4393,2218,True
180,180_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,30.000000000000000000000000000000,2779,3303,1,True
181,181_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,9.000000000000000000000000000000,5000,4173,5000,True
182,182_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,65.000000000000000000000000000000,5000,2854,1,True
183,183_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,72.000000000000000000000000000000,5000,2463,1,True
184,184_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,62.000000000000000000000000000000,5000,2219,1,True
185,185_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,3757,4736,3830,True
186,186_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,14.000000000000000000000000000000,3403,1,2362,False
187,187_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,1,2153,1230,False
188,188_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,5000,3637,True
189,189_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,9.000000000000000000000000000000,5000,4345,3151,True
190,190_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,63.000000000000000000000000000000,3992,2272,1,False
191,191_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,48.000000000000000000000000000000,1325,2286,1494,False
192,192_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,2985,2897,3830,True
193,193_0,COMPLETED,BoTorch,GenerationStep_1,0.510000000000000008881784197001,46.000000000000000000000000000000,3240,3032,1,True
194,194_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,44.000000000000000000000000000000,1912,3229,1,True
