trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,FAILED,GenerationStep_0,827,3901,30,295,0.116518366038799281447779776499
1,1_0,FAILED,GenerationStep_0,3810,988,66,690,0.673204606901854241129967704182
2,2_0,FAILED,GenerationStep_0,3618,3338,4,185,0.937764679599553341304840614612
3,3_0,FAILED,GenerationStep_0,1571,1873,90,829,0.256454016208648660768432137047
4,4_0,FAILED,GenerationStep_0,2471,2769,62,903,0.459858788499608650557348710208
5,5_0,FAILED,GenerationStep_0,2966,2354,50,110,0.766923188319429738335486490541
6,6_0,FAILED,GenerationStep_0,4647,4392,82,513,0.595010499117895941267875059566
7,7_0,FAILED,GenerationStep_0,93,428,21,471,0.163078117372468106571758994505
8,8_0,FAILED,GenerationStep_0,523,3553,81,7,0.688257965181022890455153628864
9,9_0,FAILED,GenerationStep_0,4758,1268,18,979,0.006943598821759223646554737286
10,10_0,FAILED,GenerationStep_0,2689,4233,52,398,0.366013610921800125463931863123
11,11_0,FAILED,GenerationStep_0,1895,890,38,621,0.922696033563464856896985111234
12,12_0,FAILED,GenerationStep_0,1526,4997,10,679,0.844519117070361979848769351520
13,13_0,FAILED,GenerationStep_0,3268,214,99,340,0.412582824157550931420956885631
14,14_0,FAILED,GenerationStep_0,4326,2866,34,788,0.210369250500574700435407748955
15,15_0,FAILED,GenerationStep_0,1019,2022,72,198,0.517429858123883645859564239800
16,16_0,FAILED,GenerationStep_0,1098,3077,13,557,0.311293049905449148440084172762
17,17_0,FAILED,GenerationStep_0,4091,2037,76,460,0.992485445097088803123597244848
18,18_0,FAILED,GenerationStep_0,3346,4689,43,918,0.634298159681260576014949492674
19,19_0,FAILED,GenerationStep_0,1291,102,56,70,0.077981434907764199393476189925
20,20_0,FAILED,GenerationStep_0,2129,4209,97,137,0.155199511243030441320911450021
21,21_0,FAILED,GenerationStep_0,2611,670,9,851,0.586769979881122671905302468076
22,22_0,FAILED,GenerationStep_0,4993,3635,74,276,0.790049108708277381118989524111
23,23_0,FAILED,GenerationStep_0,445,1546,35,742,0.483110568916425120455926389695
24,24_0,FAILED,GenerationStep_0,171,4670,65,768,0.883808621682226625004830111720
25,25_0,FAILED,GenerationStep_0,4412,512,29,248,0.327488104712218064396012096040
26,26_0,FAILED,GenerationStep_0,3045,2549,91,626,0.061801667857915167092475172694
27,27_0,FAILED,GenerationStep_0,2237,2330,5,357,0.742990151882171656616549171304
28,28_0,FAILED,GenerationStep_0,1806,3225,46,407,0.540544357309117873278125898651
