trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,9.000000000000000000000000000000,2127,2231,9,0.525767306089401253998971697001
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,7.000000000000000000000000000000,3512,3997,4,0.245878873014822613152219332733
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,33.000000000000000000000000000000,3910,1134,6,0.805887441441416774168260417355
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,9.000000000000000000000000000000,454,2592,1,0.461903188593685620766393640224
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.619999999999999995559107901499,34.000000000000000000000000000000,775,502,5,0.272671535132452846905692922519
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,12.000000000000000000000000000000,4858,3263,10,0.990767841255292269764254342590
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.589999999999999968913755310496,12.000000000000000000000000000000,2566,1594,2,0.052733313981443645512836582157
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,11.000000000000000000000000000000,1803,4673,7,0.706764281969517460524343732686
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.609999999999999986677323704498,46.000000000000000000000000000000,1376,753,3,0.936578006505966231820536904706
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,11.000000000000000000000000000000,2997,2973,8,0.342851053081452861182043534427
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,21.000000000000000000000000000000,4426,2164,4,0.652376481549814313254387343477
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,8.000000000000000000000000000000,1202,4065,10,0.123232627490535373571134414306
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.589999999999999968913755310496,8.000000000000000000000000000000,256,1507,7,0.175684124935418378710139108989
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,8.000000000000000000000000000000,4102,4761,2,0.579972392346709941790550146834
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,194.000000000000000000000000000000,3319,101,8,0.391419105214998119812719323818
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,6.000000000000000000000000000000,2324,3664,3,0.860260015448555348527293062943
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.700000000000000066613381477509,59.000000000000000000000000000000,2498,163,8,0.011155089579522610432338325381
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,10.000000000000000000000000000000,3145,3574,3,0.729372210621833771959643399896
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.619999999999999995559107901499,32.000000000000000000000000000000,4279,1258,10,0.291191479662433250208408708204
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,5.000000000000000000000000000000,79,4976,5,0.945343262569978803888659513177
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.530000000000000026645352591004,14.000000000000000000000000000000,1027,1949,1,0.755975578930228930829571254435
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,8.000000000000000000000000000000,4601,4324,6,0.476207935679703930897943564560
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.630000000000000004440892098501,28.000000000000000000000000000000,2820,859,3,0.536121081670746235658953082748
