trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,0_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,2.000000000000000000000000000000,4399,3206,0.876680158495902972504154604394,0.503756802678108184245786560496
1,1_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,2.000000000000000000000000000000,2195,550,0.086274980762973421666295337218,0.375601843338459751020508292640
2,2_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,65,4552,0.612891650004312449340204693726,0.941771942915394899564773822931
3,3_0,COMPLETED,GenerationStep_0,0.739999999999999991118215802999,2.000000000000000000000000000000,2855,1587,0.413093699019402238459264253834,0.069958636082708830494780727349
4,4_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,3129,3909,0.171286505179479714433554704556,0.224618220696225751042973683980
5,5_0,COMPLETED,GenerationStep_0,0.719999999999999973354647408996,1.000000000000000000000000000000,964,2190,0.870078505761921361383315343119,0.849850591242313435635935547907
6,6_0,COMPLETED,GenerationStep_0,0.739999999999999991118215802999,2.000000000000000000000000000000,1297,2603,0.343158163372427216231130842061,0.285512124439701420186565883341
7,7_0,COMPLETED,GenerationStep_0,0.739999999999999991118215802999,3.000000000000000000000000000000,4126,1192,0.634569269200786933993185812142,0.656341954488307233184229971812
8,8_0,COMPLETED,GenerationStep_0,0.739999999999999991118215802999,2.000000000000000000000000000000,3886,4809,0.273832140592858208627546900971,0.792155104111880059569728018687
9,9_0,COMPLETED,GenerationStep_0,0.750000000000000000000000000000,3.000000000000000000000000000000,1711,1525,0.689995270784944270126004539634,0.164987787602469321290854509243
10,10_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,714,3656,0.225509885996580117240029039749,0.731321410782635239478111088829
11,11_0,COMPLETED,GenerationStep_0,0.719999999999999973354647408996,61.000000000000000000000000000000,3553,61,0.799549869650974853740876824304,0.358558545740321255035354397478
12,12_0,COMPLETED,GenerationStep_0,0.719999999999999973354647408996,1.000000000000000000000000000000,2655,3010,0.557715072710067039096770713513,0.450718889445066439591869311698
13,13_0,COMPLETED,GenerationStep_0,0.739999999999999991118215802999,2.000000000000000000000000000000,441,668,0.482665335303172460257314924092,0.576910347023978808955746444553
14,14_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,1985,4201,0.946966969581320872073604277830,0.012643558312207460458953534044
15,15_0,COMPLETED,GenerationStep_0,0.739999999999999991118215802999,3.000000000000000000000000000000,4785,2172,0.031813593141734597402603412775,0.882491462638601675827487724746
16,16_0,COMPLETED,GenerationStep_0,0.739999999999999991118215802999,2.000000000000000000000000000000,4926,4229,0.742373939467594001762051902915,0.257730648010969176642248612552
17,17_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,2135,1880,0.295033148538321243758986156536,0.629554124632850320431032287161
18,18_0,COMPLETED,GenerationStep_0,0.719999999999999973354647408996,1.000000000000000000000000000000,593,2918,0.758375427737832064067902138049,0.190038049746304754661352376388
19,19_0,COMPLETED,GenerationStep_0,0.719999999999999973354647408996,2.000000000000000000000000000000,2798,887,0.215513052770867935548082527930,0.814253935029730202543873929244
20,20_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,3696,3522,0.457571810517460098033382109861,0.969518663119524726212716814189
21,21_0,COMPLETED,GenerationStep_0,0.739999999999999991118215802999,9.000000000000000000000000000000,866,244,0.501424431731924413746526170144,0.096780240653082730273304434832
22,22_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,2.000000000000000000000000000000,1861,4871,0.037898402022197845429030138575,0.538364101774990611026794340432
23,23_0,COMPLETED,GenerationStep_0,0.750000000000000000000000000000,4.000000000000000000000000000000,4027,1278,0.984248946703970450933240954328,0.411172342689707870366788711181
24,24_0,COMPLETED,GenerationStep_0,0.739999999999999991118215802999,2.000000000000000000000000000000,4296,2702,0.107471345126628869959262146949,0.047254899630323053683067513475
25,25_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,1456,985,0.929070110822096451030915886804,0.918058376133441877975371880893
26,26_0,COMPLETED,GenerationStep_0,0.739999999999999991118215802999,1.000000000000000000000000000000,1125,3893,0.403109116075560436343039327767,0.478469195505604127927057334091
27,27_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,2.000000000000000000000000000000,3301,2490,0.571713523712009230592911990243,0.603727919597178752653121591720
28,28_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,3027,4501,0.813799884559586628185456902429,0.696744795946404371633775554074
29,29_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,227,1843,0.146189526520669466069790587426,0.322957827787846318834397152386
30,30_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,4966,1619,0.990799496387243072703654434008,0.921235475327916053522869788139
31,31_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2755,1374,0.662594174358826060178273564816,0.998999999999999999111821580300
32,32_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,888,1358,0.664777715263981439086649061210,0.998999999999999999111821580300
33,33_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,3.000000000000000000000000000000,1453,1113,0.652488938117584460485431918642,0.185576852765941685552419926353
34,34_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,3914,1580,0.998999999999999999111821580300,0.998999999999999999111821580300
35,35_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,4.000000000000000000000000000000,5000,1515,0.984846635667501968391945865733,0.001000000000000000020816681712
36,36_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,3185,1612,0.998999999999999999111821580300,0.998999999999999999111821580300
37,37_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,5000,2085,0.998999999999999999111821580300,0.001000000000000000020816681712
38,38_0,FAILED,GenerationStep_1,,,698,560,0.001000000000000000020816681712,0.001000000000000000020816681712
39,39_0,FAILED,GenerationStep_1,,,5000,1289,0.001000000000000000020816681712,0.001000000000000000020816681712
40,40_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,4357,1763,0.998999999999999999111821580300,0.170800362767226460158909162601
41,41_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,4.000000000000000000000000000000,4439,3180,0.021230164856480316509790284840,0.998999999999999999111821580300
42,42_0,FAILED,GenerationStep_1,,,214,219,0.001000000000000000020816681712,0.998999999999999999111821580300
43,43_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,40,1420,0.642424088723744124429515522934,0.998999999999999999111821580300
44,44_0,FAILED,GenerationStep_1,,,1880,987,0.001000000000000000020816681712,0.001000000000000000020816681712
45,45_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2136,1245,0.641659609725046653494473503088,0.998999999999999999111821580300
46,46_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,347,1083,0.690624034539466080673264514189,0.001000000000000000020816681712
47,47_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,5000,1402,0.978869699502473822327885955019,0.998999999999999999111821580300
48,48_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,4541,1824,0.967557440987226180517666307423,0.998999999999999999111821580300
49,49_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2590,1557,0.700001438024351108069254223665,0.998999999999999999111821580300
50,50_0,FAILED,GenerationStep_1,,,1292,741,0.001000000000000000020816681712,0.998999999999999999111821580300
51,51_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,5000,5000,0.998999999999999999111821580300,0.998999999999999999111821580300
52,52_0,FAILED,GenerationStep_1,,,3914,1377,0.001000000000000000020816681712,0.001000000000000000020816681712
53,53_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,2918,1211,0.998999999999999999111821580300,0.001000000000000000020816681712
54,54_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,5000,2315,0.677499506487316827119116169342,0.001000000000000000020816681712
55,55_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2437,2153,0.001000000000000000020816681712,0.001000000000000000020816681712
56,56_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,4.000000000000000000000000000000,1887,1107,0.608699879500217977401632651890,0.001000000000000000020816681712
57,57_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,99,2246,0.418278291172481941906369229400,0.998999999999999999111821580300
58,58_0,FAILED,GenerationStep_1,,,1,1,0.001000000000000000020816681712,0.001000000000000000020816681712
59,59_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,570,5000,0.998999999999999999111821580300,0.998999999999999999111821580300
60,60_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,8.000000000000000000000000000000,1169,373,0.477755376753746741069761583276,0.214635693222108597799646645399
61,61_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,2288,916,0.621475916816630724603953694896,0.205075882126932229621019132537
62,62_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1,369,0.354839734287106411958490070901,0.001000000000000000020816681712
63,63_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2403,4068,0.487434435167658386411915216740,0.425909928057629172393205863045
64,64_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,2183,375,0.512707156199612490432571121346,0.001000000000000000020816681712
65,65_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,38,368,0.536924449043524321112386132882,0.452785690288559250493705121698
66,66_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2165,802,0.580493271247184638994554006786,0.200537897334478243394073615491
67,67_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,5.000000000000000000000000000000,2625,365,0.358308659192746847832466983164,0.001000000000000000020816681712
68,68_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,11.000000000000000000000000000000,1997,410,0.491620029278876102818429671970,0.303469510241552553608812559105
69,69_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1,4052,0.413380430558005773633567514480,0.179890720539793519394677900891
70,70_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,2554,1001,0.648694204951618336174590240262,0.241039265190670759508861920040
71,71_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,705,370,0.544805061503903953479266419890,0.998999999999999999111821580300
72,72_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,5000,368,0.998999999999999999111821580300,0.998999999999999999111821580300
73,73_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,31,3377,0.307183648036662260150109204915,0.001000000000000000020816681712
74,74_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1,367,0.998999999999999999111821580300,0.998999999999999999111821580300
75,75_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,6.000000000000000000000000000000,904,380,0.605383784331410823575936319685,0.404109817868820331288048919305
76,76_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,134,366,0.339229874724778834860217102687,0.427679140252346434714070255723
77,77_0,FAILED,GenerationStep_1,,,5000,366,0.001000000000000000020816681712,0.001000000000000000020816681712
78,78_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,8.000000000000000000000000000000,1225,374,0.610464882065718583703528565820,0.001000000000000000020816681712
79,79_0,FAILED,GenerationStep_1,,,1,366,0.001000000000000000020816681712,0.998999999999999999111821580300
80,80_0,FAILED,GenerationStep_1,,,1,367,0.001000000000000000020816681712,0.001000000000000000020816681712
81,81_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,2638,1619,0.644090502311100654431186285365,0.287879149695700220501493049596
82,82_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,6.000000000000000000000000000000,4951,856,0.973665950309407834950548021880,0.214508394352056847020904228884
83,83_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1,366,0.199946046850202008293706512632,0.001000000000000000020816681712
84,84_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,400,4348,0.446889025862193423055401808597,0.163985479438559095255456554696
85,85_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,12.000000000000000000000000000000,4945,374,0.466556334857710808261543888875,0.001000000000000000020816681712
86,86_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,8.000000000000000000000000000000,5000,380,0.998999999999999999111821580300,0.593286512964623091725968606625
87,87_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,1482,3377,0.001727108881228928138895639677,0.001000000000000000020816681712
88,88_0,FAILED,GenerationStep_1,,,1,370,0.001000000000000000020816681712,0.630251712431258659385946430120
89,89_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1639,4064,0.424158684390296802924069652363,0.793992066833002163583898891375
90,90_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,2462,757,0.260649907209154430010045189192,0.001000000000000000020816681712
91,91_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,1975,2281,0.717365150067489909524454105849,0.134619028813775132302765769055
92,92_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,2448,736,0.134380474975606706289354974615,0.001000000000000000020816681712
93,93_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,3681,3879,0.998999999999999999111821580300,0.001000000000000000020816681712
94,94_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,1109,1822,0.588649249877246094619920313562,0.396097399312762277201471761146
95,95_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,3368,3180,0.360450635375382189007353872512,0.001000000000000000020816681712
96,96_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,3549,3523,0.998999999999999999111821580300,0.345351457797466954158238650052
97,97_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,1795,4800,0.684762490628232245448714365921,0.103810490145661307725966082671
98,98_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,1933,3334,0.706393298557024373884871693008,0.043412413340659442018143465702
99,99_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2243,3548,0.704609574839640151466824136151,0.001000000000000000020816681712
100,100_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,1.000000000000000000000000000000,2539,4804,0.664589911734766447537481326435,0.001000000000000000020816681712
101,101_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,4248,3681,0.001000000000000000020816681712,0.001000000000000000020816681712
102,102_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,4869,4997,0.992569498561347574039359642484,0.021890700651072920318584991151
103,103_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,3620,4711,0.570968363945916435042704506486,0.001000000000000000020816681712
104,104_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,4530,3683,0.287853964906397086220835035419,0.001000000000000000020816681712
105,105_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,1.000000000000000000000000000000,2245,4845,0.737882947561811497472206156090,0.228433143371830349455109399059
106,106_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,3.000000000000000000000000000000,2823,935,0.257156569905502785378104135816,0.001000000000000000020816681712
107,107_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,4.000000000000000000000000000000,5000,1232,0.067292934115034661046728103884,0.746416204832827112625182053307
108,108_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,3938,2747,0.998999999999999999111821580300,0.450195580289199703827307530446
109,109_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,3924,5000,0.998999999999999999111821580300,0.330456879328088870551027866895
110,110_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,3658,2795,0.966788169138047104311795010290,0.001000000000000000020816681712
111,111_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,4259,4264,0.001000000000000000020816681712,0.001000000000000000020816681712
112,112_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,4187,3464,0.414627153136082671203155314288,0.001000000000000000020816681712
113,113_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,4204,4698,0.998999999999999999111821580300,0.001000000000000000020816681712
114,114_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,7.000000000000000000000000000000,5000,774,0.050436050247951669245338734981,0.781375170934563767488612029410
115,115_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,3887,4054,0.998999999999999999111821580300,0.365705776574075547280529008276
116,116_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,3228,4273,0.998999999999999999111821580300,0.074269012845503357134191446676
117,117_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,4355,4906,0.455123704653115912499572459637,0.001000000000000000020816681712
118,118_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,5000,3418,0.207841559869325703813203176651,0.033374290260865593915617921539
119,119_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2918,3574,0.998999999999999999111821580300,0.021527134651236585344280527465
120,120_0,FAILED,GenerationStep_1,,,2170,1064,0.001000000000000000020816681712,0.392843485396835279122029760401
121,121_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,5000,1410,0.602228658860512355843752629880,0.356364957008126370663347870504
122,122_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,2526,1185,0.004411786087559929799006841478,0.277382005059009562053518038738
123,123_0,FAILED,GenerationStep_1,,,5000,1469,0.001000000000000000020816681712,0.264094679220491901361356212874
124,124_0,FAILED,GenerationStep_1,,,1978,1017,0.001000000000000000020816681712,0.498199566004766947191484405266
125,125_0,FAILED,GenerationStep_1,,,4061,1712,0.001000000000000000020816681712,0.001000000000000000020816681712
126,126_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,4.000000000000000000000000000000,5000,1244,0.998999999999999999111821580300,0.455911861595392320367636784795
127,127_0,FAILED,GenerationStep_1,,,2460,1145,0.001000000000000000020816681712,0.374506423784819852951244456563
128,128_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,5000,2686,0.001000000000000000020816681712,0.373877389975313279002477884205
129,129_0,FAILED,GenerationStep_1,,,5000,1403,0.001000000000000000020816681712,0.001000000000000000020816681712
130,130_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1,1734,0.998999999999999999111821580300,0.001000000000000000020816681712
131,131_0,FAILED,GenerationStep_1,,,3973,1518,0.001000000000000000020816681712,0.288423337855794770234751922544
132,132_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,2634,1207,0.111279305545706419522389296617,0.207933372665937504786271006196
133,133_0,FAILED,GenerationStep_1,,,2364,1115,0.001000000000000000020816681712,0.484702057618403459038347591559
134,134_0,FAILED,GenerationStep_1,,,5000,1858,0.001000000000000000020816681712,0.375521362581716089401595581876
135,135_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,4.000000000000000000000000000000,5000,1305,0.998999999999999999111821580300,0.265617182159498976812272985626
136,136_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,5000,1664,0.998999999999999999111821580300,0.471420571641123498096703769988
137,137_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,4.000000000000000000000000000000,4110,1389,0.998999999999999999111821580300,0.001000000000000000020816681712
138,138_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,4.000000000000000000000000000000,5000,1351,0.439836011586373476500710921755,0.211912734473358149722699295125
139,139_0,FAILED,GenerationStep_1,,,1749,864,0.001000000000000000020816681712,0.588079908446273558197958664095
140,140_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,5000,5000,0.001000000000000000020816681712,0.509435769746955369186025563977
141,141_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1,1894,0.058213956897024098091630861518,0.001000000000000000020816681712
142,142_0,FAILED,GenerationStep_1,,,1916,1016,0.001000000000000000020816681712,0.403583277247680061172729892860
143,143_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,364,2201,0.001000000000000000020816681712,0.001000000000000000020816681712
144,144_0,FAILED,GenerationStep_1,,,2199,1069,0.001000000000000000020816681712,0.294849992539863214879858333006
145,145_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,1.000000000000000000000000000000,165,5000,0.001000000000000000020816681712,0.502013553266075218672881419479
146,146_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,18.000000000000000000000000000000,2243,3014,0.001000000000000000020816681712,0.998999999999999999111821580300
147,147_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,5000,4155,0.001000000000000000020816681712,0.694527165032623128304578585812
148,148_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,3511,2087,0.001000000000000000020816681712,0.001000000000000000020816681712
149,149_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1,844,0.998999999999999999111821580300,0.001000000000000000020816681712
150,150_0,COMPLETED,GenerationStep_1,0.750000000000000000000000000000,3.000000000000000000000000000000,4019,1925,0.285569068923925029057642177577,0.482243527438396546447307855487
151,151_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,4741,1165,0.998999999999999999111821580300,0.743187872653893633057009537879
152,152_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1213,5000,0.998999999999999999111821580300,0.416854845032096243961916570697
153,153_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,1005,3086,0.001000000000000000020816681712,0.354498292217324484365548187270
154,154_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,4077,1840,0.998999999999999999111821580300,0.389825465898064604797212950871
155,155_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,4656,681,0.998999999999999999111821580300,0.997066324229343048379803349235
156,156_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,988,5000,0.001000000000000000020816681712,0.304659739023534492652345306851
157,157_0,FAILED,GenerationStep_1,,,2023,1588,0.001000000000000000020816681712,0.074098431180961377151561464416
158,158_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3.000000000000000000000000000000,3905,2056,0.001000000000000000020816681712,0.648193480683896261496101942612
159,159_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,539,1635,0.998999999999999999111821580300,0.689006275704728055053749358194
160,160_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,932,4994,0.998999999999999999111821580300,0.001000000000000000020816681712
161,161_0,FAILED,GenerationStep_1,,,1529,1669,0.001000000000000000020816681712,0.186351575752227244242575920907
162,162_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,18.000000000000000000000000000000,3348,5000,0.001000000000000000020816681712,0.998999999999999999111821580300
163,163_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,1216,5000,0.998999999999999999111821580300,0.001000000000000000020816681712
164,164_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,2.000000000000000000000000000000,4822,1356,0.998999999999999999111821580300,0.633002020793853259483796591667
165,165_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,18.000000000000000000000000000000,1353,5000,0.001000000000000000020816681712,0.998999999999999999111821580300
166,166_0,FAILED,GenerationStep_1,,,4454,1,0.998999999999999999111821580300,0.445948119829534084246347447333
167,167_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,365,3359,0.998999999999999999111821580300,0.998999999999999999111821580300
168,168_0,FAILED,GenerationStep_1,,,1430,1870,0.001000000000000000020816681712,0.998999999999999999111821580300
169,169_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,999,3305,0.998999999999999999111821580300,0.001000000000000000020816681712
