trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
0,0_0,COMPLETED,GenerationStep_0,0.500000000000000000000000000000,1660.000000000000000000000000000000,2166,8,0.651937580347061174101952474302,2888
1,1_0,RUNNING,GenerationStep_0,,,4741,2,0.203140346156433226898485600032,1421
2,2_0,COMPLETED,GenerationStep_0,0.500000000000000000000000000000,1422.000000000000000000000000000000,2800,6,0.827660843342542640321823910199,4833
3,3_0,FAILED,GenerationStep_0,,,372,4,0.255126322666183125154049093908,867
4,4_0,FAILED,GenerationStep_0,,,902,6,0.097117102956399317670310722406,331
5,5_0,FAILED,GenerationStep_0,,,3486,2,0.552698390815407059051267424366,3985
6,6_0,COMPLETED,GenerationStep_0,0.500000000000000000000000000000,1549.000000000000000000000000000000,4055,8,0.415483677892014402477371959321,2272
7,7_0,RUNNING,GenerationStep_0,,,1637,0,0.996827638369053636857586297992,3425
8,8_0,RUNNING,GenerationStep_0,,,1313,5,0.450680678417906155353023223142,4208
9,9_0,FAILED,GenerationStep_0,,,4366,3,0.899498829174786851403666787519,244
10,10_0,FAILED,GenerationStep_0,,,3176,8,0.007526992006227374229498927605,3512
11,11_0,FAILED,GenerationStep_0,,,1227,1,0.580158596631139555910294802743,2048
12,12_0,COMPLETED,GenerationStep_0,0.500000000000000000000000000000,1718.000000000000000000000000000000,77,9,0.800297732628881930416753220925,1648
13,13_0,FAILED,GenerationStep_0,,,3121,1,0.344619368257001068567291213185,2799
14,14_0,COMPLETED,GenerationStep_0,0.500000000000000000000000000000,1399.000000000000000000000000000000,4421,6,0.749287317261099761189768742042,957
15,15_0,RUNNING,GenerationStep_0,,,2462,3,0.167922421628609291888167831530,4608
16,16_0,COMPLETED,GenerationStep_0,0.560000000000000053290705182008,1537.000000000000000000000000000000,2317,7,0.929183325547724980886243884015,2495
17,17_0,RUNNING,GenerationStep_0,,,4586,3,0.481299809953197821332793182592,3217
18,18_0,COMPLETED,GenerationStep_0,0.400000000000000022204460492503,2293.000000000000000000000000000000,2952,9,0.612607113506644984646243301540,530
19,19_0,FAILED,GenerationStep_0,,,224,0,0.039037066651508210701759793437,3752
20,20_0,FAILED,GenerationStep_0,,,1062,7,0.313998541386798002417179986878,4932
21,21_0,FAILED,GenerationStep_0,,,3321,1,0.770615347988903520715098238725,773
22,22_0,FAILED,GenerationStep_0,,,4217,5,0.136410711133852613485828442208,2972
