trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,RUNNING,GenerationStep_0,,,3473,0.931059542655944816225144222699,0.774495423078537026384537966806,807,3373,1901
1,1_0,RUNNING,GenerationStep_0,,,893,0.252725494207814316283133848628,0.318341889047995207917551852006,4717,2301,4644
2,2_0,RUNNING,GenerationStep_0,,,1740,0.591538881700485963399671618390,0.543152145821601206598927547020,1952,996,3326
3,3_0,RUNNING,GenerationStep_0,,,3856,0.225094565192237500150795881382,0.110616156067699200615805921188,3668,4601,756
4,4_0,RUNNING,GenerationStep_0,,,4487,0.640736848346889042993268503778,0.489279097970575116427482953441,2836,4284,1475
5,5_0,RUNNING,GenerationStep_0,,,2380,0.040372473781928423786080628588,0.913971070516854555698671447317,1428,44,3898
6,6_0,COMPLETED,GenerationStep_0,0.530000000000000026645352591004,5292.000000000000000000000000000000,263,0.866213599458336869219010623056,0.189209136003628375366503178157,4289,1348,2509
7,7_0,RUNNING,GenerationStep_0,,,2835,0.452988984717056175632876602322,0.653145843865349906565143101034,72,3056,245
8,8_0,RUNNING,GenerationStep_0,,,2630,0.533361565330997100531362775655,0.157185203859582539598349626431,1644,2169,1139
9,9_0,FAILED,GenerationStep_0,,,524,0.151309688907116657308193907738,0.746086535172536979843016524683,2736,3563,3569
10,10_0,COMPLETED,GenerationStep_0,0.530000000000000026645352591004,3789.000000000000000000000000000000,2157,0.942097120048478231524313741829,0.396334108840674159690564692937,598,4714,4713
11,11_0,FAILED,GenerationStep_0,,,4727,0.372935003448277735405014254866,0.945991656605154274117808199662,3881,786,2456
12,12_0,FAILED,GenerationStep_0,,,4119,0.757382293296977926466695407726,0.575149294648319431288996383955,4616,488,322
13,13_0,FAILED,GenerationStep_0,,,1537,0.422110715106129630314057976648,0.017709594529122116290942301475,1025,3782,3057
14,14_0,FAILED,GenerationStep_0,,,1135,0.733602562909945854485727068095,0.867398648785427162088979002874,3262,2630,4287
15,15_0,FAILED,GenerationStep_0,,,3252,0.086470744542777533414579238524,0.286340442398563044257286946959,2477,1872,1710
16,16_0,FAILED,GenerationStep_0,,,3307,0.698962881429120885812267260917,0.718147623103111976128332116787,4158,4427,2930
17,17_0,FAILED,GenerationStep_0,,,1039,0.114206055626273159098182929938,0.129567572627216576197639597012,252,1171,489
18,18_0,FAILED,GenerationStep_0,,,1281,0.791907495057210364386435230699,0.977769996622577353129202037962,3094,2438,1855
19,19_0,FAILED,GenerationStep_0,,,4334,0.394260924302041515510097724473,0.427916801260784240845680415077,1375,3236,4103
20,20_0,FAILED,GenerationStep_0,,,4946,0.973690886983647918562212453253,0.050274094061926011267615876932,2124,2918,3746
21,21_0,FAILED,GenerationStep_0,,,1901,0.342153762947767947633082030734,0.607879818031564322922122300952,3526,1486,1001
22,22_0,FAILED,GenerationStep_0,,,429,0.501638090403750513956993017928,0.257741004053503253157231256409,743,219,2282
23,23_0,FAILED,GenerationStep_0,,,2688,0.181961221415549517788079469938,0.838507553350180345752562516282,4966,4109,4849
24,24_0,FAILED,GenerationStep_0,,,3089,0.831688353084027776063180681376,0.350093518245965240609507418412,3316,649,4043
25,25_0,COMPLETED,GenerationStep_0,0.550000000000000044408920985006,3000.000000000000000000000000000000,46,0.480838730907067635200746735791,0.806081990417093052769814676140,2217,4851,1291
26,26_0,FAILED,GenerationStep_0,,,2323,0.675376514956355089580597450549,0.082696340681985017195820830693,4435,3739,117
27,27_0,FAILED,GenerationStep_0,,,4581,0.012637147827073931527497308025,0.515523035759106296183063022909,1157,1993,2676
28,28_0,FAILED,GenerationStep_0,,,3953,0.623262341756373627887910515710,0.885375500584021257743927435513,349,1695,4469
29,29_0,FAILED,GenerationStep_0,,,1684,0.194443017812445773095930690033,0.460361295433715012048736525685,3944,2806,2036
30,30_0,RUNNING,GenerationStep_0,,,676,0.899465758990496411229287332390,0.685698860850185165638492890139,1786,3918,933
31,31_0,RUNNING,GenerationStep_0,,,3731,0.283506690094247448818975954055,0.221958752352744342895007889638,2566,352,3188
32,32_0,RUNNING,GenerationStep_0,,,3643,0.568485208231955807534063751518,0.383461285863071654755884765109,4848,3004,2784
33,33_0,RUNNING,GenerationStep_0,,,745,0.248818327220156787493721139981,0.956431882183998771651545212080,627,1263,48
34,34_0,RUNNING,GenerationStep_0,,,1616,0.907274917732924235380664867989,0.185749095009639847431159864755,3489,149,1359
35,35_0,RUNNING,GenerationStep_0,,,4041,0.275718291768804191210762155606,0.719963331440463649713024096854,2084,4355,3936
36,36_0,RUNNING,GenerationStep_0,,,4649,0.855159789048135277056417180574,0.848143514463677972159416640352,1256,4653,3218
37,37_0,COMPLETED,GenerationStep_0,0.530000000000000026645352591004,6412.000000000000000000000000000000,2235,0.457525109803304075306584763894,0.306086331563070412897786809481,2978,1082,787
38,38_0,COMPLETED,GenerationStep_0,0.530000000000000026645352591004,3510.000000000000000000000000000000,133,0.636261658653616946068609649956,0.578781888019293533353959446686,215,2196,2183
39,39_0,RUNNING,GenerationStep_0,,,3021,0.051487234456464650578233488432,0.013593384567648171545872770594,4118,3302,4440
40,40_0,RUNNING,GenerationStep_0,,,2757,0.966068274566903695266262275254,0.548274611409753531710009610833,2604,1767,4171
41,41_0,COMPLETED,GenerationStep_0,0.530000000000000026645352591004,6897.000000000000000000000000000000,341,0.350121093463152621705347655734,0.107926049936562781783599973551,1826,2559,1748
42,42_0,RUNNING,GenerationStep_0,,,1989,0.556114465566352023095930690033,0.753807532781735067928252647107,4062,3833,597
43,43_0,RUNNING,GenerationStep_0,,,4878,0.127277539510279896761701934338,0.336589340092614319743802298035,465,574,2861
44,44_0,RUNNING,GenerationStep_0,,,4246,0.737898805541917668371354466217,0.216214389773085713386535644531,1195,890,4995
45,45_0,RUNNING,GenerationStep_0,,,1349,0.075169422671198846130913295838,0.625649597311392469123347837012,4475,4786,2253
46,46_0,RUNNING,GenerationStep_0,,,971,0.768744431590661414510634585895,0.477770751912146796058777908911,2336,3512,1030
47,47_0,RUNNING,GenerationStep_0,,,3395,0.417875303767621497641471250972,0.925963271107524632519414353737,3432,2084,3599
48,48_0,RUNNING,GenerationStep_0,,,3184,0.796447419775649922968341343221,0.077133325958624487928005919457,112,4219,2388
49,49_0,RUNNING,GenerationStep_1,,,1,0.183839213498377229694114021186,0.998999999999999999111821580300,2715,5000,1
50,50_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,757.000000000000000000000000000000,1,0.312764523383825765456833778444,0.526439853987215156116974412726,1125,4278,1044
51,51_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,1738.000000000000000000000000000000,1,0.413932324893506620178129651322,0.998999999999999999111821580300,2761,5000,2549
52,52_0,COMPLETED,GenerationStep_1,0.540000000000000035527136788005,3169.000000000000000000000000000000,2061,0.197331510158230333251694332830,0.795000240054359208485834642488,3181,3534,3304
53,53_0,COMPLETED,GenerationStep_1,0.530000000000000026645352591004,4387.000000000000000000000000000000,117,0.709444194382863213554912817926,0.978678338133392222708550889365,3682,4872,178
54,54_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,1651.000000000000000000000000000000,1,0.947139127181578666103689556621,0.998999999999999999111821580300,3251,5000,1850
55,55_0,COMPLETED,GenerationStep_1,0.540000000000000035527136788005,6698.000000000000000000000000000000,279,0.340808368604240297106144907957,0.975799778367483328089804217598,351,5000,898
56,56_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,730.000000000000000000000000000000,1,0.797563156298530140375646624307,0.932677067515482516313340966008,1097,4413,2369
57,57_0,FAILED,GenerationStep_1,,,1955,0.427522970876412389262810620494,0.998999999999999999111821580300,761,5000,1031
58,58_0,FAILED,GenerationStep_1,,,966,0.001416244545983954324780418332,0.648756464127570597888450265600,2818,4248,730
59,59_0,FAILED,GenerationStep_1,,,356,0.085243588689219371157257398863,0.123367429603499945134359450094,2574,4440,781
60,60_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,1584.000000000000000000000000000000,1,0.998999999999999999111821580300,0.998139310805549295757543859509,2958,4509,2560
61,61_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,795.000000000000000000000000000000,1,0.001000000000000000020816681712,0.501541739083590454306715855637,1907,4801,1071
62,62_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,1033.000000000000000000000000000000,1,0.998999999999999999111821580300,0.960864882544542053821601257368,1552,5000,2481
63,63_0,RUNNING,GenerationStep_1,,,371,0.843302826500613722515709014260,0.545368199669824971209663999616,3280,4160,762
64,64_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,724.000000000000000000000000000000,1,0.193175083819857706934897123574,0.507658136920830949101457463257,682,4999,424
65,65_0,RUNNING,GenerationStep_1,,,894,0.458653335455564414857576593931,0.481673467273149913392416010538,4650,4328,584
66,66_0,RUNNING,GenerationStep_1,,,1180,0.553347341613191989750930588343,0.471999623886824593022026874678,4789,5000,1036
67,67_0,RUNNING,GenerationStep_1,,,810,0.174166513594475713677667272350,0.484899034859646249628895020578,3543,4825,1558
68,68_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,1101.000000000000000000000000000000,1,0.929582358921794638106916863762,0.976777046009490557132437515975,4982,3901,2339
69,69_0,COMPLETED,GenerationStep_1,0.530000000000000026645352591004,5988.000000000000000000000000000000,179,0.705834440626525672080049389479,0.998999999999999999111821580300,2653,3115,2105
70,70_0,RUNNING,GenerationStep_1,,,1673,0.907055439708154609412815716496,0.998999999999999999111821580300,1693,3956,2361
71,71_0,RUNNING,GenerationStep_1,,,1642,0.001000000000000000020816681712,0.564178723660241909776402735588,3244,4573,1278
72,72_0,RUNNING,GenerationStep_1,,,414,0.001000000000000000020816681712,0.555603714751655597403612318885,3546,4066,485
73,73_0,COMPLETED,GenerationStep_1,0.540000000000000035527136788005,5544.000000000000000000000000000000,291,0.001000000000000000020816681712,0.423472850716958504335707402788,736,4438,467
