trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
325,325_0,COMPLETED,BoTorch,GenerationStep_1,0.029999999999999998889776975375,1427.000000000000000000000000000000,4749,1,4641,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
326,326_0,COMPLETED,BoTorch,GenerationStep_1,0.029999999999999998889776975375,1272.000000000000000000000000000000,1,2,485,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
327,327_0,COMPLETED,BoTorch,GenerationStep_1,0.029999999999999998889776975375,1848.000000000000000000000000000000,68,1,3897,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
328,328_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,551.000000000000000000000000000000,5000,3,1546,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,1
329,329_0,COMPLETED,BoTorch,GenerationStep_1,0.029999999999999998889776975375,1550.000000000000000000000000000000,5000,1,4392,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
330,330_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,519.000000000000000000000000000000,1,3,896,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
331,331_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,518.000000000000000000000000000000,4302,3,3128,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
332,332_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,510.000000000000000000000000000000,1,3,3583,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
333,333_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,518.000000000000000000000000000000,5000,3,2093,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
334,334_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,1295.000000000000000000000000000000,2754,3,5000,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,89
335,335_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,508.000000000000000000000000000000,5000,3,4355,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
336,336_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,523.000000000000000000000000000000,5000,3,1676,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
337,337_0,COMPLETED,BoTorch,GenerationStep_1,0.070000000000000006661338147751,474.000000000000000000000000000000,1074,3,654,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,33
338,338_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,612.000000000000000000000000000000,1,3,3957,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,48
339,339_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,521.000000000000000000000000000000,1,3,3283,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
340,340_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,506.000000000000000000000000000000,5000,3,3815,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
341,341_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,526.000000000000000000000000000000,1,3,988,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
342,342_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,505.000000000000000000000000000000,1,3,2953,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
343,343_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,568.000000000000000000000000000000,1,3,828,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
344,344_0,COMPLETED,BoTorch,GenerationStep_1,0.070000000000000006661338147751,484.000000000000000000000000000000,103,3,1536,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,100
345,345_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,713.000000000000000000000000000000,4968,3,2652,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,52
346,346_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,504.000000000000000000000000000000,5000,3,2614,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
347,347_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,509.000000000000000000000000000000,1,3,5000,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,39
348,348_0,COMPLETED,BoTorch,GenerationStep_1,0.040000000000000000832667268469,1328.000000000000000000000000000000,804,4,1655,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,69
349,349_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,466.000000000000000000000000000000,1,3,742,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,35
350,350_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,502.000000000000000000000000000000,5000,3,4844,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
351,351_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,506.000000000000000000000000000000,1,3,949,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
352,352_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,485.000000000000000000000000000000,5000,3,1273,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,94
