trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,FAILED,GenerationStep_0,,,4554,4024,2245,0.646191227793693534486862972699,0.200000000000000011102230246252
1,1_0,FAILED,GenerationStep_0,,,550,2137,2856,0.102306682057678705044523326251,0.000000099999999999999995474811
2,2_0,FAILED,GenerationStep_0,,,1653,2619,638,0.757409063601866328063749733701,0.000000001000000000000000062282
3,3_0,FAILED,GenerationStep_0,,,3158,731,3756,0.494215824004262671564902120735,0.500000000000000000000000000000
4,4_0,FAILED,GenerationStep_0,,,2623,3690,3501,0.371600529495626663578633497309,0.900000000000000022204460492503
5,5_0,RUNNING,GenerationStep_0,,,2256,616,1639,0.888186696754768467698681888578,0.000000000100000000000000003643
6,6_0,RUNNING,GenerationStep_0,,,1171,4783,4401,0.220911007493734351525560555274,0.001000000000000000020816681712
7,7_0,RUNNING,GenerationStep_0,,,4039,1710,32,0.519180875120684559576034189377,0.200000000000000011102230246252
8,8_0,FAILED,GenerationStep_0,,,4360,3123,4746,0.986728827588260193337532655278,0.000000999999999999999954748112
9,9_0,FAILED,GenerationStep_0,,,822,1187,355,0.251860641038045285355906344193,0.400000000000000022204460492503
10,10_0,FAILED,GenerationStep_0,,,1925,4216,3136,0.607733256142586442116737543984,0.599999999999999977795539507497
11,11_0,RUNNING,GenerationStep_0,,,2963,2280,1257,0.153556384095922121568733587083,0.000000010000000000000000209226
12,12_0,FAILED,GenerationStep_0,,,3445,4633,1000,0.027155205966904759351532305800,0.000000000009999999999999999395
13,13_0,FAILED,GenerationStep_0,,,1356,1530,4141,0.726946705002337711931659214315,0.800000000000000044408920985006
14,14_0,FAILED,GenerationStep_0,,,272,3228,1902,0.382272847725078468439363632569,0.100000000000000005551115123126
15,15_0,FAILED,GenerationStep_0,,,4861,125,2530,0.863748032256960840413739788346,0.000100000000000000004792173602
16,16_0,FAILED,GenerationStep_0,,,4726,3434,602,0.214241663122549663711424727808,0.500000000000000000000000000000
