trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,383.000000000000000000000000000000,3705,0.382970793128013631267947403103,0.132435032725334161929353626874,675,3948,552
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,79.000000000000000000000000000000,212,0.686101888617500654810044125043,0.700632570682093502867360257369,2801,798,4078
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,51.000000000000000000000000000000,2058,0.109031318141147498534948567794,0.274144770946353699692110694741,2050,1304,2577
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,380.000000000000000000000000000000,4340,0.835051510892808490638117291383,0.830656039118766731377263567992,3850,3126,1545
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,366.000000000000000000000000000000,4960,0.214945914911106233935456089057,0.542063118070364002853978036001,4759,3047,909
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,332.000000000000000000000000000000,1456,0.970349102105945382490403972042,0.094742452736943955082793422662,1842,2368,4424
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,205.000000000000000000000000000000,803,0.299906355280429137710740405964,0.926580100683495389013444309967,3631,375,3464
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,177.000000000000000000000000000000,3095,0.511386128583922960899599274853,0.498745436364784855420850817609,395,4726,2455
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,162.000000000000000000000000000000,2705,0.051516235465183857211712847857,0.958500651787966506667260091490,1404,1043,1682
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,242.000000000000000000000000000000,1194,0.760016331616789053704508205556,0.403962511792778977692819353251,4575,4213,3026
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,351.000000000000000000000000000000,1847,0.463823577355593430482372241386,0.571067048082128159158799007855,267,3706,3943
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,401.000000000000000000000000000000,4568,0.722206441702321177977808019932,0.004825505567714572299764519414,3131,1865,101
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,346.000000000000000000000000000000,3950,0.359397782064974302684845497424,0.370869296414777616099911483616,2949,1964,1966
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.530000000000000026645352591004,123.000000000000000000000000000000,2449,0.584438301382586344878689033067,0.796793887117877575043678461952,1155,2624,3289
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,149.000000000000000000000000000000,601,0.132117723470553755094059056319,0.224278351590037339224892320999,4308,4617,4910
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,279.000000000000000000000000000000,3314,0.936228507265448595120460595354,0.669702268045395565643218560581,2215,285,1087
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,277.000000000000000000000000000000,3221,0.173596299543976789747645739226,0.411858104731887553207059227134,3456,3354,3228
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,101.000000000000000000000000000000,382,0.882079236006364175715077635687,0.981975357592105857484909847699,567,1434,2066
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,78.000000000000000000000000000000,2190,0.336399843661114583692750557020,0.058589068615809085371903819350,4895,693,1153
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,344.000000000000000000000000000000,3896,0.594765544600784790141290159227,0.609221272228285704031236491574,1709,3785,4805
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,370.000000000000000000000000000000,4466,0.481965126665309051556818076278,0.757771112410351665999996839673,1910,4889,2960
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,324.000000000000000000000000000000,1636,0.706988542061299130025986414694,0.316268598550930646329248929760,3988,479,1787
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,182.000000000000000000000000000000,945,0.005181266579777001925199986232,0.647065648823976546921699082304,854,2238,162
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.530000000000000026645352591004,162.000000000000000000000000000000,2642,0.809274950170889462164325323101,0.217250357445329417283019779461,2624,2820,3843
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,192.000000000000000000000000000000,2875,0.255551301488652848892257907210,0.738924685785546930816281019361,4175,1658,4670
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,176.000000000000000000000000000000,710,0.558665307927876719773507829814,0.186304356230422851758987690118,2351,3558,702
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,280.000000000000000000000000000000,1403,0.231108025010675205423993361364,0.854510384690016500108811214886,3121,4298,2204
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,323.000000000000000000000000000000,4701,0.957111117558553825546141524683,0.282391681149601947442562277502,980,1226,3676
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,325.000000000000000000000000000000,4131,0.088013766996562478595045320162,0.087578233227133747695880572337,90,102,4330
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,362.000000000000000000000000000000,1955,0.843399794502183830502417549724,0.519319071870297244153391602595,3310,4531,339
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,44.000000000000000000000000000000,2017,0.001000000000000000020816681712,0.692911757709346209921363879403,655,1,1
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,414.000000000000000000000000000000,1999,0.001000000000000000020816681712,0.001000000000000000020816681712,1624,1706,4443
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,44.000000000000000000000000000000,2003,0.001000000000000000020816681712,0.998999999999999999111821580300,2201,1,5000
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,2038,0.001000000000000000020816681712,0.001000000000000000020816681712,1,2305,1
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,356.000000000000000000000000000000,1975,0.001000000000000000020816681712,0.001000000000000000020816681712,1923,1,1
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,2051,0.001000000000000000020816681712,0.998999999999999999111821580300,1,4098,1
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,354.000000000000000000000000000000,1955,0.001000000000000000020816681712,0.001000000000000000020816681712,3434,1,5000
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,2065,0.001000000000000000020816681712,0.998999999999999999111821580300,1,1,5000
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,341.000000000000000000000000000000,4790,0.998999999999999999111821580300,0.998999999999999999111821580300,5000,1,5000
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,48.000000000000000000000000000000,2016,0.001000000000000000020816681712,0.998999999999999999111821580300,2203,5000,5000
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,311.000000000000000000000000000000,5000,0.998999999999999999111821580300,0.001000000000000000020816681712,272,1,4970
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,345.000000000000000000000000000000,4997,0.998999999999999999111821580300,0.998999999999999999111821580300,342,1,1
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,2049,0.998999999999999999111821580300,0.998999999999999999111821580300,1,1,5000
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,2049,0.001000000000000000020816681712,0.001000000000000000020816681712,1,1,5000
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,306.000000000000000000000000000000,4774,0.998999999999999999111821580300,0.998999999999999999111821580300,5000,5000,5000
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,86.000000000000000000000000000000,2003,0.001000000000000000020816681712,0.998999999999999999111821580300,1663,1,1
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,2044,0.001000000000000000020816681712,0.001000000000000000020816681712,1,1,1
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,2054,0.001000000000000000020816681712,0.001000000000000000020816681712,1,5000,5000
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,2060,0.001000000000000000020816681712,0.998999999999999999111821580300,1,1,1
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,709.000000000000000000000000000000,1966,0.001000000000000000020816681712,0.998999999999999999111821580300,3215,918,1
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,4336,0.998999999999999999111821580300,0.001000000000000000020816681712,1,1,5000
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,357.000000000000000000000000000000,1986,0.001000000000000000020816681712,0.001000000000000000020816681712,2199,5000,5000
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,351.000000000000000000000000000000,4930,0.998999999999999999111821580300,0.001000000000000000020816681712,2321,5000,5000
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,363.000000000000000000000000000000,1987,0.474707219752674158819161220890,0.001000000000000000020816681712,1221,1,5000
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,4198,0.001000000000000000020816681712,0.998999999999999999111821580300,1,5000,1
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,691.000000000000000000000000000000,4836,0.998999999999999999111821580300,0.998999999999999999111821580300,2331,5000,1
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,365.000000000000000000000000000000,4828,0.998999999999999999111821580300,0.001000000000000000020816681712,5000,5000,5000
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,2092,0.001000000000000000020816681712,0.998999999999999999111821580300,1,2579,1
