trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,7.000000000000000000000000000000,3005,16,2278,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.935830453038215659411491742503,11
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,13.000000000000000000000000000000,2220,74,2980,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.014384801108390091184396908375,70
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,20.000000000000000000000000000000,1235,60,990,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.701828945478424448545240466046,90
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,9.000000000000000000000000000000,4205,102,4350,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.372824094712734199763559672647,30
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,8.000000000000000000000000000000,4711,45,3398,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.527215398153290104588108988537,77
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,9.000000000000000000000000000000,495,119,1289,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.415666457116603826893452833247,42
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,8.000000000000000000000000000000,1716,1,4607,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.854596643218770601890810212353,24
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,8.000000000000000000000000000000,3743,91,153,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.212738271910697218647356976362,59
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,11.000000000000000000000000000000,3357,51,4924,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.594458836765959897086020191637,86
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,8.000000000000000000000000000000,1322,105,314,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.455655215810984393076665810440,45
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,10.000000000000000000000000000000,258,31,3637,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.765895082948729433169887670374,15
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,10.000000000000000000000000000000,4479,69,1684,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.159156793780624861156525184924,55
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,13.000000000000000000000000000000,3814,14,731,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.940678044794127310446185674664,2
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,11.000000000000000000000000000000,845,84,3935,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.116719884105026719400832746487,68
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,8.000000000000000000000000000000,1989,34,1941,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.675496559353545356074732808338,100
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,8.000000000000000000000000000000,2767,120,2799,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.256854414533823738331363983889,34
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,40.000000000000000000000000000000,2636,39,548,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.041418840251863001111765072437,96
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,10.000000000000000000000000000000,2160,125,4690,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.901463974220678254667404871725,36
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.250000000000000000000000000000,9.000000000000000000000000000000,626,11,1763,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.337490647610276917056637557835,6
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,8.000000000000000000000000000000,3916,81,3558,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.729845211850479236304067853780,65
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,9.000000000000000000000000000000,4650,26,3857,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.388632417973130916966084669184,17
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,11.000000000000000000000000000000,127,64,810,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.561581853734329339289388371981,51
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,19.000000000000000000000000000000,1424,54,2565,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.248071719013154501354279091174,83
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,9.000000000000000000000000000000,3137,108,2175,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.826580376846715814131982824620,49
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,8.000000000000000000000000000000,3534,4,2902,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.490973211571574197353839963398,21
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,8.000000000000000000000000000000,1810,94,2355,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.566427565192803794680287410301,61
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,7.000000000000000000000000000000,353,40,4116,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.132107749436050664337827242889,81
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,9.000000000000000000000000000000,4892,114,1225,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.800246087187901133930267860705,40
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,17.000000000000000000000000000000,4298,57,1523,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.081401888344436887368082977900,92
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.170000000000000012212453270877,7.000000000000000000000000000000,1026,99,3163,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.968709316367283412851918455999,27
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.170000000000000012212453270877,8.000000000000000000000000000000,442,1,410,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.701685703536236715649465622846,9
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.170000000000000012212453270877,9.000000000000000000000000000000,551,0,434,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.204617217419606728379122273509,18
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.170000000000000012212453270877,9.000000000000000000000000000000,205,0,717,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,14
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.170000000000000012212453270877,8.000000000000000000000000000000,283,3,4178,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.048205014084231445625761125484,1
