trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
0,0_0,FAILED,SOBOL,2212,917,1258,0.635367912292480463420929481799,0.399071567237377189396596577353,1.719078390032052983116273026098,str\(\'t-test\'\),4,str\(\'bounded\'\)
1,1_0,FAILED,SOBOL,2635,4215,2919,0.069015822602435952792809814582,0.994493245847523188452043996222,6.506796802719124528380234551150,str\(\'ks-test\'\),34,str\(\'bounded\'\)
2,2_0,FAILED,SOBOL,3808,2082,726,0.854944352319464084821731830743,0.698824026621878147125244140625,8.460996249500661647857668867800,str\(\'t-test\'\),49,str\(\'bounded\'\)
3,3_0,FAILED,SOBOL,1038,2885,4689,0.409469178937375555271671601076,0.171625151116400948003715143386,3.358345919752493635712653485825,str\(\'ks-test\'\),14,str\(\'bounded\'\)
4,4_0,FAILED,SOBOL,91,1481,3366,0.372154714401811359536509371537,0.059547368757426742680305409294,0.383615526078268931353676407525,str\(\'t-test\'\),44,str\(\'bounded\'\)
5,5_0,FAILED,SOBOL,4752,3495,2371,0.924923462906852345000174864253,0.592601667080074556714919253864,5.182345345117152390912451664917,str\(\'ks-test\'\),20,str\(\'bounded\'\)
6,6_0,FAILED,SOBOL,3582,307,3930,0.151116629855707285123855854181,0.851237484876066430317109734460,9.792426713035441210308817971963,str\(\'t-test\'\),11,str\(\'bounded\'\)
7,7_0,FAILED,SOBOL,1261,4816,550,0.583007922966033209632996658911,0.261655991517007358027058216976,4.678817339967005217715723119909,str\(\'ks-test\'\),28,str\(\'bounded\'\)
8,8_0,FAILED,SOBOL,1643,2313,4273,0.974223411755636314879325254878,0.932463447265326927926309963368,2.621094866789877464441360643832,str\(\'t-test\'\),38,str\(\'bounded\'\)
9,9_0,FAILED,SOBOL,3200,2799,309,0.291187456030398583717300198259,0.461670029852539298698133052312,8.065509866056963517166877863929,str\(\'ks-test\'\),25,str\(\'bounded\'\)
10,10_0,FAILED,SOBOL,4529,977,3745,0.500266682501882331557396810240,0.234705120448023080159671849287,6.892479947577231591537838539807,str\(\'t-test\'\),9,str\(\'bounded\'\)
11,11_0,FAILED,SOBOL,314,3968,2084,0.203150179842486983128324595782,0.637275911353528456970707338769,2.387939217076636921888166398276,str\(\'ks-test\'\),29,str\(\'bounded\'\)
12,12_0,FAILED,SOBOL,659,379,1073,0.017218191852793097301743685534,0.531040152717381697122789319110,3.795137124796398087056559234043,str\(\'t-test\'\),4,str\(\'bounded\'\)
13,13_0,FAILED,SOBOL,4188,4580,4453,0.717858243189752109891799136676,0.122614117451012138992894051626,9.230977028115653126860706834123,str\(\'ks-test\'\),36,str\(\'bounded\'\)
14,14_0,FAILED,SOBOL,2861,1704,1633,0.490687822759151459628412794700,0.324237249828875084833867958878,5.714538780892268299282932275673,str\(\'t-test\'\),46,str\(\'bounded\'\)
15,15_0,FAILED,SOBOL,1986,3401,2627,0.805408008350059434476975184225,0.789190658587962334813425968605,1.218511089209467046501345066645,str\(\'ks-test\'\),19,str\(\'bounded\'\)
16,16_0,FAILED,SOBOL,2132,1870,105,0.165960990704596050848707022851,0.150200512323528517777404545086,8.756433436923659385797691356856,str\(\'ks-test\'\),47,str\(\'bounded\'\)
17,17_0,FAILED,SOBOL,3027,3254,4069,0.599831224834546428148485119891,0.743680439464747933264732182579,4.268956070485525167157447867794,str\(\'t-test\'\),17,str\(\'bounded\'\)
18,18_0,FAILED,SOBOL,4354,544,1878,0.328072076020762326553636967219,0.949689641200005985055554447172,0.754876068701967661844776102953,str\(\'ks-test\'\),2,str\(\'bounded\'\)
19,19_0,FAILED,SOBOL,805,4433,3540,0.874963431134820002199603550253,0.420533784095197926689024825464,6.177296434268355618257828609785,str\(\'t-test\'\),37,str\(\'bounded\'\)
20,20_0,FAILED,SOBOL,480,1144,4560,0.842536282543092984731458727765,0.310399673469364645317369877375,7.582965710233898093406423868146,str\(\'ks-test\'\),7,str\(\'bounded\'\)
21,21_0,FAILED,SOBOL,4676,3822,1180,0.391184195371344689551307283182,0.841496990192681537656937962311,3.104058671848848316443536532461,str\(\'t-test\'\),31,str\(\'bounded\'\)
22,22_0,FAILED,SOBOL,3346,2479,2736,0.680912711972370798818587900314,0.602349314887076658919795590919,1.933544339335523609690881130518,str\(\'ks-test\'\),40,str\(\'bounded\'\)
23,23_0,FAILED,SOBOL,1810,2653,1741,0.116539083700627085771195368125,0.010826068200170992084085952456,7.347446898189374131504791876068,str\(\'t-test\'\),23,str\(\'bounded\'\)
