trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0_0,ABANDONED,SOBOL,,,,1935,26,113,752,1446
1,1_0,ABANDONED,SOBOL,,,,3745,50,293,1002,665
2,2_0,ABANDONED,SOBOL,,,,4825,1,242,469,488
3,3_0,ABANDONED,SOBOL,,,,855,29,421,1718,1643
4,4_0,ABANDONED,SOBOL,,,,338,9,375,1957,1825
5,5_0,COMPLETED,SOBOL,0.020000000000000000416333634234,3247.000000000000000000000000000000,0.000000000000000000000000000000,4024,33,38,208,45
6,6_0,ABANDONED,SOBOL,,,,2604,18,495,1259,866
7,7_0,ABANDONED,SOBOL,,,,1758,46,159,510,1022
8,8_0,ABANDONED,SOBOL,,,,1252,6,456,27,576
9,9_0,ABANDONED,SOBOL,,,,3061,30,136,1776,1294
10,10_0,ABANDONED,SOBOL,,,,4142,21,335,694,1616
11,11_0,ABANDONED,SOBOL,,,,171,49,15,1444,272
12,12_0,ABANDONED,SOBOL,,,,983,16,219,1200,197
13,13_0,ABANDONED,SOBOL,,,,4668,40,383,950,1914
14,14_0,ABANDONED,SOBOL,,,,3248,11,90,1517,1238
15,15_0,ABANDONED,SOBOL,,,,2403,39,254,267,894
16,16_0,ABANDONED,SOBOL,,,,2272,11,153,1328,1699
17,17_0,ABANDONED,SOBOL,,,,3301,38,442,578,418
18,18_0,ABANDONED,SOBOL,,,,4381,14,31,1892,735
19,19_0,ABANDONED,SOBOL,,,,1192,43,320,143,1391
20,20_0,ABANDONED,SOBOL,,,,118,22,398,400,1077
21,21_0,ABANDONED,SOBOL,,,,4273,48,203,1650,795
22,22_0,COMPLETED,SOBOL,0.020000000000000000416333634234,10512.000000000000000000000000000000,0.000000000000000000000000000000,2853,4,268,817,116
23,23_0,ABANDONED,SOBOL,,,,1538,33,73,1066,1771
24,24_0,COMPLETED,SOBOL,0.020000000000000000416333634234,3732.000000000000000000000000000000,0.000000000000000000000000000000,1705,19,308,1585,327
25,25_0,ABANDONED,SOBOL,,,,2735,45,96,336,1545
26,26_0,ABANDONED,SOBOL,,,,3815,6,437,1136,1365
27,27_0,ABANDONED,SOBOL,,,,625,36,226,886,521
28,28_0,ABANDONED,SOBOL,,,,724,2,54,627,949
29,29_0,ABANDONED,SOBOL,,,,4878,28,359,1376,1167
30,30_0,ABANDONED,SOBOL,,,,3459,23,176,91,1984
31,31_0,FAILED,SOBOL,,,,2144,53,481,1840,141
32,32_0,ABANDONED,SOBOL,,,,2082,0,344,1114,1062
33,33_0,ABANDONED,SOBOL,,,,3558,29,8,864,843
34,34_0,FAILED,SOBOL,,,,4973,25,465,1665,5
35,35_0,ABANDONED,SOBOL,,,,667,52,128,416,1848
36,36_0,ABANDONED,SOBOL,,,,485,17,82,159,1682
37,37_0,COMPLETED,SOBOL,0.059999999999999997779553950750,6007.000000000000000000000000000000,0.000000000000000000000000000000,3836,46,261,1908,463
38,38_0,ABANDONED,SOBOL,,,,2751,8,210,625,627
39,39_0,ABANDONED,SOBOL,,,,1571,35,390,1374,1470
40,40_0,ABANDONED,SOBOL,,,,1437,20,249,1855,933
41,41_0,ABANDONED,SOBOL,,,,2914,50,413,106,1213
42,42_0,ABANDONED,SOBOL,,,,4328,5,120,1423,1876
43,43_0,ABANDONED,SOBOL,,,,23,31,284,674,220
44,44_0,ABANDONED,SOBOL,,,,1169,10,488,932,313
45,45_0,ABANDONED,SOBOL,,,,4520,40,168,1182,1593
46,46_0,ABANDONED,SOBOL,,,,3435,15,367,352,1255
47,47_0,ABANDONED,SOBOL,,,,2254,41,47,1601,598
48,48_0,ABANDONED,SOBOL,,,,2458,14,430,556,1809
49,49_0,FAILED,SOBOL,,,,3153,42,235,1306,91
50,50_0,ABANDONED,SOBOL,,,,4567,13,300,224,758
51,51_0,ABANDONED,SOBOL,,,,1043,37,105,1973,1101
52,52_0,ABANDONED,SOBOL,,,,305,4,183,1733,1431
53,53_0,ABANDONED,SOBOL,,,,4124,32,472,484,712
54,54_0,ABANDONED,SOBOL,,,,3039,23,61,1049,378
55,55_0,ABANDONED,SOBOL,,,,1390,48,350,800,1720
56,56_0,ABANDONED,SOBOL,,,,1853,8,22,283,182
57,57_0,ABANDONED,SOBOL,,,,2547,36,327,1533,1962
58,58_0,ABANDONED,SOBOL,,,,3962,19,144,996,1128
59,59_0,ABANDONED,SOBOL,,,,438,43,449,1246,971
60,60_0,ABANDONED,SOBOL,,,,871,24,277,1492,559
61,61_0,ABANDONED,SOBOL,,,,4690,53,66,742,1340
62,62_0,ABANDONED,SOBOL,,,,3606,2,407,1791,1508
63,63_0,ABANDONED,SOBOL,,,,1956,27,195,42,351
64,64_0,ABANDONED,SOBOL,,,,2023,8,379,1548,824
65,65_0,ABANDONED,SOBOL,,,,3658,34,215,299,1044
66,66_0,ABANDONED,SOBOL,,,,4757,17,258,1231,1866
67,67_0,ABANDONED,SOBOL,,,,923,46,94,981,24
68,68_0,ABANDONED,SOBOL,,,,426,25,139,726,447
69,69_0,ABANDONED,SOBOL,,,,3936,51,460,1475,1665
70,70_0,ABANDONED,SOBOL,,,,2536,0,11,58,1486
71,71_0,ABANDONED,SOBOL,,,,1826,30,331,1807,643
72,72_0,ABANDONED,SOBOL,,,,1339,15,35,1291,1197
73,73_0,ABANDONED,SOBOL,,,,2974,41,370,541,916
74,74_0,COMPLETED,SOBOL,0.020000000000000000416333634234,6569.000000000000000000000000000000,0.000000000000000000000000000000,4074,10,163,1988,237
75,75_0,ABANDONED,SOBOL,,,,239,39,499,239,1893
76,76_0,ABANDONED,SOBOL,,,,1070,5,297,500,1574
77,77_0,COMPLETED,SOBOL,0.020000000000000000416333634234,4102.000000000000000000000000000000,0.000000000000000000000000000000,4581,31,118,1749,294
78,78_0,ABANDONED,SOBOL,,,,3180,20,418,784,617
79,79_0,ABANDONED,SOBOL,,,,2471,50,238,1033,1273
80,80_0,ABANDONED,SOBOL,,,,2204,22,355,122,78
81,81_0,ABANDONED,SOBOL,,,,3369,47,51,1871,1796
82,82_0,ABANDONED,SOBOL,,,,4469,4,485,658,1114
83,83_0,ABANDONED,SOBOL,,,,1104,32,180,1407,770
84,84_0,ABANDONED,SOBOL,,,,51,12,100,1167,698
85,85_0,ABANDONED,SOBOL,,,,4341,37,311,917,1417
86,86_0,ABANDONED,SOBOL,,,,2941,15,222,1616,1735
87,87_0,ABANDONED,SOBOL,,,,1450,42,433,367,392
88,88_0,ABANDONED,SOBOL,,,,1637,3,198,848,1947
89,89_0,FAILED,SOBOL,,,,2803,27,394,1098,167
90,90_0,ABANDONED,SOBOL,,,,3903,24,77,432,986
91,91_0,ABANDONED,SOBOL,,,,538,52,272,1681,1142
92,92_0,ABANDONED,SOBOL,,,,656,20,446,1924,1327
93,93_0,ABANDONED,SOBOL,,,,4946,44,156,174,547
94,94_0,ABANDONED,SOBOL,,,,3546,7,316,1359,364
95,95_0,ABANDONED,SOBOL,,,,2056,35,27,609,1520
96,96_0,ABANDONED,SOBOL,,,,2151,17,172,321,683
97,97_0,ABANDONED,SOBOL,,,,3489,45,492,1570,1465
98,98_0,ABANDONED,SOBOL,,,,4885,9,43,900,1625
99,99_0,ABANDONED,SOBOL,,,,755,34,364,1151,470
100,100_0,ABANDONED,SOBOL,,,,554,1,409,1392,61
101,101_0,ABANDONED,SOBOL,,,,3768,28,245,643,1842
102,102_0,ABANDONED,SOBOL,,,,2663,26,288,1824,1005
103,103_0,ABANDONED,SOBOL,,,,1659,51,124,75,849
104,104_0,ABANDONED,SOBOL,,,,1506,11,265,593,1310
105,105_0,ABANDONED,SOBOL,,,,2845,39,85,1343,593
106,106_0,ABANDONED,SOBOL,,,,4240,16,385,128,256
107,107_0,ABANDONED,SOBOL,,,,111,40,206,1877,1599
108,108_0,ABANDONED,SOBOL,,,,1237,21,4,1634,1932
109,109_0,ABANDONED,SOBOL,,,,4451,49,340,384,215
110,110_0,ABANDONED,SOBOL,,,,3347,6,133,1083,875
111,111_0,ABANDONED,SOBOL,,,,2342,30,468,833,1219
112,112_0,FAILED,SOBOL,,,,2370,3,70,1759,430
113,113_0,ABANDONED,SOBOL,,,,3241,33,281,11,1711
114,114_0,ABANDONED,SOBOL,,,,4636,22,192,1461,1378
115,115_0,ABANDONED,SOBOL,,,,975,48,402,711,723
116,116_0,ABANDONED,SOBOL,,,,217,13,323,965,810
117,117_0,ABANDONED,SOBOL,,,,4212,43,18,1215,1091
118,118_0,ABANDONED,SOBOL,,,,3108,12,452,252,1756
119,119_0,ABANDONED,SOBOL,,,,1321,38,148,1501,101
120,120_0,ABANDONED,SOBOL,,,,1764,24,476,1018,1559
121,121_0,ABANDONED,SOBOL,,,,2635,53,187,768,342
122,122_0,ABANDONED,SOBOL,,,,4030,1,347,1702,506
123,123_0,ABANDONED,SOBOL,,,,369,28,57,453,1350
124,124_0,ABANDONED,SOBOL,,,,783,7,231,192,1180
125,125_0,ABANDONED,SOBOL,,,,4779,37,426,1942,962
126,126_0,COMPLETED,SOBOL,0.020000000000000000416333634234,3081.000000000000000000000000000000,0.000000000000000000000000000000,3674,18,109,525,128
127,127_0,ABANDONED,SOBOL,,,,1888,44,305,1274,1972
128,128_0,FAILED,SOBOL,,,,1899,5,219,697,26
129,129_0,ABANDONED,SOBOL,,,,3703,31,431,1447,1869
130,130_0,ABANDONED,SOBOL,,,,4790,20,99,20,1032
131,131_0,ABANDONED,SOBOL,,,,812,50,310,1769,814
132,132_0,ABANDONED,SOBOL,,,,381,15,482,1531,656
133,133_0,ABANDONED,SOBOL,,,,4059,41,177,281,1500
134,134_0,ABANDONED,SOBOL,,,,2647,10,354,1190,1660
135,135_0,ABANDONED,SOBOL,,,,1793,40,49,940,442
136,136_0,ABANDONED,SOBOL,,,,1294,26,315,455,1905
137,137_0,FAILED,SOBOL,,,,3097,52,26,1704,250
138,138_0,ABANDONED,SOBOL,,,,4185,0,443,762,910
139,139_0,ABANDONED,SOBOL,,,,206,29,154,1013,1192
140,140_0,ABANDONED,SOBOL,,,,947,9,76,1257,1275
141,141_0,ABANDONED,SOBOL,,,,4626,35,271,507,620
142,142_0,FAILED,SOBOL,,,,3213,17,196,1963,283
143,143_0,ABANDONED,SOBOL,,,,2360,46,391,214,1564
144,144_0,ABANDONED,SOBOL,,,,2315,19,9,1129,775
145,145_0,ABANDONED,SOBOL,,,,3336,44,329,879,1119
146,146_0,ABANDONED,SOBOL,,,,4424,8,138,1587,1783
147,147_0,COMPLETED,SOBOL,0.020000000000000000416333634234,9365.000000000000000000000000000000,0.000000000000000000000000000000,1227,36,458,338,66
148,148_0,ABANDONED,SOBOL,,,,83,2,256,81,403
149,149_0,ABANDONED,SOBOL,,,,4230,27,92,1830,1747
150,150_0,ABANDONED,SOBOL,,,,2818,25,377,641,1413
151,151_0,ABANDONED,SOBOL,,,,1496,52,213,1390,695
152,152_0,ABANDONED,SOBOL,,,,1670,13,416,1903,1153
153,153_0,ABANDONED,SOBOL,,,,2692,37,236,154,997
154,154_0,COMPLETED,SOBOL,0.020000000000000000416333634234,5910.000000000000000000000000000000,0.000000000000000000000000000000,3779,14,294,1314,164
155,155_0,ABANDONED,SOBOL,,,,583,42,115,564,1944
156,156_0,ABANDONED,SOBOL,,,,767,23,161,823,1524
157,157_0,ABANDONED,SOBOL,,,,4913,47,498,1073,369
158,158_0,ABANDONED,SOBOL,,,,3501,4,32,398,534
159,159_0,ABANDONED,SOBOL,,,,2179,32,368,1648,1315
160,160_0,ABANDONED,SOBOL,,,,2045,21,450,1437,482
161,161_0,ABANDONED,SOBOL,,,,3517,48,145,687,1638
162,162_0,ABANDONED,SOBOL,,,,4935,6,322,1846,1459
163,163_0,ABANDONED,SOBOL,,,,627,31,17,97,679
164,164_0,ABANDONED,SOBOL,,,,526,11,189,353,852
165,165_0,ABANDONED,SOBOL,,,,3874,38,400,1603,1008
166,166_0,ABANDONED,SOBOL,,,,2791,16,68,927,1831
167,167_0,COMPLETED,SOBOL,0.020000000000000000416333634234,12407.000000000000000000000000000000,0.000000000000000000000000000000,1608,41,280,1176,51
168,168_0,ABANDONED,SOBOL,,,,1478,1,108,1663,1601
169,169_0,ABANDONED,SOBOL,,,,2951,29,303,414,259
