trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,1002.000000000000000000000000000000,3162,21,0.545913000583648666541591865098,0.807557011723518347601213918097,475,EDFSMode.RANDOM
1,1_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,5610.000000000000000000000000000000,1904,88,0.492623232522979404013341309110,0.145318441322073332866438022393,661,EDFSMode.RANDOM
2,2_0,RUNNING,GenerationStep_0,,,1104,40,0.792055496679618942224010424979,0.569795747661963059016443367000,867,EDFSMode.RANDOM
3,3_0,COMPLETED,GenerationStep_0,0.930000000000000048849813083507,1221.000000000000000000000000000000,4847,70,0.247453158782795085146588576208,0.476704525671899304040124434323,255,EDFSMode.RANDOM
4,4_0,COMPLETED,GenerationStep_0,0.920000000000000039968028886506,1088.000000000000000000000000000000,4238,30,0.283526062827557323586802340287,0.357282592443749325017421369921,202,EDFSMode.RANDOM
5,5_0,FAILED,GenerationStep_0,,,476,63,0.740330098908394629297902156395,0.689155340153723927620887934609,919,EDFSMode.RANDOM
6,6_0,COMPLETED,GenerationStep_0,0.900000000000000022204460492503,245.000000000000000000000000000000,1282,11,0.037376628313213589027697025813,0.018164083704352379511348658525,713,EDFSMode.RANDOM
7,7_0,FAILED,GenerationStep_0,,,2520,81,0.985502760265022481611651983258,0.934773682193830612874307917082,422,EDFSMode.RANDOM
8,8_0,COMPLETED,GenerationStep_0,0.890000000000000013322676295502,319.000000000000000000000000000000,2823,48,0.102541308416053647545318483481,0.671691039962694080855953870923,591,EDFSMode.RANDOM
9,9_0,FAILED,GenerationStep_0,,,1565,69,0.935994927478954186206294707517,0.281368500057607884290433730712,544,EDFSMode.RANDOM
10,10_0,COMPLETED,GenerationStep_0,0.859999999999999986677323704498,217.000000000000000000000000000000,193,17,0.356359813472256037325536226490,0.948461188882589345539031455701,300,EDFSMode.RANDOM
11,11_0,FAILED,GenerationStep_0,,,3936,100,0.683148853143677126098509688745,0.098098502965643999407241437893,822,EDFSMode.RANDOM
12,12_0,FAILED,GenerationStep_0,,,4564,3,0.849727865353226641254025253147,0.225315080489963293075561523438,987,EDFSMode.RANDOM
13,13_0,COMPLETED,GenerationStep_0,0.930000000000000048849813083507,975.000000000000000000000000000000,802,82,0.174128307536244392172974926325,0.821306952094659203922333290393,134,EDFSMode.RANDOM
14,14_0,COMPLETED,GenerationStep_0,0.849999999999999977795539507497,1936.000000000000000000000000000000,2207,34,0.595904333777725669918368112121,0.400727975437417616166868583605,379,EDFSMode.RANDOM
15,15_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,6719.000000000000000000000000000000,3445,51,0.426975065954029564530003426626,0.552269223846495127538958058722,757,EDFSMode.RANDOM
16,16_0,FAILED,GenerationStep_0,,,3706,38,0.886484374163672317337159256567,0.062084158614277837329176179537,220,EDFSMode.RANDOM
17,17_0,COMPLETED,GenerationStep_0,0.839999999999999968913755310496,155.000000000000000000000000000000,2444,54,0.090634294686838978716281189918,0.890974957572296277774626105384,859,EDFSMode.RANDOM
18,18_0,COMPLETED,GenerationStep_0,0.859999999999999986677323704498,4489.000000000000000000000000000000,721,7,0.632776980465278082732538678101,0.315433681426569800798631604266,612,EDFSMode.RANDOM
19,19_0,COMPLETED,GenerationStep_0,0.930000000000000048849813083507,1004.000000000000000000000000000000,4459,86,0.343368766909465217285202243147,0.731126553226262299034488023608,454,EDFSMode.RANDOM
20,20_0,COMPLETED,GenerationStep_0,0.920000000000000039968028886506,450.000000000000000000000000000000,3840,13,0.128143099069595339800642364025,0.602020480329170770694702241599,401,EDFSMode.RANDOM
21,21_0,FAILED,GenerationStep_0,,,83,96,0.832346288025379132946568461193,0.444601143293082701202223461223,664,EDFSMode.RANDOM
