trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
2504,2504_0,RUNNING,SOBOL,,,3792,22,0.577187527775764430693072881695,0.284823055379092693328857421875,818,EDFSMode.RANDOM
2505,2505_0,RUNNING,SOBOL,,,2303,74,0.300402608808130022755022991987,0.757047545515000863680654674681,426,EDFSMode.RANDOM
2506,2506_0,COMPLETED,SOBOL,0.609999999999999986677323704498,1120.000000000000000000000000000000,1603,2,0.031027460580691695879451685869,0.876764256959780996503184269386,454,EDFSMode.RANDOM
2507,2507_0,RUNNING,SOBOL,,,4492,51,0.845797486962750588723736200336,0.412397287225350739348073147994,960,EDFSMode.RANDOM
2508,2508_0,RUNNING,SOBOL,,,3278,85,0.281401077628135654062901949146,0.108055670559406277742020563437,534,EDFSMode.RANDOM
2509,2509_0,FAILED,SOBOL,,,1358,44,0.626173813641071275171157139994,0.853959011400118428447569840500,749,EDFSMode.RANDOM
2510,2510_0,COMPLETED,SOBOL,0.709999999999999964472863211995,1597.000000000000000000000000000000,488,65,0.012778592109680176475139390391,0.322199555788189151428468903759,936,EDFSMode.RANDOM
2511,2511_0,RUNNING,SOBOL,,,4897,1,0.892603310953825723750298948289,0.577387554058805152479294520163,263,EDFSMode.RANDOM
2512,2512_0,FAILED,SOBOL,,,4338,61,0.502075981283560346390970607899,0.711815809316933112427250307519,209,EDFSMode.RANDOM
2513,2513_0,RUNNING,SOBOL,,,1180,24,0.403393538249656569139034445470,0.468460655732080344382239900369,877,EDFSMode.RANDOM
2514,2514_0,RUNNING,SOBOL,,,1898,93,0.766557326866313837321342816722,0.996186565689742509199788855767,585,EDFSMode.RANDOM
2515,2515_0,RUNNING,SOBOL,,,2567,30,0.140617878044024119388311078183,0.246521365908905859543054361893,360,EDFSMode.RANDOM
2516,2516_0,FAILED,SOBOL,,,2908,75,0.859513431407511241388874623226,0.395716580310836452127887241659,675,EDFSMode.RANDOM
2517,2517_0,RUNNING,SOBOL,,,2317,11,0.233079301703721292193804970339,0.642330583993345527460405719467,438,EDFSMode.RANDOM
2518,2518_0,RUNNING,SOBOL,,,858,82,0.596730038095265591380211844807,0.173226202541962276404419185383,288,EDFSMode.RANDOM
2519,2519_0,FAILED,SOBOL,,,3939,41,0.497568142451345896137837598872,0.927124861795455168511637111806,968,EDFSMode.RANDOM
2520,2520_0,RUNNING,SOBOL,,,4630,97,0.107676541065797215512844786645,0.781122581122443038204039567063,803,EDFSMode.RANDOM
2521,2521_0,RUNNING,SOBOL,,,299,33,0.987021331416442992967574809882,0.038539001606404783839554539782,114,EDFSMode.RANDOM
2522,2522_0,RUNNING,SOBOL,,,1606,52,0.374113771485164781083199159184,0.504123825026676075644616048521,385,EDFSMode.RANDOM
2523,2523_0,RUNNING,SOBOL,,,3448,15,0.718391348874196422613636059396,0.253230199314653847686429344321,616,EDFSMode.RANDOM
2524,2524_0,RUNNING,SOBOL,,,3599,56,0.207849651005119095970030684839,0.956291129419580054893401666050,224,EDFSMode.RANDOM
2525,2525_0,RUNNING,SOBOL,,,1767,17,0.822581270471215209028059689444,0.206504101607948548080528894388,890,EDFSMode.RANDOM
2526,2526_0,RUNNING,SOBOL,,,138,100,0.445041815117001526846962633499,0.734289989614859250899314702110,738,EDFSMode.RANDOM
2527,2527_0,RUNNING,SOBOL,,,4478,35,0.587094553794711870864375669044,0.490813007999211570187014785915,516,EDFSMode.RANDOM
2528,2528_0,RUNNING,SOBOL,,,3788,78,0.946037981817498763170704023651,0.344671769348904477592299144817,349,EDFSMode.RANDOM
2529,2529_0,RUNNING,SOBOL,,,697,39,0.086193528471514582744994470431,0.599737939588725565975835252175,567,EDFSMode.RANDOM
2530,2530_0,RUNNING,SOBOL,,,2478,71,0.712501550910994430054756776372,0.068162191731855267806672316055,838,EDFSMode.RANDOM
2531,2531_0,RUNNING,SOBOL,,,3059,8,0.317537207255139952710720763207,0.813943706400692468250213096326,163,EDFSMode.RANDOM
2532,2532_0,RUNNING,SOBOL,,,2719,91,0.682651401542127111987667831272,0.543897349614649971982771603507,985,EDFSMode.RANDOM
2533,2533_0,RUNNING,SOBOL,,,2059,26,0.287207129392772930742694370565,0.293369204277172668238193864454,298,EDFSMode.RANDOM
2534,2534_0,RUNNING,SOBOL,,,1018,59,0.914002575490623692111569198460,0.758526667598634962708104012563,484,EDFSMode.RANDOM
2535,2535_0,RUNNING,SOBOL,,,4187,20,0.053662965379655362674338192619,0.016308568457141518065478535959,714,EDFSMode.RANDOM
2536,2536_0,RUNNING,SOBOL,,,4745,68,0.413249825051054342495149285241,0.150632129348814480795937242874,662,EDFSMode.RANDOM
2537,2537_0,RUNNING,SOBOL,,,328,5,0.554807882847264455250524406438,0.904896268976852269361188518815,424,EDFSMode.RANDOM
2538,2538_0,RUNNING,SOBOL,,,1519,87,0.177755613209679724784351151357,0.435488257132470635291099370079,132,EDFSMode.RANDOM
2539,2539_0,FAILED,SOBOL,,,3429,48,0.792007780065760003118668919342,0.682467741189524579326075581776,814,EDFSMode.RANDOM
2540,2540_0,RUNNING,SOBOL,,,3335,63,0.619801811866462215583339911973,0.841406740562990251852681922173,369,EDFSMode.RANDOM
2541,2541_0,RUNNING,SOBOL,,,1426,3,0.472884060565382235985509851162,0.087477622907608743041407706187,604,EDFSMode.RANDOM
2542,2542_0,RUNNING,SOBOL,,,421,82,0.852128665927797568357959789864,0.618919218095019485481600440835,868,EDFSMode.RANDOM
2543,2543_0,RUNNING,SOBOL,,,4841,47,0.242262891881167896634963199176,0.372274756010621765689450057835,189,EDFSMode.RANDOM
2544,2544_0,RUNNING,SOBOL,,,4130,92,0.351348462959751473011493771992,0.479292109584435799263246735791,243,EDFSMode.RANDOM
2545,2545_0,RUNNING,SOBOL,,,960,30,0.743381903441622804429300686024,0.730216189980506857892805783194,927,EDFSMode.RANDOM
2546,2546_0,RUNNING,SOBOL,,,2117,61,0.114880474539473656503396625794,0.202294305255636575058275639094,769,EDFSMode.RANDOM
