trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,delta
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.330000000000000015543122344752,62.000000000000000000000000000000,1140,0.487142282605171228482277001604
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.309999999999999997779553950750,61.000000000000000000000000000000,2899,0.592536844685673691479621538747
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.380000000000000004440892098501,76.000000000000000000000000000000,3951,0.217066032528877267404610051926
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.330000000000000015543122344752,62.000000000000000000000000000000,1963,0.860170856075361367487630559481
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.429999999999999993338661852249,83.000000000000000000000000000000,1549,0.108223364649340514365150056619
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.309999999999999997779553950750,66.000000000000000000000000000000,4405,0.938789100591093328418423880066
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.369999999999999995559107901499,74.000000000000000000000000000000,3738,0.314318040449172275696554379465
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.289999999999999980015985556747,59.000000000000000000000000000000,340,0.731253464473411440849304199219
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,40.000000000000000000000000000000,36,0.135115604456514132314381981814
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.330000000000000015543122344752,64.000000000000000000000000000000,3437,0.786170474281534525928805123840
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.349999999999999977795539507497,90.000000000000000000000000000000,4723,0.413150521552190175267327276742
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.330000000000000015543122344752,78.000000000000000000000000000000,1874,0.510596811693161733991530581989
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,65.000000000000000000000000000000,2282,0.271297658585011980392209807178
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.359999999999999986677323704498,66.000000000000000000000000000000,4277,0.680709427932277288952889193752
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.409999999999999975575093458247,73.000000000000000000000000000000,2595,0.057685945862904194902931465094
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.289999999999999980015985556747,62.000000000000000000000000000000,839,0.895773551918566224294693256525
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.510000000000000008881784197001,128.000000000000000000000000000000,662,0.016803220525383948807940370784
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.289999999999999980015985556747,60.000000000000000000000000000000,2810,0.932769372494891335634292772738
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.400000000000000022204460492503,78.000000000000000000000000000000,4102,0.312175528423860648707943710178
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.309999999999999997779553950750,58.000000000000000000000000000000,2496,0.643711071789264677178721285600
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.340000000000000024424906541753,71.000000000000000000000000000000,1660,0.387911882046610090313265573059
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.369999999999999995559107901499,64.000000000000000000000000000000,4898,0.531925480959936969327372935368
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.380000000000000004440892098501,68.000000000000000000000000000000,3221,0.160358683062717305434219383642
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.289999999999999980015985556747,55.000000000000000000000000000000,213,0.764844756979495277171565703611
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.299999999999999988897769753748,68.000000000000000000000000000000,516,0.355170208862051361986544861793
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.309999999999999997779553950750,63.000000000000000000000000000000,3522,0.694288423892110539981104011531
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,133.000000000000000000000000000000,4580,0.067375858407467598132356556562
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.309999999999999997779553950750,60.000000000000000000000000000000,1335,0.975757316207513158978770206886
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.299999999999999988897769753748,57.000000000000000000000000000000,2177,0.242395725646987553192346354081
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.309999999999999997779553950750,79.000000000000000000000000000000,3776,0.838750910125672821671116707876
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.330000000000000015543122344752,39.000000000000000000000000000000,14,0.001000000000000000020816681712
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.479999999999999982236431605997,102.000000000000000000000000000000,5000,0.058577211756260981478927618582
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,123.000000000000000000000000000000,4000,0.058442827434973587674704731398
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.330000000000000015543122344752,51.000000000000000000000000000000,2036,0.024900550895173990950670628308
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,14.000000000000000000000000000000,1,0.061344721068883598102949861186
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.469999999999999973354647408996,78.000000000000000000000000000000,176,0.001000000000000000020816681712
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,141.000000000000000000000000000000,4207,0.059497906828643844223680758887
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,144.000000000000000000000000000000,3772,0.033134655693520087549330810361
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,112.000000000000000000000000000000,5000,0.102546741099332178182024222224
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,175.000000000000000000000000000000,1742,0.001000000000000000020816681712
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,25.000000000000000000000000000000,1,0.495119677565746374447996913659
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,182.000000000000000000000000000000,1230,0.001000000000000000020816681712
