trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,27.000000000000000000000000000000,4044,885,3138,False
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,1226,4926,1051,True
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,55.000000000000000000000000000000,1516,1725,4748,False
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,3680,2680,2000,True
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,2581,2407,140,True
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,80.000000000000000000000000000000,2304,3328,2861,False
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,132,278,1655,True
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.689999999999999946709294817992,29.000000000000000000000000000000,4834,4363,3787,False
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.660000000000000031086244689504,40.000000000000000000000000000000,4648,1373,1457,False
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,552,2952,4375,True
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.650000000000000022204460492503,23.000000000000000000000000000000,2177,1002,493,False
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,3099,4418,2741,True
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,3259,317,4633,True
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,69.000000000000000000000000000000,1701,3776,2350,False
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,709,1977,3722,True
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.689999999999999946709294817992,14.000000000000000000000000000000,4172,3523,858,False
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,4318,2094,4193,True
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.689999999999999946709294817992,38.000000000000000000000000000000,875,3639,1324,False
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,1867,590,2598,True
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.689999999999999946709294817992,13.000000000000000000000000000000,3406,4049,321,False
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,36.000000000000000000000000000000,2933,1199,2209,False
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2.000000000000000000000000000000,2030,4614,4463,True
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,10.000000000000000000000000000000,405,1414,679,False
