trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
59,59_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,2283.000000000000000000000000000000,1250,889,1000,250,7
60,60_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,950.000000000000000000000000000000,366,58,1000,182,2
61,61_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,2669.000000000000000000000000000000,659,2095,368,250,1
62,62_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,2100.000000000000000000000000000000,422,2135,1000,222,9
63,63_0,COMPLETED,BOTORCH_MODULAR,0.619999999999999995559107901499,343.000000000000000000000000000000,1,511,1000,250,7
64,64_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1759.000000000000000000000000000000,313,2075,496,249,8
65,65_0,COMPLETED,BOTORCH_MODULAR,0.660000000000000031086244689504,991.000000000000000000000000000000,1,1734,840,250,1
66,66_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,1943.000000000000000000000000000000,136,1711,1000,242,5
67,67_0,COMPLETED,BOTORCH_MODULAR,0.930000000000000048849813083507,1515.000000000000000000000000000000,479,580,1000,192,2
68,68_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,1261.000000000000000000000000000000,2768,1,1000,194,2
69,69_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,2533.000000000000000000000000000000,414,2744,2,203,2
70,70_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,2605.000000000000000000000000000000,517,2756,735,188,10
71,71_0,COMPLETED,BOTORCH_MODULAR,0.830000000000000071054273576010,488.000000000000000000000000000000,18,768,385,250,4
72,72_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,2427.000000000000000000000000000000,3119,335,1000,245,3
73,73_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1521.000000000000000000000000000000,2729,896,1000,250,7
74,74_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,2393.000000000000000000000000000000,674,2224,1000,250,2
75,75_0,FAILED,BOTORCH_MODULAR,,,633,2590,2,218,9
76,76_0,FAILED,BOTORCH_MODULAR,,,413,1929,2,2,10
77,77_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,2407.000000000000000000000000000000,1331,1247,1000,250,10
78,78_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1387.000000000000000000000000000000,190,1869,2,250,1
79,79_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1408.000000000000000000000000000000,426,1507,223,250,8
80,80_0,FAILED,BOTORCH_MODULAR,,,2525,2605,2,249,6
81,81_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,2530.000000000000000000000000000000,2536,2677,2,250,1
82,82_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1772.000000000000000000000000000000,2651,1564,1000,250,10
83,83_0,FAILED,BOTORCH_MODULAR,,,698,3172,2,154,10
84,84_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1701.000000000000000000000000000000,734,867,610,250,3
85,85_0,COMPLETED,BOTORCH_MODULAR,0.900000000000000022204460492503,3010.000000000000000000000000000000,1357,167,718,226,1
86,86_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,612.000000000000000000000000000000,170,526,1000,250,4
87,87_0,COMPLETED,BOTORCH_MODULAR,0.640000000000000013322676295502,693.000000000000000000000000000000,1,1236,874,250,4
88,88_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,2854.000000000000000000000000000000,1357,1,1000,177,1
89,89_0,COMPLETED,BOTORCH_MODULAR,0.640000000000000013322676295502,984.000000000000000000000000000000,1,1775,1000,242,8
90,90_0,FAILED,BOTORCH_MODULAR,,,363,2927,2,130,10
91,91_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,791.000000000000000000000000000000,1059,1,1000,248,4
92,92_0,FAILED,BOTORCH_MODULAR,,,281,2770,2,183,6
93,93_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,2926.000000000000000000000000000000,1076,833,1000,241,1
94,94_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,1093.000000000000000000000000000000,1315,1,547,225,4
95,95_0,FAILED,BOTORCH_MODULAR,,,359,2127,2,2,4
96,96_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,927.000000000000000000000000000000,504,263,121,241,2
97,97_0,FAILED,BOTORCH_MODULAR,,,518,2461,2,2,6
98,98_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1644.000000000000000000000000000000,718,963,1000,250,10
99,99_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,2384.000000000000000000000000000000,429,2379,822,224,5
100,100_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,771.000000000000000000000000000000,2363,119,273,250,1
101,101_0,FAILED,BOTORCH_MODULAR,,,4,57,2,207,10
102,102_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,830.000000000000000000000000000000,2365,338,1000,250,2
103,103_0,FAILED,BOTORCH_MODULAR,,,935,1,2,207,9
104,104_0,FAILED,BOTORCH_MODULAR,,,2209,776,2,250,4
105,105_0,FAILED,BOTORCH_MODULAR,,,304,1,2,187,10
106,106_0,COMPLETED,BOTORCH_MODULAR,0.520000000000000017763568394003,74.000000000000000000000000000000,1,1,2,197,1
107,107_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,764.000000000000000000000000000000,2430,1,2,250,1
108,108_0,FAILED,BOTORCH_MODULAR,,,1550,1,2,250,10
109,109_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,646.000000000000000000000000000000,930,1,432,238,7
110,110_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,578.000000000000000000000000000000,2327,1,1000,250,1
111,111_0,FAILED,BOTORCH_MODULAR,,,1,1149,2,130,10
112,112_0,FAILED,BOTORCH_MODULAR,,,2110,1,2,250,6
113,113_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,322.000000000000000000000000000000,2326,1,470,250,5
114,114_0,COMPLETED,BOTORCH_MODULAR,0.520000000000000017763568394003,93.000000000000000000000000000000,1,1,2,250,1
115,115_0,FAILED,BOTORCH_MODULAR,,,1187,1,2,246,10
116,116_0,COMPLETED,BOTORCH_MODULAR,0.910000000000000031086244689504,1252.000000000000000000000000000000,2675,1,2,250,1
117,117_0,COMPLETED,BOTORCH_MODULAR,0.900000000000000022204460492503,497.000000000000000000000000000000,2270,17,2,250,1
118,118_0,FAILED,BOTORCH_MODULAR,,,2119,2050,2,250,10
