trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
184,184_0,FAILED,SOBOL,,,1612,978,2623,0.661977092513814535656990756252,0.410841311817988774635068693897,1.417464869894087264867721387418,str\(\'ks-test\'\),21,str\(\'bounded\'\)
185,185_0,FAILED,SOBOL,,,2783,3337,543,0.109738780284300452283474669457,0.647287975639104895542175199807,9.113714130351320719114482926670,str\(\'t-test\'\),37,str\(\'bounded\'\)
186,186_0,FAILED,SOBOL,,,4836,1871,4492,0.811296772753819839252287238196,0.961137579798698404864865096897,5.917075541354716250452838721685,str\(\'ks-test\'\),50,str\(\'bounded\'\)
187,187_0,FAILED,SOBOL,,,849,3888,2353,0.491015848686918610077611901943,0.229553543245419849894162211967,3.535140797862783124116958788363,str\(\'t-test\'\),8,str\(\'bounded\'\)
188,188_0,FAILED,SOBOL,,,376,2132,768,0.256134030109271382258384619490,0.104927087988704439980303106950,0.859239743852056592210431062995,str\(\'ks-test\'\),43,str\(\'bounded\'\)
189,189_0,FAILED,SOBOL,,,4058,4802,3648,0.948715750297531523749228199449,0.836265986921265747078280128335,8.475159550896846027967512782197,str\(\'t-test\'\),2,str\(\'bounded\'\)
190,190_0,FAILED,SOBOL,,,3559,15,1347,0.153639024237170823683484854882,0.522417899640277072492722254538,6.516113827788271528618224692764,str\(\'ks-test\'\),15,str\(\'bounded\'\)
191,191_0,FAILED,SOBOL,,,2087,2969,4248,0.583076570088043810713429593307,0.286213280197232966539644394288,4.209778860620223994715161097702,str\(\'t-test\'\),30,str\(\'bounded\'\)
192,192_0,FAILED,SOBOL,,,2046,1122,1430,0.096660283625125881235007341274,0.176148695962503543110955206430,0.295178528396412731549247610019,str\(\'t-test\'\),29,str\(\'bounded\'\)
193,193_0,FAILED,SOBOL,,,3522,3158,4155,0.667173042133450522328530496452,0.874320536714047191750864840287,7.911098409939557818404409772484,str\(\'ks-test\'\),16,str\(\'bounded\'\)
194,194_0,FAILED,SOBOL,,,4017,1655,831,0.495604537520557664187492719066,0.700846537005156311472831021092,7.060340209988877901992054830771,str\(\'t-test\'\),4,str\(\'bounded\'\)
195,195_0,FAILED,SOBOL,,,339,3994,3575,0.799073018599301576614379882812,0.497748300598934267924278174178,4.754005317319185408564408135135,str\(\'ks-test\'\),41,str\(\'bounded\'\)
196,196_0,FAILED,SOBOL,,,802,2000,4536,0.938401225809007866196509439760,0.372878129795193691276011804803,2.117925720217637586273440319928,str\(\'t-test\'\),11,str\(\'bounded\'\)
197,197_0,FAILED,SOBOL,,,4804,4974,2299,0.258733540851622811906906918011,0.576218652239069317744224463240,9.814174906176514667777155409567,str\(\'ks-test\'\),47,str\(\'bounded\'\)
198,198_0,FAILED,SOBOL,,,2737,230,2725,0.586287118941545504213763706503,0.749693930884823167559716239339,5.196780044022016653570972266607,str\(\'t-test\'\),35,str\(\'bounded\'\)
199,199_0,FAILED,SOBOL,,,1580,2881,430,0.142473594054579738577004377476,0.051277186736464502869736747925,2.814845226031728042670465583797,str\(\'ks-test\'\),23,str\(\'bounded\'\)
200,200_0,FAILED,SOBOL,,,1428,1346,3035,0.371542709652334435244114274610,0.974000537488609596792343836569,4.367875899375416537395722116344,str\(\'t-test\'\),8,str\(\'bounded\'\)
