trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,793.000000000000000000000000000000,2113,2906,4.225822593629360746092515910277,9,0.747969201803207361933800711995
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.160000000000000003330669073875,2509.000000000000000000000000000000,2599,794,6.440488293658011009767960786121,13,0.327630155932158217968463986836
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.119999999999999995559107901499,363.000000000000000000000000000000,4730,3830,1.033455814829096208740111251245,5,0.078973830427974470169694143351
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.080000000000000001665334536938,5571.000000000000000000000000000000,528,2344,8.226861989391036189545047818683,20,0.969087969047948694090166554815
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.059999999999999997779553950750,1488.000000000000000000000000000000,716,4519,6.146745422331616914846108556958,18,0.768232575219124580456764306291
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.179999999999999993338661852249,372.000000000000000000000000000000,4015,1784,3.347273722742684309849892088096,2,0.159336582003161308929151118718
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.110000000000000000555111512313,367.000000000000000000000000000000,3646,3593,9.184138450052589774941225186922,11,0.435023907316848645887574775770
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.400000000000000022204460492503,1334.000000000000000000000000000000,1632,233,1.403485002073459275706568405440,6,0.511796536263078416517657842633
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.100000000000000005551115123126,426.000000000000000000000000000000,1400,4228,9.760627294908276851970185816754,1,0.273702929861843580194857850074
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.140000000000000013322676295502,4605.000000000000000000000000000000,3409,1962,1.921514670837670468728219930199,16,0.662275817217305329265286673035
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.140000000000000013322676295502,824.000000000000000000000000000000,4252,2673,5.610101892483421615054339781636,8,0.930419690357521145251951111277
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.179999999999999993338661852249,1986.000000000000000000000000000000,948,1032,2.791229610553011220019925531233,12,0.009696729771792887697667850944
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.040000000000000000832667268469,714.000000000000000000000000000000,297,3352,0.339911000703461474437006017979,14,0.245242955120280381464681340731
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.340000000000000024424906541753,1457.000000000000000000000000000000,4493,460,7.513954736081884355769489047816,10,0.823408300198614551135278816218
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.059999999999999997779553950750,732.000000000000000000000000000000,2836,4908,4.957954110297374761273658805294,19,0.582809886656701525708967892569
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.080000000000000001665334536938,565.000000000000000000000000000000,2345,1390,7.114198665644973829103037132882,3,0.474392905848100787657983801182
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.040000000000000000832667268469,583.000000000000000000000000000000,2336,4820,2.422482325822115090119268643321,11,0.942758401975035686959358827153
