trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.800000000000000044408920985006,87.000000000000000000000000000000,2797,2815,1062,False
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,21.000000000000000000000000000000,2437,1628,3189,True
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.800000000000000044408920985006,80.000000000000000000000000000000,1011,4156,2491,False
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,21.000000000000000000000000000000,3756,464,4582,True
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,21.000000000000000000000000000000,4400,4655,2866,True
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.859999999999999986677323704498,106.000000000000000000000000000000,367,884,150,False
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,21.000000000000000000000000000000,1831,3334,4285,True
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.890000000000000013322676295502,174.000000000000000000000000000000,3404,2068,1533,False
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.869999999999999995559107901499,129.000000000000000000000000000000,3690,3782,4031,False
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,88.000000000000000000000000000000,1545,56,1787,True
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,60.000000000000000000000000000000,9,2603,2651,False
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,320.000000000000000000000000000000,4759,1372,364,True
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,23.000000000000000000000000000000,4120,3747,2081,True
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.810000000000000053290705182008,109.000000000000000000000000000000,647,2437,4992,False
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,21.000000000000000000000000000000,2157,4906,691,True
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.900000000000000022204460492503,280.000000000000000000000000000000,3078,1101,3560,False
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,22.000000000000000000000000000000,2836,4787,1644,True
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.900000000000000022204460492503,467.000000000000000000000000000000,1929,1063,3774,False
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,20.000000000000000000000000000000,894,3476,586,True
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.900000000000000022204460492503,174.000000000000000000000000000000,4342,2237,2674,False
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.880000000000000004440892098501,223.000000000000000000000000000000,4985,2725,4703,False
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,20.000000000000000000000000000000,250,1408,1989,True
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.819999999999999951150186916493,147.000000000000000000000000000000,1323,4056,3615,False
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,159.000000000000000000000000000000,3443,253,860,True
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,20.000000000000000000000000000000,3182,3215,3361,True
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.900000000000000022204460492503,184.000000000000000000000000000000,1584,2030,1114,False
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.190000000000000002220446049250,21.000000000000000000000000000000,595,4384,4488,True
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.920000000000000039968028886506,534.000000000000000000000000000000,4641,684,2204,False
