trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,FAILED,GenerationStep_0,,,3586,4375,3849,0.821683137059211698982608140795,0.000000001000000000000000062282
1,1_0,FAILED,GenerationStep_0,,,584,502,1438,0.478278508435934779363662983087,0.100000000000000005551115123126
2,2_0,FAILED,GenerationStep_0,,,1736,2767,3505,0.524925126165151634261007984605,0.599999999999999977795539507497
3,3_0,FAILED,GenerationStep_0,,,4740,1484,1249,0.182479887010529640001266216132,0.001000000000000000020816681712
4,4_0,FAILED,GenerationStep_0,,,4286,3509,2116,0.028663772411644458659729650662,0.000000999999999999999954748112
5,5_0,FAILED,GenerationStep_0,,,2210,2301,4391,0.686897742399945832048047122953,0.900000000000000022204460492503
6,6_0,FAILED,GenerationStep_0,,,1019,4410,513,0.328351464239880430628915064517,0.299999999999999988897769753748
7,7_0,FAILED,GenerationStep_0,,,3093,774,2943,0.979778409887105183884159487206,0.000000000009999999999999999395
8,8_0,FAILED,GenerationStep_0,,,2590,3017,202,0.700573997046798457866145781736,0.010000000000000000208166817117
9,9_0,FAILED,GenerationStep_0,,,916,1801,2633,0.108612499779090279639071070505,0.000000001000000000000000062282
10,10_0,FAILED,GenerationStep_0,,,2107,3910,2427,0.903792819725349527715252406779,0.000100000000000000004792173602
11,11_0,FAILED,GenerationStep_0,,,3783,282,4701,0.310841497823595991345513311899,0.599999999999999977795539507497
12,12_0,FAILED,GenerationStep_0,,,4540,4806,3185,0.402289758110418893544135698903,0.800000000000000044408920985006
13,13_0,FAILED,GenerationStep_0,,,1292,945,930,0.804171892635524243608813321771,0.000000999999999999999954748112
14,14_0,FAILED,GenerationStep_0,,,140,3211,4169,0.196157413158565746558181785986,0.000000000000999999999999999980
15,15_0,FAILED,GenerationStep_0,,,3386,1915,1757,0.604877058310434256860332880024,0.400000000000000022204460492503
16,16_0,FAILED,GenerationStep_0,,,3279,3391,2675,0.354888101043179637894553479782,0.001000000000000000020816681712
17,17_0,COMPLETED,GenerationStep_0,0.800000000000000044408920985006,5453.000000000000000000000000000000,266,2105,87,0.945144013315439179834243077494,0.500000000000000000000000000000
18,18_0,FAILED,GenerationStep_0,,,1420,4996,4972,0.056159894417971374658282712744,0.100000000000000005551115123126
19,19_0,FAILED,GenerationStep_0,,,4431,1126,2229,0.651304098566994116303874307050,0.000000000100000000000000003643
20,20_0,FAILED,GenerationStep_0,,,3967,3788,659,0.559853499758988570889073344006,0.000000000100000000000000003643
21,21_0,FAILED,GenerationStep_0,,,1903,150,3382,0.155778475550934686344461965746,0.200000000000000011102230246252
22,22_0,FAILED,GenerationStep_0,,,710,2885,1716,0.857601460764184642115992573963,0.900000000000000022204460492503
23,23_0,FAILED,GenerationStep_0,,,2777,1679,4284,0.450587393172085293180373355426,0.000000099999999999999995474811
24,24_0,FAILED,GenerationStep_0,,,2908,4532,1401,0.231766883835196502161579701351,0.699999999999999955591079014994
25,25_0,FAILED,GenerationStep_0,,,1223,906,3968,0.577364380763843665356205292483,0.000100000000000000004792173602
26,26_0,FAILED,GenerationStep_0,,,2416,3641,973,0.436910209065303201114716102893,0.000000010000000000000000209226
27,27_0,FAILED,GenerationStep_0,,,4099,2423,3698,0.777649900402873739402309638535,0.010000000000000000208166817117
28,28_0,FAILED,GenerationStep_0,,,4846,2587,4667,0.931467416627332567280461717019,0.400000000000000022204460492503
29,29_0,FAILED,GenerationStep_0,,,1611,1293,1923,0.274939001891762013762843253062,0.000000000000999999999999999980
30,30_0,RUNNING,GenerationStep_0,,,456,4184,2979,0.727290030770003759208464089170,0.000010000000000000000818030539
31,31_0,RUNNING,GenerationStep_0,,,3695,321,393,0.073670232618227596277371560518,0.699999999999999955591079014994
32,32_0,RUNNING,GenerationStep_0,,,3614,2689,2411,0.468423744089901450404767047075,0.000000000009999999999999999395
33,33_0,RUNNING,GenerationStep_0,,,380,1562,4844,0.870594269583001678647349308449,0.299999999999999988897769753748
34,34_0,RUNNING,GenerationStep_0,,,1686,4297,255,0.137547141341492540345115003220,0.800000000000000044408920985006
35,35_0,RUNNING,GenerationStep_0,,,4927,579,2531,0.546524717200547405226984665205,0.000000099999999999999995474811
36,36_0,RUNNING,GenerationStep_0,,,4180,4489,4106,0.634419038733467499646678788849,0.000100000000000000004792173602
