trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0_0,COMPLETED,SOBOL,0.700000000000000066613381477509,237.000000000000000000000000000000,3042,3909,0.857297781109809919897202235006,47,0.1
1,1_0,COMPLETED,SOBOL,0.739999999999999991118215802999,641.000000000000000000000000000000,1907,1880,0.051295588184148074861745669750,13,0.025
2,2_0,COMPLETED,SOBOL,0.709999999999999964472863211995,297.000000000000000000000000000000,811,2768,0.454171114610508075415395978780,17,0.25
3,3_0,FAILED,SOBOL,,,4129,742,0.638372070850804496089381245838,26,0.001
4,4_0,COMPLETED,SOBOL,0.700000000000000066613381477509,398.000000000000000000000000000000,4511,3743,0.174643195806071155340433165293,20,0.01
5,5_0,COMPLETED,SOBOL,0.780000000000000026645352591004,990.000000000000000000000000000000,563,469,0.982593676162883622460242349916,36,0.05
6,6_0,COMPLETED,SOBOL,0.690000000000000057731597280508,371.000000000000000000000000000000,1644,4885,0.511983638405799856840872052999,44,0.005
7,7_0,COMPLETED,SOBOL,0.739999999999999991118215802999,662.000000000000000000000000000000,3399,1608,0.329730993762612334396777669099,3,0.1
8,8_0,COMPLETED,SOBOL,0.709999999999999964472863211995,493.000000000000000000000000000000,3627,2879,0.704151107236743012407487185556,5,0.01
9,9_0,FAILED,SOBOL,,,1320,1153,0.387402353972196578091313767800,40,0.001
10,10_0,COMPLETED,SOBOL,0.650000000000000022204460492503,196.000000000000000000000000000000,223,4198,0.109277751429006461658666182757,32,0.005
11,11_0,COMPLETED,SOBOL,0.729999999999999982236431605997,662.000000000000000000000000000000,4713,2475,0.798325873164460020348087709863,23,0.05
12,12_0,COMPLETED,SOBOL,0.690000000000000057731597280508,1058.000000000000000000000000000000,3847,4471,0.263937651129439454500413830829,29,0.05
13,13_0,COMPLETED,SOBOL,0.750000000000000000000000000000,603.000000000000000000000000000000,1228,1499,0.578736248748376924666558807075,14,0.1
14,14_0,COMPLETED,SOBOL,0.670000000000000039968028886506,209.000000000000000000000000000000,2310,3151,0.924597206670790927596215169615,9,0.025
15,15_0,COMPLETED,SOBOL,0.800000000000000044408920985006,4395.000000000000000000000000000000,2737,177,0.233598929289728390878977393186,49,0.001
16,16_0,COMPLETED,SOBOL,0.690000000000000057731597280508,244.000000000000000000000000000000,2501,3286,0.958481703817844366000144873396,48,0.25
17,17_0,COMPLETED,SOBOL,0.849999999999999977795539507497,6834.000000000000000000000000000000,2386,8,0.136886260941624648967973598701,7,0.1
18,18_0,COMPLETED,SOBOL,0.680000000000000048849813083507,245.000000000000000000000000000000,993,4640,0.351905361888930179325996050466,15,0.005
19,19_0,COMPLETED,SOBOL,0.750000000000000000000000000000,881.000000000000000000000000000000,3925,1364,0.551700544012710403229959865712,30,0.025
20,20_0,COMPLETED,SOBOL,0.690000000000000057731597280508,363.000000000000000000000000000000,4949,4366,0.011585584746673701500574438228,24,0.005
21,21_0,COMPLETED,SOBOL,0.650000000000000022204460492503,173.000000000000000000000000000000,147,2341,0.835131242753937796940988391725,34,0.25
22,22_0,COMPLETED,SOBOL,0.719999999999999973354647408996,375.000000000000000000000000000000,1554,3013,0.676151132438331803342634884757,39,0.001
23,23_0,COMPLETED,SOBOL,0.760000000000000008881784197001,948.000000000000000000000000000000,3549,985,0.478306165445595954377466796359,4,0.01
24,24_0,COMPLETED,SOBOL,0.690000000000000057731597280508,242.000000000000000000000000000000,3167,4756,0.602874601025134349008283152216,1,0.005
25,25_0,COMPLETED,SOBOL,0.739999999999999991118215802999,613.000000000000000000000000000000,1724,1781,0.301721025411039567298843167009,42,0.01
26,26_0,COMPLETED,SOBOL,0.660000000000000031086244689504,177.000000000000000000000000000000,329,3571,0.211450944812968361086191748655,38,0.001
27,27_0,FAILED,SOBOL,,,4589,598,0.884906744198873607132327379077,22,0.1
28,28_0,COMPLETED,SOBOL,0.719999999999999973354647408996,464.000000000000000000000000000000,4361,2594,0.427146355194970961388634123068,28,0.025
29,29_0,FAILED,SOBOL,,,731,871,0.726351678697392366679252972972,19,0.01
30,30_0,COMPLETED,BOTORCH_MODULAR,0.800000000000000044408920985006,2320.000000000000000000000000000000,1507,143,0.117447473461991039322960261870,12,0.05
31,31_0,COMPLETED,BOTORCH_MODULAR,0.579999999999999960031971113494,156.000000000000000000000000000000,1,1009,0.041695845319198079903522113909,1,0.05
32,32_0,COMPLETED,BOTORCH_MODULAR,0.579999999999999960031971113494,138.000000000000000000000000000000,1,3905,0.001000000000000000020816681712,1,0.25
33,33_0,FAILED,BOTORCH_MODULAR,,,2119,1,0.134677644954989905734521471459,17,0.05
34,34_0,COMPLETED,BOTORCH_MODULAR,0.770000000000000017763568394003,872.000000000000000000000000000000,2705,580,0.050937677245912596490917678693,1,0.01
35,35_0,COMPLETED,BOTORCH_MODULAR,0.579999999999999960031971113494,175.000000000000000000000000000000,1,1067,0.998999999999999999111821580300,1,0.05
36,36_0,COMPLETED,BOTORCH_MODULAR,0.760000000000000008881784197001,1360.000000000000000000000000000000,1958,794,0.053321843132272235543656080381,1,0.01
37,37_0,COMPLETED,BOTORCH_MODULAR,0.800000000000000044408920985006,3358.000000000000000000000000000000,1872,130,0.060357271872244856736333673553,1,0.01
38,38_0,COMPLETED,BOTORCH_MODULAR,0.739999999999999991118215802999,519.000000000000000000000000000000,2410,852,0.001000000000000000020816681712,7,0.05
39,39_0,FAILED,BOTORCH_MODULAR,,,2425,1,0.001000000000000000020816681712,8,0.05
40,40_0,FAILED,BOTORCH_MODULAR,,,1002,951,0.998999999999999999111821580300,50,0.05
41,41_0,COMPLETED,BOTORCH_MODULAR,0.729999999999999982236431605997,409.000000000000000000000000000000,1017,1883,0.998999999999999999111821580300,50,0.25
42,42_0,COMPLETED,BOTORCH_MODULAR,0.700000000000000066613381477509,281.000000000000000000000000000000,2456,1930,0.998999999999999999111821580300,50,0.1
43,43_0,FAILED,BOTORCH_MODULAR,,,964,1,0.974587338340193731767158169532,50,0.05
44,44_0,FAILED,BOTORCH_MODULAR,,,2153,1,0.001000000000000000020816681712,15,0.01
45,45_0,FAILED,BOTORCH_MODULAR,,,3885,1185,0.998999999999999999111821580300,50,0.05
46,46_0,FAILED,BOTORCH_MODULAR,,,2335,1,0.001000000000000000020816681712,11,0.01
47,47_0,FAILED,BOTORCH_MODULAR,,,1298,1,0.979419335075883523700213117991,32,0.05
48,48_0,FAILED,BOTORCH_MODULAR,,,1352,1182,0.998999999999999999111821580300,29,0.001
49,49_0,FAILED,BOTORCH_MODULAR,,,2168,1,0.001000000000000000020816681712,11,0.01
50,50_0,FAILED,BOTORCH_MODULAR,,,1395,625,0.995876588231545012419587692420,32,0.05
