trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,delta
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,6.000000000000000000000000000000,3250,0.915985457420349091783862149896
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,1000,0.379969476858153965004305518960
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,1696,0.542280915627255999389433327451
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,3819,0.006257294904440641354625984860
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,4824,0.688543626325204938254387343477
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,1948,0.234364358130842442839991690562
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,125,0.812636032495647642193148385559
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,2873,0.358449144588783408238441552385
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,5.000000000000000000000000000000,2530,0.580415006741881400742499863554
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,395,0.122367521507665513724738559631
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,2224,0.955332125676795818058906206716
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,4465,0.497277017012238475857088815246
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,4100,0.805191908916458531919602137350
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,1341,0.273043652780354029196985266026
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,5.000000000000000000000000000000,650,0.679905992545187465303513363324
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,6.000000000000000000000000000000,3517,0.147750116696581251796160927370
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,3718,0.640405677126720584979580053187
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4.000000000000000000000000000000,843,0.186256865475326771619535293212
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,6.000000000000000000000000000000,1543,0.766688961628824494631828656566
