trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,2659.000000000000000000000000000000,3524,0.253914493739604951727528714400,0.749498096466064467335854715202,3636,1218,3819
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2879.000000000000000000000000000000,1079,0.645728308416902985200636067020,0.196209300259128222032600774583,1115,4499,1608
2,2_0,FAILED,Sobol,GenerationStep_0,,,1837,0.030259420886635780834073017331,0.995272693732753399586954401457,4928,2887,10
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,4855.000000000000000000000000000000,4323,0.882059070443734549726855220797,0.448924573557451356276004617030,2488,1481,2846
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,5429.000000000000000000000000000000,4596,0.215518674144521360513948593507,0.017780349666252734386340250694,1354,2260,4613
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,852.000000000000000000000000000000,2034,0.821734411645680618008213969006,0.537535082073882231057382341533,3874,3353,2442
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,377.000000000000000000000000000000,23,0.439201447691768387393551620335,0.268914262147620319876040184681,60,4341,935
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,1623.000000000000000000000000000000,2549,0.585372250603511945499235480384,0.785865631872788017453501652199,2501,122,3731
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,3103.000000000000000000000000000000,3109,0.090833998447284097776943667668,0.365035874843597396566252655248,4329,4974,2583
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2388.000000000000000000000000000000,556,0.946531384691596033853500102850,0.814014308176934764382792764081,1847,756,412
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.700000000000000066613381477509,1457.000000000000000000000000000000,2291,0.314496048755943780061983261476,0.116332775197923177223913171474,3043,1625,1402
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,4012.000000000000000000000000000000,4807,0.710208997098728977981352272764,0.564212326645851081075022648292,486,2720,4198
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,3333.000000000000000000000000000000,3751,0.378871401743963387431790579285,0.900858545400202270769796086824,680,3503,3348
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,5205.000000000000000000000000000000,1316,0.521142590459436227945388964145,0.419083650007843977469690344151,3161,2097,1139
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,2789.000000000000000000000000000000,829,0.155179896850138915320727051039,0.648743294253945390615001542756,1965,602,2043
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,3852.000000000000000000000000000000,3306,0.757498373547568881747338309651,0.171719210602343075322551158024,4522,3883,4878
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,3237.000000000000000000000000000000,3276,0.171836948079988366400172594695,0.846009575776755839982001816679,224,1375,956
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2059.000000000000000000000000000000,721,0.805353868238627867981449526269,0.333048251122236238508378391998,2665,3093,3160
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,3248.000000000000000000000000000000,1521,0.424760188966989526981876679201,0.594374966949224425860620613093,1507,4606,4748
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,5422.000000000000000000000000000000,4034,0.535856728395447179380539637350,0.086162550501525408952474549551,4028,1012,1919
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,4540.000000000000000000000000000000,4855,0.360456580990925423702009311455,0.388704958602786088128766550653,4770,229,620
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,1417.000000000000000000000000000000,2418,0.724969178620725851480699475360,0.931244821198284666863287384331,2329,4134,2785
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.700000000000000066613381477509,1467.000000000000000000000000000000,370,0.107564932446926830866829050137,0.139505988366901867436808970524,3486,3247,4302
