trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.700000000000000066613381477509,3.000000000000000000000000000000,1620,4143,7.982919480681419877043936139671,4,0.882287493586540239043358724302
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,27.000000000000000000000000000000,2909,109,4.800845133917406748480516398558,11,0.401071141337975833884854637290
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.690000000000000057731597280508,5.000000000000000000000000000000,4528,3583,6.474530969013460257599490432767,10,0.237508180126547813193482738825
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.640000000000000013322676295502,3.000000000000000000000000000000,660,2012,0.743997874721884722148956825549,18,0.719203989632427709288720052427
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,2.000000000000000000000000000000,610,3005,3.434259827704169154571900435258,20,0.509026851631701027223186883930
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.690000000000000057731597280508,5.000000000000000000000000000000,4243,1412,8.803615154411643217713390185963,7,0.027323190048336984392385318188
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.690000000000000057731597280508,3.000000000000000000000000000000,3323,4896,2.422758724032901156419939070474,14,0.363399862712249166474265393845
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,2.000000000000000000000000000000,2111,844,5.341073049699888386498969339300,2,0.844608367530629067232439410873
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,2.000000000000000000000000000000,2373,3438,1.583753850243054372981532651465,6,0.496270950065925697813895567378
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,5.000000000000000000000000000000,3740,2470,6.181586962176487176634509523865,19,0.981872573265805792530613871349
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.690000000000000057731597280508,3.000000000000000000000000000000,3991,3996,2.554970862218179039615506553673,3,0.631299002546817034087212050508
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.640000000000000013322676295502,779.000000000000000000000000000000,203,569,9.681962460685522131598190753721,15,0.146191584344953301455305449963
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,2.000000000000000000000000000000,1029,4419,7.001067092803307190251871361397,12,0.123132070150226355376155140675
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,7.000000000000000000000000000000,4740,1009,0.215952712245285532999261590703,5,0.608246388662606496389173571515
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.640000000000000013322676295502,4.000000000000000000000000000000,2530,2525,8.549739444735459770186025707517,17,0.757068918446078931161480340961
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,4.000000000000000000000000000000,1398,1579,4.234966577643529461738580721430,8,0.271474195556715147681359212584
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.640000000000000013322676295502,3.000000000000000000000000000000,1420,2727,5.798992267700843861177872895496,14,0.713214073034003415152426441637
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.660000000000000031086244689504,3.000000000000000000000000000000,2786,1759,1.359719537043943882181906701589,1,0.196430429929867395033582511132
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.660000000000000031086244689504,3.000000000000000000000000000000,4952,4549,9.905882232663222097812649735715,20,0.406744123253971356923841540265
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.700000000000000066613381477509,5.000000000000000000000000000000,1163,1123,2.937680097915232213523495374830,8,0.923048313748091486807823002891
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,2.000000000000000000000000000000,108,3875,0.618076498725451561888633023045,10,0.838893450241535942879522735893
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,427.000000000000000000000000000000,3818,466,7.244630460757762513424040662358,17,0.322597111824899918097742101963
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,3.000000000000000000000000000000,3445,3227,3.991517750910483552928553763195,3,0.033332207048311829344910961481
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.660000000000000031086244689504,5.000000000000000000000000000000,2312,2280,8.147501117033883133444760460407,11,0.550123702229931899054804489424
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.600000000000000088817841970013,3.000000000000000000000000000000,1938,4697,4.402382960229181740885451290524,16,0.171402555687353019830965195069
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,8.000000000000000000000000000000,3228,663,7.738135410612449582856697816169,9,0.683800932487472867826738820440
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,4.000000000000000000000000000000,4182,2872,0.988667450130917169204280980921,13,0.956375116348266551824508496793
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,3.000000000000000000000000000000,314,1301,6.873107385929674961744240135886,5,0.443482534550130369499498783625
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,3.000000000000000000000000000000,916,3706,9.182548273344524503158936568070,2,0.296960047237575075484983244678
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,8.000000000000000000000000000000,4550,2113,3.659514554336666947165213059634,15,0.809845728725194891062244550994
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,17.000000000000000000000000000000,4400,385,0.001000000000000000020816681712,16,0.622981179772556292739693617477
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.760000000000000008881784197001,6093.000000000000000000000000000000,4308,1,3.276977116741448536885172870825,9,0.540530483495147429096050473163
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,4.000000000000000000000000000000,5000,3004,10.000000000000000000000000000000,16,0.998999999999999999111821580300
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,7.000000000000000000000000000000,4818,1094,0.001000000000000000020816681712,16,0.001000000000000000020816681712
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.760000000000000008881784197001,6437.000000000000000000000000000000,4339,1,2.265543431698116449979352182709,15,0.998999999999999999111821580300
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,1193.000000000000000000000000000000,3456,1,0.001000000000000000020816681712,10,0.001000000000000000020816681712
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,4.000000000000000000000000000000,1923,2487,10.000000000000000000000000000000,6,0.998999999999999999111821580300
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,919.000000000000000000000000000000,1989,1,2.578764743662740777097042155219,6,0.001000000000000000020816681712
38,38_0,RUNNING,BoTorch,GenerationStep_1,,,4872,1,0.001000000000000000020816681712,17,0.998999999999999999111821580300
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.760000000000000008881784197001,6246.000000000000000000000000000000,4648,1,3.180047443483558389232257468393,12,0.998999999999999999111821580300
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,1602.000000000000000000000000000000,3901,1,0.001000000000000000020816681712,15,0.001000000000000000020816681712
41,41_0,RUNNING,BoTorch,GenerationStep_1,,,5000,1,4.666129939426686412673461745726,7,0.538852263434716705070570696989
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,6.000000000000000000000000000000,5000,1430,10.000000000000000000000000000000,16,0.998999999999999999111821580300
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,2.000000000000000000000000000000,616,5000,0.001000000000000000020816681712,6,0.001000000000000000020816681712
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,6.000000000000000000000000000000,5000,2192,10.000000000000000000000000000000,7,0.998999999999999999111821580300
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,1601.000000000000000000000000000000,5000,1,0.001000000000000000020816681712,15,0.001000000000000000020816681712
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,3.000000000000000000000000000000,5000,3630,10.000000000000000000000000000000,15,0.998999999999999999111821580300
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.760000000000000008881784197001,4647.000000000000000000000000000000,3534,1,0.001000000000000000020816681712,15,0.998999999999999999111821580300
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,4.000000000000000000000000000000,5000,2644,0.001000000000000000020816681712,16,0.001000000000000000020816681712
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,1133.000000000000000000000000000000,2509,1,0.001000000000000000020816681712,9,0.001000000000000000020816681712
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.760000000000000008881784197001,4448.000000000000000000000000000000,3447,1,0.250661656278794942043219862171,10,0.726482584151931454208295235730
51,51_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,0.001000000000000000020816681712,19,0.998999999999999999111821580300
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,1237.000000000000000000000000000000,4861,1,2.389658232350520439268848349457,10,0.290515780915859611610585488961
